TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,WR,YEAR
Morehead St.,OVC,35,21,2.54469E-01,7.17906E-03,2.24538E-01,-6.13227E-01,1.77165E-01,-4.58665E-02,1.23821E+00,2.20483E+00,-1.59746E-01,1.39807E-01,2.95422E+00,-9.74133E-01,-8.72167E-02,7.38103E-01,5.46360E-01,-4.64255E-01,1.73067E-01,6.00000E-01,2016
Murray St.,OVC,29,15,5.02237E-01,2.98949E-01,2.01431E-01,5.56172E-01,7.29848E-01,-4.26073E-01,2.56533E-01,-1.44406E-01,-1.02533E+00,-7.78102E-02,9.37576E-01,2.90428E-01,5.45883E-01,7.01462E-01,7.10594E-01,-7.87701E-01,-2.08390E-01,5.17241E-01,2016
SIU Edwardsville,OVC,28,6,-1.17708E+00,7.90350E-01,-1.25624E+00,-1.65269E+00,5.91677E-01,4.76918E-01,-4.57413E-01,7.33593E-01,-6.70046E-02,4.29964E-01,1.42220E+00,-1.38585E+00,2.14259E-01,-1.38707E+00,1.16224E+00,-1.40809E-01,-1.33809E+00,2.14286E-01,2016
Southeast Missouri St.,OVC,27,3,-1.67262E+00,8.82488E-01,-1.49397E+00,-1.88008E+00,1.35162E+00,5.24443E-01,-5.58182E-02,-1.91865E-01,2.57366E-02,2.12346E-01,-4.53754E-01,-1.32703E+00,1.81208E+00,-1.97333E+00,1.35774E-01,1.34704E+00,-1.70487E+00,1.11111E-01,2016
Tennessee Martin,OVC,33,18,2.04657E-02,8.51775E-01,-5.37198E-01,1.98855E-01,2.46250E-01,-2.35970E-01,-7.25142E-01,4.54319E-02,-3.60909E-02,1.94212E-01,-7.50780E-01,2.02203E-01,4.55440E-01,7.85654E-02,-2.33753E-01,-7.61196E-02,-2.08390E-01,5.45455E-01,2016
Tennessee St.,OVC,29,18,-4.61306E-01,-4.84222E-01,-3.39557E-03,1.66372E-01,-2.02805E-01,2.39288E-01,1.32745E+00,4.96296E-01,-1.59746E-01,1.26416E+00,1.23460E+00,2.61019E-01,-1.17253E+00,-3.13575E-02,9.98004E-01,3.44361E-01,2.31753E-01,6.20690E-01,2016
Tennessee Tech,OVC,29,17,4.74707E-01,1.23568E+00,-4.43988E-01,8.16038E-01,1.77165E-01,-4.26073E-01,-1.17136E+00,-4.05432E-01,7.36752E-01,1.71753E+00,-3.13058E-01,6.43329E-01,-2.37955E-01,6.28180E-01,8.33770E-01,7.64841E-01,2.31753E-01,5.86207E-01,2016
Austin Peay,OVC,28,11,1.85644E-01,2.11099E+00,-1.08549E+00,8.16038E-01,2.18064E+00,-6.63702E-01,-4.57413E-01,-1.21224E+00,1.94239E+00,1.17349E+00,-8.28944E-01,9.08004E-01,2.29444E+00,3.71693E-01,1.08012E+00,1.15298E+00,-9.12618E-01,3.92857E-01,2017
Belmont,OVC,29,23,7.77535E-01,2.25353E-02,5.93069E-01,1.88799E+00,-6.17317E-01,-1.40918E-01,-1.17136E+00,-8.80026E-01,-1.39629E+00,-9.30145E-01,-4.53754E-01,3.46654E+00,-2.07807E-01,-3.13575E-02,-1.05492E+00,5.70773E-01,1.00934E+00,7.93103E-01,2017
Eastern Illinois,OVC,27,14,-4.75070E-01,8.39605E-02,-4.19315E-01,-6.78194E-01,-1.33719E-01,-5.68651E-01,1.05972E+00,4.54319E-02,8.91321E-01,-1.38351E+00,7.03082E-01,-1.65053E+00,-5.09283E-01,8.84666E-01,6.28477E-01,7.64841E-01,-5.75175E-01,5.18519E-01,2017
Eastern Kentucky,OVC,29,12,-6.81544E-01,4.98580E-01,-8.21135E-01,-1.58461E-01,4.53507E-01,5.24443E-01,2.56533E-01,-9.74944E-01,1.04589E+00,5.20638E-01,8.90677E-01,2.90428E-01,1.53964E-01,-6.90895E-01,7.51652E-01,4.41395E-01,-8.39261E-01,4.13793E-01,2017
Morehead St.,OVC,28,14,2.81999E-01,7.90350E-01,-2.98299E-01,3.61272E-01,1.73159E+00,-9.33924E-02,3.45776E-01,1.39802E+00,-4.37969E-01,-1.03895E+00,1.14080E+00,-3.27149E-01,7.56916E-01,1.65413E+00,2.39399E+00,6.67807E-01,-3.99118E-01,5.00000E-01,2017
Murray St.,OVC,31,16,3.09528E-01,1.05141E+00,-4.45555E-01,2.96305E-01,6.95306E-01,-8.53806E-01,-3.23548E-01,5.91215E-01,2.57366E-02,6.72681E-02,5.78019E-01,-1.80107E-01,5.15736E-01,7.01462E-01,6.28477E-01,7.32496E-01,-6.48532E-01,5.16129E-01,2017
SIU Edwardsville,OVC,28,6,-1.17708E+00,8.51775E-01,-1.27700E+00,-1.58773E+00,9.02562E-01,7.62073E-01,-1.45061E-01,5.43755E-01,-3.14314E-01,2.02583E+00,1.57853E+00,-1.06236E+00,1.42016E+00,-1.82676E+00,-4.80104E-01,1.02360E+00,-1.52882E+00,2.14286E-01,2017
Southeast Missouri St.,OVC,31,15,-1.99773E-01,8.51775E-01,-6.96986E-01,4.91205E-01,1.80067E+00,-5.21125E-01,1.46132E+00,-1.09359E+00,1.80305E-01,1.03538E-01,6.56183E-01,-3.30646E-02,1.81208E+00,9.57948E-01,1.03906E+00,6.67807E-01,-7.95246E-01,4.83871E-01,2017
Tennessee Martin,OVC,33,22,2.81999E-01,1.09748E+00,-4.93726E-01,9.13488E-01,8.68019E-01,1.37991E+00,1.67290E-01,1.92008E+00,8.91321E-01,-4.15407E-02,-5.78818E-01,1.20209E+00,1.05839E+00,1.88488E-01,2.58950E-01,4.73739E-01,1.29053E-01,6.66667E-01,2017
Tennessee St.,OVC,28,17,-5.30130E-01,-7.60636E-01,1.50910E-01,-3.85844E-01,-5.48232E-01,1.42743E+00,1.23821E+00,1.16073E+00,-4.68883E-01,9.01468E-01,2.17258E+00,-2.38923E-01,-1.17253E+00,-3.97767E-01,2.58950E-01,2.47327E-01,5.56956E-02,6.07143E-01,2017
Tennessee Tech,OVC,30,12,-7.64133E-01,5.90718E-01,-9.29227E-01,-5.80744E-01,4.88049E-01,2.39288E-01,7.91992E-01,-7.32165E-02,1.80305E-01,7.20120E-01,7.65614E-01,-4.15374E-01,5.45883E-01,-6.17613E-01,1.35774E-01,6.35462E-01,-1.02999E+00,4.00000E-01,2017
Austin Peay,OVC,32,19,2.13174E-01,3.75730E-01,-8.09398E-02,3.95553E-03,1.35162E+00,5.24443E-01,1.55056E+00,1.27938E+00,-1.90659E-01,2.48616E-01,7.96880E-01,-3.30646E-02,1.11869E+00,2.25129E-01,1.12118E+00,7.97185E-01,1.16813E-02,5.93750E-01,2018
Belmont,OVC,33,24,1.25931E+00,3.78916E-02,8.91497E-01,2.89497E+00,-4.10061E-01,-2.83496E-01,-7.69764E-01,-9.74944E-01,-1.17990E+00,-1.20217E+00,-1.25103E+00,3.70180E+00,-3.58545E-01,1.25108E+00,-3.56929E-01,1.82637E-01,7.15909E-01,7.27273E-01,2018
Eastern Illinois,OVC,29,12,-5.16365E-01,4.52512E-01,-6.85237E-01,-7.10677E-01,6.60763E-01,8.09598E-01,3.01155E-01,1.40351E-01,1.18478E-01,-4.22371E-01,-2.19260E-01,-1.32703E+00,-2.37955E-01,4.08334E-01,1.69600E+00,-3.02532E-01,-8.24589E-01,4.13793E-01,2018
Eastern Kentucky,OVC,29,11,-2.82362E-01,1.38925E+00,-1.02831E+00,-2.85278E-02,1.80067E+00,1.91763E-01,2.11911E-01,-5.24080E-01,7.36752E-01,-2.04754E-01,3.08665E-02,-2.68332E-01,1.08854E+00,3.35052E-01,2.22976E+00,5.38428E-01,-9.85975E-01,3.79310E-01,2018
Jacksonville St.,OVC,35,23,-3.37422E-01,-4.99579E-01,1.08221E-01,1.01405E-01,-5.82775E-01,2.39288E-01,3.01155E-01,9.70890E-01,-1.02533E+00,-7.48797E-01,-3.75590E-01,6.43329E-01,-5.99726E-01,-8.74100E-01,-4.39046E-01,-1.73153E-01,1.29053E-01,6.57143E-01,2018
Morehead St.,OVC,27,8,-7.09074E-01,9.28557E-01,-1.05651E+00,-5.48261E-01,1.76613E+00,1.61754E+00,5.68884E-01,4.01377E-01,1.18478E-01,3.93694E-01,9.53209E-01,-1.80107E-01,2.02312E+00,-8.74100E-01,6.69535E-01,7.00152E-01,-1.04466E+00,2.96296E-01,2018
SIU Edwardsville,OVC,30,9,-5.98955E-01,1.25104E+00,-1.14032E+00,-6.78194E-01,1.38616E+00,3.34340E-01,-5.02034E-01,-2.02743E-03,-3.60909E-02,-2.77293E-01,1.73486E+00,-5.62416E-01,1.26943E+00,-6.54254E-01,9.98004E-01,8.94219E-01,-1.13269E+00,3.00000E-01,2018
Southeast Missouri St.,OVC,29,14,5.57296E-01,1.91136E+00,-7.82363E-01,1.43322E+00,1.76613E+00,-2.83496E-01,-6.35899E-01,-7.37648E-01,-6.70046E-02,5.75042E-01,-4.72981E-02,4.66878E-01,1.45031E+00,1.87397E+00,1.44965E+00,7.97185E-01,-6.92547E-01,4.82759E-01,2018
Tennessee Martin,OVC,29,10,-1.21837E+00,3.75730E-01,-1.09332E+00,-2.85278E-02,2.11708E-01,1.37991E+00,1.67290E-01,-1.91865E-01,7.67666E-01,-1.89129E+00,-1.09830E-01,4.66878E-01,-1.17364E-01,-7.27536E-01,3.00008E-01,-1.08464E-01,-1.22072E+00,3.44828E-01,2018
Tennessee St.,OVC,28,15,-9.43077E-01,-3.30659E-01,-4.96468E-01,-1.90944E-01,9.02562E-01,1.52249E+00,2.08602E+00,-9.03755E-01,-5.61624E-01,5.93177E-01,9.33982E-02,-2.97740E-01,6.06178E-01,-1.04639E-01,7.10594E-01,-3.34877E-01,-2.81747E-01,5.35714E-01,2018
Tennessee Tech,OVC,31,19,-7.91663E-01,-8.49587E-02,-5.41506E-01,-2.88394E-01,3.15336E-01,5.24443E-01,7.47371E-01,-2.63054E-01,1.80305E-01,5.75042E-01,2.80993E-01,-4.74191E-01,6.96621E-01,1.15206E-01,-3.97987E-01,1.37939E+00,-4.70043E-02,6.12903E-01,2018
Austin Peay,OVC,31,22,9.84008E-01,3.91086E-01,5.00251E-01,9.78455E-01,8.33476E-01,-9.96383E-01,9.70479E-01,7.09863E-01,1.49391E-01,3.09985E-02,-9.41969E-02,5.84512E-01,1.26943E+00,1.21444E+00,-1.51636E-01,8.61875E-01,3.93138E-01,7.09677E-01,2019
Eastern Illinois,OVC,31,14,-5.16365E-01,1.14354E+00,-1.05338E+00,-9.34944E-02,1.21345E+00,4.91851E-02,-1.00440E-01,-2.57571E-02,3.03960E-01,-1.05709E+00,-2.66159E-01,-7.09458E-01,3.04702E-01,7.38103E-01,1.90129E+00,1.82637E-01,-6.63204E-01,4.51613E-01,2019
Eastern Kentucky,OVC,29,13,-6.12719E-01,2.98949E-01,-6.49598E-01,-6.78194E-01,1.07528E+00,-2.35970E-01,1.28283E+00,-4.76621E-01,4.89442E-01,-3.49832E-01,7.65614E-01,-4.15374E-01,1.54075E+00,-8.00818E-01,-1.51636E-01,3.51413E+00,-5.45832E-01,4.48276E-01,2019
Jacksonville St.,OVC,31,24,6.17603E-02,-5.61004E-01,4.79494E-01,1.98855E-01,-4.79147E-01,4.91851E-02,7.91992E-01,8.75971E-01,-1.21081E+00,-7.85067E-01,-7.35147E-01,9.37413E-01,-4.79136E-01,-1.16723E+00,-4.39046E-01,4.41395E-01,6.42552E-01,7.74194E-01,2019
Morehead St.,OVC,31,13,-2.82362E-01,9.28557E-01,-7.94112E-01,-4.83294E-01,8.33476E-01,-7.11228E-01,-4.12791E-01,-3.57973E-01,6.44011E-01,-1.14080E-01,-1.00091E+00,-5.91824E-01,6.06178E-01,-2.14562E-01,8.33770E-01,3.44361E-01,-7.36561E-01,4.19355E-01,2019
SIU Edwardsville,OVC,29,10,-1.02567E+00,1.37389E+00,-1.38862E+00,-1.00303E+00,2.24973E+00,1.65929E-03,1.22668E-01,-1.91865E-01,-3.14314E-01,1.28637E-02,7.03082E-01,-4.44782E-01,2.26430E+00,-1.42371E+00,1.28541E+00,9.91253E-01,-1.27940E+00,3.44828E-01,2019
Southeast Missouri St.,OVC,29,10,-9.15547E-01,1.09748E+00,-1.24136E+00,1.66372E-01,9.02562E-01,7.14547E-01,-5.46656E-01,-8.80026E-01,-3.76142E-01,-9.84550E-01,-2.03627E-01,-5.03599E-01,1.93267E+00,8.84666E-01,-8.49631E-01,4.73739E-01,-1.14736E+00,3.44828E-01,2019
Tennessee Martin,OVC,29,12,1.99409E-01,1.71173E+00,-8.97505E-01,1.66372E-01,2.42244E+00,4.91851E-02,3.01155E-01,5.20026E-01,1.60234E+00,-1.47419E+00,-1.18850E+00,2.31611E-01,2.23415E+00,-3.13575E-02,1.69600E+00,6.35462E-01,-8.39261E-01,4.13793E-01,2019
Tennessee St.,OVC,28,9,-7.91663E-01,8.97844E-01,-1.09607E+00,-2.55911E-01,1.45525E+00,1.90269E+00,7.47371E-01,-1.44406E-01,-3.45228E-01,3.03020E-01,3.00112E+00,5.51606E-02,9.98097E-01,-5.80972E-01,1.65494E+00,1.05594E+00,-9.85975E-01,3.21429E-01,2019
Tennessee Tech,OVC,29,8,-2.03050E+00,1.30029E-01,-1.40859E+00,-1.23041E+00,3.49879E-01,1.95022E+00,2.56533E-01,-3.34243E-01,1.04589E+00,3.21155E-01,-2.50526E-01,-1.53289E+00,5.45883E-01,-2.14562E-01,-1.10577E-01,6.35462E-01,-1.29407E+00,2.75862E-01,2019
Arizona St.,P12,34,18,6.53651E-01,-9.29555E-01,1.08497E+00,3.28789E-01,3.89941E-02,9.52176E-01,2.11911E-01,5.91215E-01,-1.36538E+00,1.37297E+00,-1.09830E-01,2.31611E-01,-2.07807E-01,2.98411E-01,7.51652E-01,-4.64255E-01,5.54524E-01,5.29412E-01,2015
California,P12,33,18,-7.58886E-02,-9.44911E-01,6.33407E-01,-3.20877E-01,-1.13546E+00,-9.96383E-01,-1.92993E+00,-7.85107E-01,-1.36538E+00,-7.66932E-01,6.24918E-01,-6.21233E-01,-1.11224E+00,6.28180E-01,-3.97987E-01,-5.28944E-01,6.13209E-01,5.45455E-01,2015
Colorado,P12,34,16,3.78353E-01,-6.37785E-01,7.52074E-01,-4.83294E-01,-4.10061E-01,5.71969E-01,-7.69764E-01,1.20819E+00,-4.99797E-01,1.13722E+00,-1.41096E-01,-4.15374E-01,-8.40907E-01,-2.51203E-01,3.82125E-01,-8.52391E-01,2.90438E-01,4.70588E-01,2015
Oregon St.,P12,30,16,-6.81544E-01,-1.85093E+00,8.15519E-01,-1.06799E+00,-1.86085E+00,1.91763E-01,2.26451E+00,-1.91865E-01,1.01498E+00,4.11829E-01,1.48473E+00,-9.15317E-01,-1.47401E+00,-8.00818E-01,-1.79398E+00,-2.21087E+00,5.25181E-01,5.33333E-01,2015
Stanford,P12,37,24,1.24554E+00,-9.14198E-01,1.35245E+00,-1.90944E-01,-5.82775E-01,-1.18649E+00,-6.35899E-01,1.01835E+00,-5.30710E-01,1.08282E+00,2.65360E-01,-9.15317E-01,-1.38356E+00,1.28772E+00,1.24436E+00,-7.55357E-01,9.50652E-01,6.48649E-01,2015
USC,P12,32,12,-5.71425E-01,-8.22061E-01,1.62659E-01,-1.00303E+00,-7.20945E-01,6.19495E-01,2.11911E-01,5.20026E-01,1.47868E+00,-1.32215E-01,-5.63185E-01,-9.74133E-01,-6.29874E-01,-4.71049E-01,-6.03280E-01,2.79671E-01,-1.93718E-01,3.75000E-01,2015
Washington,P12,31,16,5.43532E-01,-1.77096E-01,5.53905E-01,-1.90944E-01,-1.03183E+00,-5.68651E-01,-8.14386E-01,4.96296E-01,1.13863E+00,-1.14080E-01,-4.85020E-01,-6.24730E-02,-9.91645E-01,-2.87844E-01,-5.62221E-01,-5.61289E-01,4.37152E-01,5.16129E-01,2015
Washington St.,P12,31,13,5.84826E-01,6.52143E-01,3.10686E-02,-9.34944E-02,7.98934E-01,-6.63702E-01,-2.01917E+00,-6.90188E-01,2.42133E-01,9.37738E-01,-1.09830E-01,-1.21290E-01,4.55440E-01,5.28345E-03,1.24436E+00,2.09143E-02,1.14381E-01,4.19355E-01,2015
Arizona St.,P12,32,15,7.08710E-01,-4.84222E-01,8.57816E-01,-5.80744E-01,6.60763E-01,-7.58754E-01,-1.45061E-01,5.20026E-01,-5.30710E-01,5.93177E-01,5.15487E-01,-7.38866E-01,6.36326E-01,-2.14562E-01,4.23184E-01,3.76705E-01,4.95838E-01,4.68750E-01,2016
Stanford,P12,29,14,4.88472E-01,-4.99579E-01,7.28184E-01,-7.75644E-01,6.60763E-01,-5.68651E-01,5.24263E-01,3.53918E-01,7.98579E-01,1.95329E+00,7.96880E-01,-5.03599E-01,1.84112E-01,-8.74100E-01,1.03906E+00,-3.34877E-01,7.30581E-01,4.82759E-01,2016
UCLA,P12,32,15,1.16295E+00,-5.30291E-01,1.13666E+00,1.33889E-01,-1.33719E-01,-8.53806E-01,-1.12674E+00,8.28511E-01,2.73046E-01,-4.04236E-01,-1.41096E-01,-9.18814E-02,-5.09283E-01,7.74744E-01,4.23184E-01,8.61875E-01,5.39852E-01,4.68750E-01,2016
Washington,P12,34,19,9.56478E-01,-7.75992E-01,1.16094E+00,-5.80744E-01,-7.55488E-01,-6.16177E-01,8.36614E-01,9.70890E-01,1.91147E+00,1.20976E+00,1.53163E+00,-5.33007E-01,-6.29874E-01,-3.97767E-01,-5.21163E-01,3.38476E+00,7.89266E-01,5.58824E-01,2016
Washington St.,P12,30,8,-2.82362E-01,1.30029E-01,-2.95949E-01,2.63822E-01,-6.46340E-02,4.76918E-01,-1.75144E+00,-1.28343E+00,2.57366E-02,-6.21854E-01,4.21690E-01,3.49245E-01,-3.28398E-01,1.51847E-01,6.28477E-01,6.35462E-01,-4.13790E-01,2.66667E-01,2016
Arizona St.,P12,33,15,1.06660E+00,5.90718E-01,4.17615E-01,4.91205E-01,1.83522E+00,-2.08948E+00,-1.45061E-01,-1.16478E+00,8.29493E-01,-4.76776E-01,-7.66413E-01,-1.21290E-01,1.99297E+00,8.84666E-01,8.33770E-01,1.28235E+00,1.87738E-01,4.54545E-01,2017
California,P12,34,21,4.79954E-02,-1.63594E+00,1.13275E+00,-5.80744E-01,-1.65360E+00,1.65929E-03,-9.03629E-01,8.52241E-01,-1.70543E+00,5.75042E-01,-1.09830E-01,-7.38866E-01,-1.77548E+00,-6.79985E-02,-6.44338E-01,-2.37843E-01,9.79995E-01,6.17647E-01,2017
Colorado,P12,33,19,1.14919E+00,-1.46384E-01,9.30661E-01,3.28789E-01,7.35368E-02,-6.16177E-01,-6.35899E-01,8.75971E-01,-3.76142E-01,5.38773E-01,-1.41096E-01,2.31611E-01,-5.99726E-01,3.35052E-01,9.98004E-01,5.06084E-01,5.54524E-01,5.75758E-01,2017
Oregon St.,P12,31,5,-9.70607E-01,1.60742E-01,-8.21919E-01,-5.48261E-01,4.18964E-01,2.04527E+00,-5.02034E-01,-5.71540E-01,8.60407E-01,-4.15407E-02,7.49981E-01,-8.27091E-01,2.14259E-01,1.51847E-01,5.46360E-01,-4.64255E-01,-1.33809E+00,1.61290E-01,2017
Stanford,P12,30,14,1.16820E-01,-7.75992E-01,6.61605E-01,-5.15777E-01,9.02562E-01,-4.58665E-02,8.81236E-01,6.91616E-02,-7.16193E-01,5.02503E-01,5.31120E-01,-2.68332E-01,-5.70691E-02,-6.90895E-01,1.81918E+00,6.67807E-01,3.49124E-01,4.66667E-01,2017
Utah,P12,30,20,1.27307E+00,-6.68498E-01,1.26199E+00,2.05040E+00,-3.40976E-01,2.39288E-01,-7.25142E-01,3.77648E-01,-1.55086E+00,-2.59158E-01,-5.63185E-01,2.43724E+00,-7.20317E-01,6.64821E-01,5.05301E-01,6.67807E-01,7.74595E-01,6.66667E-01,2017
Washington,P12,31,9,3.78353E-01,3.45017E-01,7.45404E-02,2.31339E-01,9.37105E-01,4.91851E-02,-9.92872E-01,1.32683E+00,5.82183E-01,-6.76258E-01,-1.60323E-02,8.45690E-02,9.36690E-02,4.44975E-01,2.27082E+00,1.57346E+00,-4.87147E-01,2.90323E-01,2017
Washington St.,P12,30,13,8.92901E-02,1.45386E-01,-6.52867E-03,6.86105E-01,9.37105E-01,-2.83496E-01,-1.75144E+00,-2.20889E+00,-3.14314E-01,-1.32911E+00,-1.07907E+00,4.37470E-01,9.98097E-01,8.84666E-01,4.23184E-01,4.09050E-01,-4.70043E-02,4.33333E-01,2017
California,P12,31,8,-8.32958E-01,7.17906E-03,-6.42157E-01,-1.75014E+00,1.52433E+00,9.99702E-01,4.79641E-01,1.30311E+00,3.34874E-01,6.47581E-01,5.62386E-01,-1.17999E+00,6.96621E-01,-2.04661E+00,2.06553E+00,7.00152E-01,-8.39261E-01,2.58065E-01,2018
Colorado,P12,32,17,2.26939E-01,-6.37785E-01,6.45157E-01,2.31339E-01,-2.71890E-01,6.19495E-01,-1.57295E+00,-2.02743E-03,-9.94416E-01,-2.22889E-01,-1.25463E-01,-9.18814E-02,-8.10759E-01,5.91539E-01,5.46360E-01,4.73739E-01,4.51824E-01,5.31250E-01,2018
Oregon,P12,36,23,9.42713E-01,-4.84222E-01,1.00272E+00,1.10839E+00,7.35368E-02,-7.58754E-01,1.67290E-01,4.01377E-01,-8.39848E-01,-5.13045E-01,2.34094E-01,1.17268E+00,-2.68102E-01,5.54898E-01,5.05301E-01,2.79671E-01,7.74595E-01,6.38889E-01,2018
Oregon St.,P12,32,16,5.84826E-01,-3.46016E-01,6.94111E-01,7.18588E-01,-1.68262E-01,3.34340E-01,-1.11966E-02,5.91215E-01,-2.52487E-01,7.56390E-01,5.31120E-01,1.23150E+00,-3.58545E-01,-4.71049E-01,1.76833E-01,-3.02532E-01,4.10242E-02,5.00000E-01,2018
Stanford,P12,35,19,6.12356E-01,-7.14567E-01,9.40060E-01,6.53622E-01,-1.33719E-01,9.04650E-01,-1.21598E+00,8.28511E-01,-7.78020E-01,1.28230E+00,-8.75843E-01,3.49245E-01,-4.18840E-01,9.94589E-01,3.00008E-01,1.34704E+00,4.81167E-01,5.42857E-01,2018
USC,P12,36,24,1.49331E+00,-6.99210E-01,1.36381E+00,1.27080E+00,3.15336E-01,-1.61422E+00,2.56533E-01,1.64080E-01,-2.21573E-01,-8.39471E-01,-1.28230E+00,9.66821E-01,1.53964E-01,1.25108E+00,3.41067E-01,4.09050E-01,1.05335E+00,6.66667E-01,2018
Utah,P12,35,23,1.13542E+00,-8.06704E-01,1.25924E+00,1.49819E+00,-6.17317E-01,-5.68651E-01,-5.02034E-01,-1.23597E+00,-2.83401E-01,-2.34059E-02,-9.38375E-01,1.31972E+00,-6.90169E-01,1.03123E+00,-3.15870E-01,-2.05498E-01,8.91966E-01,6.57143E-01,2018
Washington,P12,34,21,3.78353E-01,-6.68498E-01,7.61865E-01,5.88655E-01,2.11708E-01,-4.58665E-02,1.10434E+00,-9.69462E-02,1.16954E+00,3.93694E-01,-6.29311E-02,7.31554E-01,4.85588E-01,1.51847E-01,-3.97987E-01,9.91253E-01,7.45252E-01,6.17647E-01,2018
Washington St.,P12,31,12,5.98591E-01,9.74625E-01,-1.84724E-01,1.36825E+00,1.17890E+00,3.34340E-01,-9.92872E-01,-1.11732E+00,5.20356E-01,-1.78248E+00,-9.85273E-01,7.60962E-01,1.48046E+00,1.28772E+00,2.17891E-01,6.03118E-01,-3.40433E-01,3.87097E-01,2018
Arizona,P12,32,17,1.16820E-01,-8.83486E-01,7.30925E-01,-2.88394E-01,2.80793E-01,-9.48857E-01,7.47371E-01,-2.15595E-01,-1.11807E+00,-2.22889E-01,3.08665E-02,-2.97740E-01,7.87064E-01,-2.14562E-01,-6.03280E-01,1.82637E-01,4.95838E-01,5.31250E-01,2019
California,P12,31,8,-3.45939E-02,5.75362E-01,-3.97775E-01,-4.18327E-01,2.35336E+00,-1.04391E+00,8.36614E-01,-1.42581E+00,5.82183E-01,4.91333E-02,2.02829E-01,-7.68275E-01,2.23415E+00,2.98411E-01,1.53177E+00,8.56036E-02,-8.68603E-01,2.58065E-01,2019
Colorado,P12,36,23,3.64588E-01,-1.14454E+00,1.03523E+00,3.61272E-01,-5.82775E-01,1.91763E-01,-5.46656E-01,3.30188E-01,-1.82909E+00,4.84368E-01,-5.78818E-01,9.37413E-01,-1.47512E-01,-6.90895E-01,-1.05492E+00,5.70773E-01,5.83866E-01,6.38889E-01,2019
Oregon St.,P12,31,18,1.01154E+00,8.39605E-02,7.12127E-01,7.51071E-01,3.89941E-02,-1.88444E-01,-4.57413E-01,3.53918E-01,-1.59746E-01,4.11829E-01,-2.03627E-01,1.58440E+00,-7.80612E-01,-7.64177E-01,1.20330E+00,-1.73153E-01,5.39852E-01,5.80645E-01,2019
Stanford,P12,31,15,-2.41067E-01,-8.52773E-01,4.47380E-01,4.26238E-01,-7.55488E-01,9.99702E-01,-6.35899E-01,1.40351E-01,-3.76142E-01,2.84886E-01,-2.97425E-01,1.20209E+00,-8.71055E-01,-9.10741E-01,5.36570E-02,1.12063E+00,2.61095E-01,4.83871E-01,2019
UCLA,P12,33,17,6.94945E-01,-2.84590E-01,7.37583E-01,6.86105E-01,-1.68262E-01,1.44237E-01,-1.57295E+00,3.53918E-01,-7.47106E-01,6.65716E-01,-1.12597E+00,6.72737E-01,-4.18840E-01,4.81616E-01,1.35774E-01,2.02628E+00,3.49124E-01,5.15152E-01,2019
USC,P12,33,16,8.05065E-01,-4.07441E-01,8.70740E-01,9.45971E-01,-3.40976E-01,-1.04391E+00,-2.34305E-01,-5.47810E-01,1.18478E-01,-1.25657E+00,-7.50780E-01,3.49245E-01,-2.68102E-01,1.47092E+00,-3.97987E-01,1.12063E+00,7.03670E-02,4.84848E-01,2019
Utah,P12,31,17,1.47954E+00,4.98580E-01,7.52465E-01,1.66060E+00,7.64391E-01,2.39288E-01,-1.75144E+00,4.01377E-01,-7.47106E-01,1.76077E-01,-3.59957E-01,1.61381E+00,7.26769E-01,1.03123E+00,5.05301E-01,-4.37750E-02,4.95838E-01,5.48387E-01,2019
Washington St.,P12,32,11,2.54469E-01,8.67131E-01,-3.73885E-01,9.45971E-01,1.59342E+00,2.39288E-01,-6.80521E-01,-9.74944E-01,-5.17715E-03,-7.66932E-01,-1.00091E+00,7.02145E-01,1.69149E+00,8.11385E-01,7.51652E-01,1.31470E+00,-6.77875E-01,3.43750E-01,2019
American,Pat,33,17,-4.61306E-01,9.93168E-02,-4.13049E-01,1.14087E+00,3.15336E-01,3.34340E-01,1.41669E+00,-1.90040E+00,6.44011E-01,-2.34059E-02,-2.81792E-01,7.90371E-01,4.85588E-01,1.17779E+00,-6.95187E-02,-3.40762E+00,-3.69775E-01,5.15152E-01,2015
Army,Pat,29,14,-7.91663E-01,4.52512E-01,-8.62257E-01,3.64388E-02,3.15336E-01,1.91763E-01,1.22668E-01,9.28913E-02,6.13097E-01,-4.58641E-01,9.21943E-01,5.84512E-01,1.84112E-01,-7.27536E-01,5.87418E-01,7.00152E-01,-4.87147E-01,4.82759E-01,2015
Boston University,Pat,29,12,1.03055E-01,9.43913E-01,-5.38373E-01,9.13488E-01,1.00619E+00,3.34340E-01,-1.03749E+00,-2.63054E-01,-3.45228E-01,1.88075E+00,-1.87994E-01,4.96287E-01,4.85588E-01,9.57948E-01,1.24436E+00,-9.81769E-01,-6.33861E-01,4.13793E-01,2015
Bucknell,Pat,33,18,6.70076E-03,6.06074E-01,-3.93858E-01,-6.10111E-02,-6.46340E-02,-7.58754E-01,-1.84068E+00,6.91616E-02,-1.11807E+00,1.04655E+00,5.62386E-01,-8.56500E-01,-4.79136E-01,1.43428E+00,9.15887E-01,-9.49425E-01,-1.20361E-01,5.45455E-01,2015
