G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
1.757330346963658307e+00 ,1.741702209890332975e+00 ,1.445341551199364138e+00 ,-1.910737469525649823e+00 ,1.694352247768339259e+00 ,8.397095792137457826e-01 ,-1.316183962332567736e+00 ,-3.761906427542849318e-01 ,8.791168015682798709e-01 ,8.132258207950265883e-02 ,4.914887106473860012e-02 ,-3.998512116662929494e-01 ,-1.306830168976435835e-01 ,9.187053299827345754e-01 ,-1.037680237588151977e+00 ,3.519803115918881398e-01 ,-1.319628401029547815e+00 ,7.476918785838844173e-01 ,2.635607397835742383e+00
1.368360276263775210e+00 ,1.901721926972132826e+00 ,2.058313320683318626e+00 ,-1.684662599435098107e+00 ,1.756818412450165123e+00 ,5.430169623459114581e-01 ,-1.241653929054862493e+00 ,-5.270270234462607339e-01 ,-1.205211835052446334e+00 ,2.510032876906534760e+00 ,-1.734955148585237694e+00 ,1.248016730613531466e+00 ,-2.372587020443182482e+00 ,1.263219828726255933e+00 ,-1.037680237588151977e+00 ,-7.297065586066522336e-01 ,-1.188723379284133186e+00 ,-1.296919605644148321e+00 ,2.533028348439988253e+00
2.146300417663541182e+00 ,2.221761361135732304e+00 ,1.789203763348898413e+00 ,-2.443628234739090299e+00 ,1.842909600953963167e+00 ,6.542766936713503290e-01 ,-3.440289910747138080e+00 ,2.271548800136165003e-01 ,-1.031517782000719086e+00 ,1.458426357496892978e+00 ,-2.253286704198734225e-01 ,1.114405816374626434e+00 ,1.519099247257436336e-01 ,1.169261329068930655e+00 ,-3.228066143425679879e+00 ,-1.672293861034124529e-01 ,-2.497773596738275703e+00 ,2.190947043921316340e+00 ,2.650261547749421354e+00
2.146300417663541182e+00 ,2.541800795299331561e+00 ,1.968610134905177889e+00 ,-2.233701569655007990e+00 ,1.836502814832750685e+00 ,7.284498478883069117e-01 ,-2.918579677803206707e+00 ,-1.432045307598112771e+00 ,1.269928420934667068e+00 ,2.184535620898788721e+00 ,-2.939480557910261194e-01 ,-6.002675830246503308e-01 ,7.359353374140774617e-01 ,9.500248298685096682e-01 ,-2.338221869179184509e+00 ,4.910798793629563008e-02 ,-2.672313625732162468e+00 ,-1.497371711941014150e+00 ,2.327870249648479106e+00
2.535270488363424057e+00 ,1.901721926972132826e+00 ,1.789203763348898413e+00 ,-1.991478494557989309e+00 ,1.772034529488045962e+00 ,1.099315618973097930e+00 ,-9.062687793051941165e-01 ,-9.795361655221863639e-01 ,1.704163553563985189e+00 ,-1.883041976903439274e-02 ,1.520779491214682422e-01 ,-2.439718117209043469e-01 ,3.591447485828945241e-01 ,1.231900328840480840e+00 ,-7.981067791371739828e-01 ,3.519803115918881398e-01 ,-7.087382995509485806e-01 ,5.472397722870184777e-01 ,2.254599500080082919e+00
1.757330346963658307e+00 ,1.901721926972132826e+00 ,2.177917568387504055e+00 ,-1.313253884286336604e+00 ,1.702360730419855361e+00 ,2.100653200902034889e+00 ,1.744167032215160063e-01 ,-1.482324101162104446e+00 ,1.877857606615711772e+00 ,-5.446336794738562137e-01 ,1.078439651632032703e+00 ,-1.023368811447848081e+00 ,-5.074736057288266045e-01 ,2.547319324043015865e+00 ,2.328793555189782177e-02 ,6.115851604395353691e-01 ,2.948668671638958738e-01 ,5.071493510276475769e-01 ,2.298561949821120720e+00
1.368360276263775210e+00 ,1.741702209890332975e+00 ,2.282571285128667249e+00 ,-1.410143114325143276e+00 ,1.740401023014557236e+00 ,2.286086086444430343e+00 ,-1.278918945693715115e+00 ,7.631849932164069816e-02 ,-5.538591361084700404e-01 ,5.820875913221896791e-01 ,-8.429031387602489156e-01 ,9.362579307227526515e-01 ,-1.185696665624956125e+00 ,1.983568326099071299e+00 ,-1.379928035375265427e+00 ,1.693272030638075742e+00 ,-7.523733067994206047e-01 ,2.030585358883827407e+00 ,2.269253649993762334e+00
2.146300417663541182e+00 ,2.221761361135732304e+00 ,1.609797391792621157e+00 ,-2.524369259771430229e+00 ,1.834901118302447065e+00 ,2.834109225865593107e-01 ,-1.390713995610272979e+00 ,-1.683439275418071812e+00 ,2.225245712719166491e+00 ,1.157967351951280088e+00 ,-1.223995923631437527e-01 ,-9.342948686219119114e-01 ,-8.089060767937732432e-01 ,1.670373327241440886e-01 ,-1.140354576924287544e+00 ,4.385152612077695133e-01 ,-1.275993393781075680e+00 ,-4.149303379379400414e-01 ,2.386486849303196323e+00
1.757330346963658307e+00 ,1.421662775726733496e+00 ,1.265935179643084885e+00 ,-1.523180549370418913e+00 ,1.544593622184988080e+00 ,7.284498478883069117e-01 ,-9.062687793051941165e-01 ,5.288276413975681045e-01 ,1.226504907671734701e+00 ,3.817815876251147156e-01 ,5.981039540339626592e-01 ,1.003063387842205945e+00 ,8.489725140634313272e-01 ,8.560663302111843898e-01 ,-3.531846420139250209e-01 ,1.789104123601192309e-01 ,-1.406898415526490309e+00 ,1.068415248658868721e+00 ,1.771012552928669548e+00
1.757330346963658307e+00 ,2.221761361135732304e+00 ,2.850691461723550368e+00 ,-8.288077340922992420e-01 ,1.723983633578949126e+00 ,2.694038434637700874e+00 ,3.234767697769238559e-01 ,-1.733718068982063487e+00 ,-1.630475167420828708e-01 ,7.072788436328615314e-01 ,-1.014451602188131352e+00 ,5.576936737125237631e-01 ,-1.091499018417160460e+00 ,2.547319324043015865e+00 ,1.259622748880333265e-01 ,1.563469606214252128e+00 ,5.130419034062528860e-01 ,1.188686512436986975e+00 ,2.122712150856970403e+00
