G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
2.857032642679960155e+00 ,3.097343902606299881e+00 ,1.903217132509533283e+00 ,-2.661382664372538454e+00 ,1.878587550798318739e+00 ,2.036881968993628167e+00 ,-3.364179283175174007e+00 ,-1.264058552026031679e+00 ,-6.869850381530826500e-01 ,2.150508929430338112e-01 ,-1.079876364236052932e+00 ,8.171618384055712170e-01 ,-1.507543237303239581e+00 ,2.153643278833912156e+00 ,-2.902006599475838833e+00 ,1.230598114800194987e+00 ,-2.540441296312982544e+00 ,6.916740105601341115e-01 ,2.195879384437822601e+00
2.857032642679960155e+00 ,2.477786866096932883e+00 ,2.339498916099616910e+00 ,-1.872459835974440212e+00 ,1.834390616612105784e+00 ,4.319555907307857101e-01 ,-8.783026181842233937e-01 ,-1.264058552026031679e+00 ,2.698579206326081129e-02 ,2.979005386397110211e+00 ,-1.498085195255018709e+00 ,-2.288281405032282778e-01 ,-6.970778529002040758e-01 ,5.269338746296283738e-01 ,-9.645610365808174880e-01 ,2.355146392062109073e-01 ,-4.842977737112453274e-01 ,1.137200338931943833e+00 ,2.294746468558761521e+00
1.708328796653996617e+00 ,2.322897606969591244e+00 ,2.503104584945898381e+00 ,-1.720743907436344422e+00 ,1.832826123366575910e+00 ,2.331664365001088424e+00 ,-8.783026181842233937e-01 ,-7.888519632065336129e-01 ,7.409566222796042378e-01 ,2.639704414997429693e-01 ,-5.222645895440977126e-01 ,-7.304239896361930384e-02 ,-2.335252566055274759e+00 ,3.043729556606069586e+00 ,-1.034741197385839612e-01 ,7.514838487734608607e-01 ,-1.659236929483665746e+00 ,-1.330330095127316259e+00 ,2.676090935882380784e+00
1.708328796653996617e+00 ,2.168008347842249606e+00 ,2.407667944785567116e+00 ,-1.417312050360152842e+00 ,1.778459983084420104e+00 ,1.873113971211705309e+00 ,-8.783026181842233937e-01 ,-5.248483027512574894e-01 ,2.698579206326081129e-02 ,1.217901638355575411e+00 ,1.398993929025980076e-01 ,1.495086603786783264e-01 ,-9.729809624842162830e-01 ,1.324942261597768400e+00 ,-1.272092078310186114e+00 ,2.041406872691586827e+00 ,2.290581422934404032e-01 ,6.574027545315352938e-01 ,2.661967066722246589e+00
2.474131360671305568e+00 ,2.322897606969591244e+00 ,1.971386161195483711e+00 ,-1.902803021682059725e+00 ,1.796060532096628748e+00 ,8.249987854073989046e-01 ,-1.091377760897733973e+00 ,-1.528062212481307913e+00 ,3.125741241497971834e-01 ,1.071142992685446993e+00 ,-5.571153254623454343e-01 ,1.240008851155936398e+00 ,-3.694429102691901279e-01 ,1.110093849721730086e+00 ,-3.494989531220801804e-01 ,1.618047521251740894e-01 ,-1.869047493014455386e+00 ,1.445641643189353287e+00 ,2.379489683519565357e+00
9.425262326366874444e-01 ,1.238672793078199552e+00 ,1.875949521035152667e+00 ,-1.872459835974440212e+00 ,1.777286613150272476e+00 ,3.336947920616306629e-01 ,-1.730603189038263157e+00 ,-1.369660016208141817e+00 ,5.029663455408230899e-01 ,1.853855769592797076e+00 ,-2.783094381163677689e-01 ,-2.955934583059169340e-01 ,5.444861402278490248e-01 ,3.734707232896015694e-01 ,-1.425857599174870316e+00 ,2.355146392062109073e-01 ,-1.449426365952876106e+00 ,-2.802236604048119473e-02 ,2.082888431156750375e+00
2.091230078662650982e+00 ,1.703340570460224468e+00 ,2.489470779208707185e+00 ,-1.250424528968248294e+00 ,1.764379543874652789e+00 ,1.447317176978704767e+00 ,-1.126890284683319532e+00 ,-1.211257819934975721e+00 ,-5.917889274575705016e-01 ,6.308670556750629599e-01 ,1.747501288208456738e-01 ,8.839271562082599010e-01 ,-7.660536302962074329e-01 ,1.294249631329762673e+00 ,-1.649803280844585607e-01 ,1.120033284178639787e+00 ,-2.414554958194508494e+00 ,7.479140204532029601e-02 ,2.322994206879029466e+00
2.091230078662650982e+00 ,2.322897606969591244e+00 ,1.875949521035152667e+00 ,-1.250424528968248294e+00 ,1.655256139998958265e+00 ,1.087027581858476699e+00 ,-1.020352713326562855e+00 ,-1.052855623661809625e+00 ,-5.441908721098153157e-01 ,9.977636698503837831e-01 ,-1.149577836072547043e+00 ,1.150988427419017635e+00 ,-1.214396183370226368e+00 ,6.803970259696552336e-01 ,-3.187458489491428737e-01 ,1.525437663124337151e+00 ,-1.701199042189824207e+00 ,-8.162612546983040174e-01 ,2.224127122758090991e+00
2.474131360671305568e+00 ,2.477786866096932883e+00 ,1.903217132509533283e+00 ,-1.523513200336820361e+00 ,1.719400363065675119e+00 ,1.676592373873397657e+00 ,-1.482015522539169572e+00 ,-7.888519632065336129e-01 ,3.601721794975540902e-01 ,8.020854756235454852e-01 ,7.019792106610391047e-02 ,-2.065730345689981984e-01 ,-1.611006903397243839e+00 ,1.601175934009816393e+00 ,-1.026067244926689881e+00 ,1.156888227719158113e+00 ,-1.617274816777508839e+00 ,-3.707349263264894113e-01 ,1.955773608715543510e+00
9.425262326366874444e-01 ,1.548451311332882829e+00 ,1.712343852188872972e+00 ,-1.508341607483009383e+00 ,1.682243648484345044e+00 ,6.939843871818611731e-01 ,-1.588553093895923585e+00 ,1.059173659980399362e+00 ,-6.869850381530826500e-01 ,2.612108772221790165e+00 ,3.534718514785624432e-02 ,-3.178485642401470135e-01 ,-9.557370181352152771e-01 ,8.952454378456937700e-01 ,-1.364351390828995703e+00 ,1.618047521251740894e-01 ,-1.197653689715928005e+00 ,-1.501686375270320450e+00 ,2.224127122758090991e+00
