G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
2.090115470285595745e+00 ,2.492031943812860639e+00 ,2.858115283597293832e+00 ,-2.082302699206254548e+00 ,1.901878037968539381e+00 ,2.858186861547083346e+00 ,-2.388213395335015754e+00 ,-1.793437166553873752e+00 ,2.276880881466089857e-01 ,8.262567449716256007e-01 ,-5.542971989733801452e-01 ,4.981416685023619118e-01 ,-1.437472183717151575e+00 ,3.372172312798237037e+00 ,-2.188779010063437447e+00 ,7.931033779252308902e-01 ,-1.719064489217633440e+00 ,1.050863961978924621e+00 ,2.076183700332817850e+00
2.487857120426197000e+00 ,2.805757791232953657e+00 ,2.801135378189118619e+00 ,-2.082302699206254548e+00 ,1.898716054755890559e+00 ,1.565066737401492380e+00 ,-2.206586514829746992e+00 ,-1.890209303483485481e+00 ,-4.890826768571075456e-01 ,5.469536248597730577e-01 ,-1.033202226478003194e+00 ,-8.185646789423998149e-01 ,-1.358734084430603728e+00 ,7.255688266333120140e-01 ,-1.452139282708725831e+00 ,2.054386745100151845e+00 ,-2.361167090121087053e+00 ,-3.143024240059735241e+00 ,2.651981935394268408e+00
2.487857120426197000e+00 ,2.335169020102814574e+00 ,2.217091347755329345e+00 ,-2.190786147861929933e+00 ,1.863143743613593806e+00 ,1.020595106182295098e+00 ,-2.097610386526586712e+00 ,-5.353993864689278182e-01 ,4.188269588142660149e-01 ,1.867295647206711262e+00 ,3.693053540712482041e-01 ,5.216048630333061653e-02 ,-1.811478155328251516e+00 ,2.361110306847591822e+00 ,-1.676333982338421125e+00 ,-1.374727409406661049e+00 ,-1.933098689518784719e+00 ,1.644688840143688768e+00 ,2.666025794786011538e+00
1.692373820144994490e+00 ,1.864580248972675491e+00 ,2.388031063979851432e+00 ,-1.849838166372664627e+00 ,1.837847877912405004e+00 ,7.823887675238956341e-01 ,-6.809207185854898592e-01 ,-6.805575918633450794e-01 ,-1.068049355217917246e-01 ,1.791122068994386751e+00 ,-1.922597277558015127e+00 ,-5.849554882667165057e-01 ,-9.453590631762305296e-01 ,6.066203553450011388e-01 ,-7.475273695868303037e-01 ,7.536882727010167926e-01 ,-3.920524473504959917e-01 ,2.535426157390840096e+00 ,2.497499482085099309e+00
2.090115470285595745e+00 ,2.021443172682722000e+00 ,1.604557364617450244e+00 ,-2.748701026662546898e+00 ,1.870653453743634342e+00 ,3.400055671582992156e-01 ,-2.424538771436069773e+00 ,-2.277297851201929735e+00 ,-2.501590885225353778e-01 ,-9.003443611743696673e-01 ,-1.238447238265697692e+00 ,-1.158359865379758213e+00 ,-1.791793630506614221e+00 ,5.174090018787664835e-01 ,-1.900528681968116418e+00 ,-3.461383178330801336e-02 ,-2.275553410000625387e+00 ,-1.213093386024244102e+00 ,2.385148606951157380e+00
2.885598770566798255e+00 ,2.335169020102814574e+00 ,2.359541111275766045e+00 ,-1.911828708461622783e+00 ,1.843776596436121018e+00 ,1.565066737401492380e+00 ,-2.497189523638178699e+00 ,-5.153870182087168239e-02 ,-1.731485336196882718e+00 ,1.435645370670211696e+00 ,-6.911272068318443651e-01 ,1.371092829126698276e-01 ,-1.122519786570961742e+00 ,1.260836947430711730e+00 ,-2.669196223555640124e+00 ,1.384329956288474550e+00 ,-1.205382408494869662e+00 ,-2.110139041212055200e-01 ,2.595806497827298109e+00
2.090115470285595745e+00 ,2.021443172682722000e+00 ,2.017661678826716987e+00 ,-2.097800334728495031e+00 ,1.832314407290269731e+00 ,8.164182444750958112e-01 ,-1.516404368909725742e+00 ,-3.152633356065376573e-03 ,-2.979438061894504886e-01 ,2.171989960056003532e+00 ,-9.989947245133867781e-01 ,1.899796812556464376e+00 ,-1.260311460322419697e+00 ,8.445172979216228892e-01 ,-2.124723381597809713e+00 ,4.383674309072851938e-01 ,-4.959772686865544095e-02 ,-8.419528371712653447e-01 ,2.328973169384186637e+00
1.692373820144994490e+00 ,2.178306096392768065e+00 ,2.772645425485031012e+00 ,-1.260928016527570694e+00 ,1.800694575163783728e+00 ,1.599096214352690115e+00 ,-9.715237273939190121e-01 ,-1.357962550370622967e+00 ,-2.501590885225353778e-01 ,8.516479377090669933e-01 ,6.087578678235591179e-01 ,7.339768545566428826e-02 ,3.341350502301644876e-01 ,1.587945243473568135e+00 ,-1.772417425036860728e+00 ,9.507637988220980496e-01 ,4.212775137938776226e-01 ,-1.367857943506086971e-01 ,2.483455622693356180e+00
2.487857120426197000e+00 ,2.178306096392768065e+00 ,1.690027222729713507e+00 ,-2.810691568751503056e+00 ,1.882906138692647557e+00 ,9.865656292310948094e-01 ,-2.824117908547662203e+00 ,-4.386272495393169768e-01 ,2.043507359489357800e+00 ,-2.147821572634600884e-01 ,9.564533835432095787e-02 ,-1.155111115367492974e-02 ,6.687719721979914489e-01 ,8.147801800995445598e-01 ,-2.669196223555640124e+00 ,8.719335883736644144e-01 ,-2.018712369639244830e+00 ,-6.192685078594801773e-01 ,2.076183700332817850e+00
1.692373820144994490e+00 ,1.393991477842536408e+00 ,2.772645425485031012e+00 ,-1.400406736227725490e+00 ,1.820852218144418444e+00 ,1.020595106182295098e+00 ,-6.445953424844356183e-01 ,-1.357962550370622967e+00 ,3.654921747895192169e-02 ,1.587992527094858719e+00 ,-4.858821950441486459e-01 ,-6.486670857237213372e-01 ,-2.957697440622144014e-01 ,4.281976484125338822e-01 ,-9.717220692165233764e-01 ,1.226669535391610166e+00 ,-9.240456692888322776e-02 ,-8.048387822859696117e-01 ,1.949788965807133456e+00
2.090115470285595745e+00 ,2.492031943812860639e+00 ,1.761252104489931636e+00 ,-1.989316886072819424e+00 ,1.781327427986310941e+00 ,5.101529519142982139e-01 ,-3.005744789052930965e+00 ,-1.019260071116984134e+00 ,-1.545896531887068215e-01 ,1.562601334357417215e+00 ,-8.279572146903073637e-01 ,-2.876347001340277543e-01 ,8.065636459494485155e-01 ,3.687234127683773899e-01 ,-2.316890266994691139e+00 ,4.777825361315020114e-01 ,-2.789235490723389166e+00 ,-6.934966176300769725e-01 ,2.188534575466759335e+00
1.294632170004393235e+00 ,1.707717325262629204e+00 ,2.074641584234892644e+00 ,-1.043961119216221478e+00 ,1.639828679220286078e+00 ,2.038876593535005055e-01 ,-3.176669575749521135e-01 ,-3.418551126097060799e-01 ,7.533199824826684043e-01 ,2.146598767318563805e+00 ,8.140028796112548370e-01 ,8.804112532443906236e-01 ,-2.018639655929816562e-02 ,8.445172979216228892e-01 ,-2.671101560946278486e-01 ,-9.411612519402833277e-01 ,-3.064387672300343257e-01 ,7.539515228965426585e-01 ,2.118315278508045907e+00
1.294632170004393235e+00 ,1.393991477842536408e+00 ,2.060396607882847952e+00 ,-1.539885455927878066e+00 ,1.748917100056662788e+00 ,1.701184645206291091e+00 ,-6.445953424844356183e-01 ,-6.321715233985387705e-01 ,1.470090747486384908e+00 ,3.438240829602449145e-01 ,-4.174671911149171466e-01 ,-2.239231026770237276e-01 ,-1.358734084430603728e+00 ,8.445172979216228892e-01 ,-3.952214130258813740e-01 ,2.014971639875934972e+00 ,-7.345071678323366049e-01 ,-1.510005825106631505e+00 ,1.795306512497963913e+00
8.968905198637920906e-01 ,1.237128554132490121e+00 ,6.643889253825694396e-01 ,-2.407753045173281592e+00 ,1.667496032330961331e+00 ,-4.086429257680972427e-01 ,-9.351983512928647713e-01 ,-5.837854549337341270e-01 ,2.043507359489357800e+00 ,1.373857737351039630e-02 ,-9.305797205841552788e-01 ,-5.000066916573765452e-01 ,-4.926149922785829083e-01 ,-3.449674149614897489e-01 ,-3.952214130258813740e-01 ,-3.499346735770396122e-01 ,-1.290996088615331328e+00 ,-1.584233934877222971e+00 ,2.005964403374104421e+00
2.090115470285595745e+00 ,1.864580248972675491e+00 ,1.191453050408185277e+00 ,-1.927326343983861268e+00 ,1.665519792823055845e+00 ,-3.431867930489901353e-02 ,-1.298452112303402517e+00 ,1.420055720383500975e-01 ,8.488894178164969606e-01 ,1.156342250558359153e+00 ,-4.858821950441486459e-01 ,6.043276642640362795e-01 ,4.916112488032601258e-01 ,2.497749414800665424e-01 ,-1.580250539639981522e+00 ,-4.287648840254704163e-01 ,-3.920524473504959917e-01 ,3.085828642729669946e-01 ,2.160446856683273964e+00
1.692373820144994490e+00 ,1.393991477842536408e+00 ,1.362392766632709584e+00 ,-1.694861811150271347e+00 ,1.644176406137677793e+00 ,6.803003366702972121e-01 ,-1.080499855697081957e+00 ,9.361950357354550944e-02 ,-1.545896531887068215e-01 ,4.707800466474504342e-01 ,-1.780146773626062606e-01 ,-9.649990776301414774e-02 ,-1.063466212106051190e+00 ,7.553059444553902324e-01 ,-1.356055840010286229e+00 ,2.807070100104208099e-01 ,-3.492456072902651587e-01 ,8.652936875524352978e-01 ,2.258753872425473208e+00
2.885598770566798255e+00 ,2.021443172682722000e+00 ,2.558970780204375739e+00 ,-1.260928016527570694e+00 ,1.773817717856270404e+00 ,1.292830921791892518e+00 ,3.361898122440173386e-01 ,-8.741018657225668731e-01 ,2.903632277493818137e+00 ,8.516479377090669933e-01 ,1.498152918903571162e+00 ,-4.362950942003725463e-01 ,6.294029225547171924e-01 ,4.876718840566903190e-01 ,3.734461285616420545e-01 ,1.502575271961124947e+00 ,1.644364734324956778e-01 ,4.878448007588073732e-02 ,1.949788965807133456e+00
8.968905198637920906e-01 ,9.234027067123975474e-01 ,6.928788780866571573e-01 ,-2.283771960995367500e+00 ,1.642990662432934679e+00 ,1.698581824023002451e-01 ,-2.024959634324477786e+00 ,-1.938595371948290902e+00 ,-6.324368298578512126e-01 ,-9.511267466492517864e-01 ,-6.569197048672280603e-01 ,-1.200834263684427805e+00 ,-1.457156708538787981e+00 ,-1.070704723848659445e-01 ,-1.964584310433742154e+00 ,6.354429570283663953e-01 ,-1.248189248555100495e+00 ,-1.547119879991927238e+00 ,1.977876684590619050e+00
8.968905198637920906e-01 ,9.234027067123975474e-01 ,1.932191820714455943e+00 ,-1.012965848171742511e+00 ,1.599908641160597389e+00 ,1.360889875694293094e+00 ,-1.723654531707375370e-01 ,2.871637774327672754e-01 ,4.666116764811811257e-01 ,1.638774912569741504e+00 ,4.035128560358645644e-01 ,-5.402550945834378587e-02 ,-2.170316447756666101e-01 ,9.932028870320118719e-01 ,-5.873882984227627446e-01 ,1.344914851064260564e+00 ,5.496980339745700661e-01 ,-6.255768458001186028e-02 ,1.725087215539250485e+00
8.968905198637920906e-01 ,1.080265630422443834e+00 ,1.191453050408185277e+00 ,-1.152444567871895087e+00 ,1.419675598039627173e+00 ,9.865656292310948094e-01 ,-1.625380497212888464e+00 ,3.839359143623781723e-01 ,-9.191451358593367704e-01 ,2.930416974853620182e-01 ,-7.937497127256910590e-01 ,4.556672701976930417e-01 ,5.309802984465329390e-01 ,-1.785911891863335016e-02 ,-1.644306168105607258e+00 ,1.778481008530636842e+00 ,-8.629276880130291039e-01 ,4.941531386994564290e-01 ,1.472297746487881698e+00
1.294632170004393235e+00 ,9.234027067123975474e-01 ,2.145866465995110772e+00 ,-1.043961119216221478e+00 ,1.655243347381948116e+00 ,1.394919352645493271e+00 ,-8.625475990907587320e-01 ,-1.116032208046594976e+00 ,1.321186528127804571e-01 ,1.373857737351039630e-02 ,5.745503658589439233e-01 ,-6.274298865713862083e-01 ,-1.890216254614798475e+00 ,1.468996772185257260e+00 ,-1.003749883449337243e+00 ,7.536882727010167926e-01 ,-3.492456072902651587e-01 ,-2.544362969471608907e-02 ,1.696999496755764891e+00
8.968905198637920906e-01 ,9.234027067123975474e-01 ,1.177208074056140363e+00 ,-1.555383091450118771e+00 ,1.558407611494584177e+00 ,2.719466132558986393e-01 ,-1.770682001617102985e+00 ,3.839359143623781723e-01 ,-2.113763077532198498e+00 ,1.486427756145094703e+00 ,-1.238447238265697692e+00 ,-3.278831030601011415e-02 ,-1.299680509965693176e+00 ,2.200378236579883240e-01 ,-1.772417425036860728e+00 ,2.412919047862039923e-01 ,-1.076961888314180271e+00 ,-5.450403980888832711e-01 ,1.682955637364022206e+00
1.294632170004393235e+00 ,2.335169020102814574e+00 ,1.462107601097013543e+00 ,-1.245430381005332210e+00 ,1.536273729006044197e+00 ,9.525361522798945213e-01 ,-1.262126736202350719e+00 ,-1.261190413441012126e+00 ,8.488894178164969606e-01 ,8.770391304465076088e-01 ,-5.200896970087650617e-01 ,-5.402550945834378587e-02 ,-2.564006944189408665e-01 ,1.677156596939803013e+00 ,-2.991379703274417712e-01 ,-2.316893579043892426e-01 ,-2.189939729880165054e+00 ,2.127171553652565272e+00 ,1.865525809456677564e+00
1.692373820144994490e+00 ,1.393991477842536408e+00 ,1.604557364617450244e+00 ,-6.875155022047152453e-01 ,1.389636757519465249e+00 ,8.844771983774963875e-01 ,-1.360400770696832407e-01 ,-8.257157972577622296e-01 ,-2.501590885225353778e-01 ,5.215624321223324422e-01 ,-2.464296812918377877e-01 ,3.070068761313482497e-01 ,-9.847281128195040090e-01 ,1.082414240498246638e+00 ,-1.710267133961859976e-01 ,3.595372204588543896e-01 ,-4.959772686865544095e-02 ,-1.510005825106631505e+00 ,1.598692481013566091e+00
8.968905198637920906e-01 ,4.528139355822585199e-01 ,1.362392766632709584e+00 ,-1.586378362494597738e+00 ,1.616904300928583504e+00 ,1.017992284998996827e-01 ,-1.480078992808671279e+00 ,-5.353993864689278182e-01 ,-1.158068724193908938e+00 ,2.168681192730394225e-01 ,-8.621647166549237795e-01 ,4.131928718930226729e-01 ,-2.367161695973037383e-01 ,1.605635880138339688e-01 ,-1.356055840010286229e+00 ,-3.461383178330801336e-02 ,-1.034155048253949438e+00 ,-2.110139041212055200e-01 ,1.416122308920910733e+00
1.014072195825896500e-01 ,2.021443172682722000e+00 ,1.860966938954237815e+00 ,-9.664729416050248378e-01 ,1.565126825821462786e+00 ,2.347744707279086462e+00 ,-3.176669575749521135e-01 ,-1.212804344976205817e+00 ,2.754728058135240687e-01 ,9.024303231839490014e-01 ,-1.101617230407234693e+00 ,-1.094648267922753382e+00 ,-2.760852192405772731e-01 ,1.141888476142401077e+00 ,1.172236146991350036e-01 ,2.803273744360259556e+00 ,-7.773140078925674379e-01 ,-7.677247274006737676e-01 ,1.654867918580536834e+00
1.294632170004393235e+00 ,1.707717325262629204e+00 ,1.276922908520446542e+00 ,-1.477894913838922131e+00 ,1.556826619888260099e+00 ,-5.447608335728959528e-01 ,-7.898968468886501393e-01 ,-1.261190413441012126e+00 ,1.135597723817982629e+00 ,2.324337116480650334e+00 ,3.008903501420167048e-01 ,9.865972490060650468e-01 ,-5.319840419218564431e-01 ,-7.315499466485004820e-01 ,-1.644306168105607258e+00 ,8.363148388933959454e-02 ,4.640843538541084556e-01 ,-1.547119879991927238e+00 ,1.907657387631905399e+00
8.968905198637920906e-01 ,1.864580248972675491e+00 ,1.305412861224534149e+00 ,-1.152444567871895087e+00 ,1.456828900788248005e+00 ,1.054624583133495497e+00 ,-1.116825231798133533e+00 ,-1.938595371948290902e+00 ,3.232575234804375142e-01 ,-2.655645427383421242e-01 ,-1.204239736301082386e+00 ,1.666187621880780290e+00 ,-1.024097162462777488e+00 ,1.439259654363179042e+00 ,-1.259972397311846626e+00 ,1.624616943377731881e-01 ,-5.204729675311854376e-01 ,6.054953033553490682e-01 ,1.626780199797051241e+00
4.991488697231908911e-01 ,1.237128554132490121e+00 ,1.800597294130841797e-01 ,-2.438748316217760781e+00 ,1.543783439136084734e+00 ,-1.704365871096977236e-01 ,-2.642491028042392998e+00 ,6.742523251512125837e-01 ,2.330215665490843246e+00 ,6.993007812844200810e-01 ,7.455878756820233377e-01 ,5.830904651117025939e-01 ,6.687719721979914489e-01 ,9.039915335657793261e-01 ,-2.060667753132184199e+00 ,-1.492972725079310115e+00 ,-2.532394450362007277e+00 ,1.972406996170743831e-01 ,1.247595996219998504e+00
8.968905198637920906e-01 ,4.528139355822585199e-01 ,1.020513334183660970e+00 ,-1.415904371749963975e+00 ,1.458409892394572305e+00 ,-3.405839718656966664e-01 ,-9.715237273939190121e-01 ,-5.153870182087168239e-02 ,2.186861512490101411e+00 ,4.961712393848909941e-01 ,1.703397930691266771e+00 ,8.166996557873851259e-01 ,2.160279013003431337e-01 ,-2.260189436731789014e-01 ,-1.067805511914965200e+00 ,-3.893497788012564298e-01 ,-6.488934877118779365e-01 ,-6.934966176300769725e-01 ,1.149288980477799482e+00
4.991488697231908911e-01 ,4.528139355822585199e-01 ,1.419372672040883021e+00 ,-8.424918574271085259e-01 ,1.383708038995749234e+00 ,8.504477214262960993e-01 ,8.191217953663991469e-02 ,-1.966969072152888742e-01 ,9.922435708172405722e-01 ,4.961712393848909941e-01 ,3.008903501420167048e-01 ,-4.362950942003725463e-01 ,5.855170272724893876e-02 ,7.850430622774684508e-01 ,-6.514439268883883694e-01 ,5.960278518041496332e-01 ,1.277414314998482014e+00 ,1.972406996170743831e-01 ,1.219508277436512911e+00
8.968905198637920906e-01 ,1.707717325262629204e+00 ,1.134473145000009842e+00 ,-1.012965848171742511e+00 ,1.342602257231316987e+00 ,1.122683537035893631e+00 ,-1.552729745010779983e+00 ,-1.966969072152888742e-01 ,-5.846521121909360463e-01 ,9.532127086588311204e-01 ,-2.093634787381094320e+00 ,7.954624566350514403e-01 ,2.160279013003431337e-01 ,1.231099829608635732e+00 ,-2.573112780857198079e+00 ,5.566127465799356466e-01 ,3.784706737336467897e-01 ,1.601266447317733488e-01 ,1.373990730745682898e+00
4.991488697231908911e-01 ,1.080265630422443834e+00 ,1.333902813928621978e+00 ,-1.555383091450118771e+00 ,1.599908641160597389e+00 ,7.823887675238956341e-01 ,-1.952308882122371969e+00 ,-4.870133180041215648e-01 ,-2.501590885225353778e-01 ,3.184328902228034663e-01 ,4.035128560358645644e-01 ,2.621861583735849877e+00 ,-7.878828646031356131e-01 ,5.768832375229229203e-01 ,-1.836473053502488684e+00 ,8.719335883736644144e-01 ,-1.333802928675560606e+00 ,-1.027523111597754779e+00 ,1.373990730745682898e+00
8.968905198637920906e-01 ,4.528139355822585199e-01 ,1.020513334183660970e+00 ,-1.586378362494597738e+00 ,1.520859060844382382e+00 ,-6.834815625609928780e-02 ,-1.189475984000242237e+00 ,-7.773297287929559207e-01 ,-5.846521121909360463e-01 ,-6.210412410625172352e-01 ,-2.122221793272214274e-01 ,-3.513462975910325858e-01 ,-1.988638878722982728e+00 ,-1.070704723848659445e-01 ,-1.420111468475914185e+00 ,1.230465891135563983e-01 ,-4.776661274709576577e-01 ,4.199250289288595783e-01 ,1.444210027704396326e+00
8.968905198637920906e-01 ,4.528139355822585199e-01 ,1.604557364617450244e+00 ,-6.410225956379977941e-01 ,1.370664858243573425e+00 ,2.038876593535005055e-01 ,-6.082699663833812664e-01 ,5.290941197567954335e-01 ,3.654921747895192169e-02 ,2.451293080167856075e+00 ,3.350978521066318438e-01 ,-1.389743060676845166e-01 ,6.490874473763542651e-01 ,3.389862949463012809e-01 ,-8.756386265180837736e-01 ,-7.402893700752481709e-02 ,3.601595325180621809e-02 ,-9.532950018271632020e-01 ,1.219508277436512911e+00
1.692373820144994490e+00 ,1.550854401552582917e+00 ,3.225094929335207694e-01 ,-1.586378362494597738e+00 ,1.250904744064507579e+00 ,5.101529519142982139e-01 ,-1.189475984000242237e+00 ,5.774801882216017423e-01 ,2.712493406826159248e+00 ,2.168681192730394225e-01 ,2.216510460160504792e+00 ,3.707184735883538029e-01 ,1.569743268354331645e-01 ,5.471461197008447019e-01 ,-1.356055840010286229e+00 ,2.807070100104208099e-01 ,-4.348592874107268247e-01 ,-6.934966176300769725e-01 ,1.528473184054852441e+00
1.692373820144994490e+00 ,4.528139355822585199e-01 ,9.920233814795732519e-01 ,-1.818842895328187659e+00 ,1.586865460408422024e+00 ,-2.725250179632985326e-01 ,-9.715237273939190121e-01 ,-3.418551126097060799e-01 ,1.852368488821699133e+00 ,5.977360103346559539e-01 ,1.292907907115877775e+00 ,-6.486670857237213372e-01 ,7.823622754888606701e-02 ,-1.665447080290224369e-01 ,-5.553604841899488775e-01 ,-3.499346735770396122e-01 ,-1.205382408494869662e+00 ,-1.806918264189013579e+00 ,1.191420558653027539e+00
1.294632170004393235e+00 ,9.234027067123975474e-01 ,1.818232009898105073e+00 ,-4.240556983266485780e-01 ,1.364736139719857411e+00 ,7.143298136214973892e-01 ,2.635390600419088014e-01 ,-6.805575918633450794e-01 ,-5.902021785487830685e-02 ,3.946064684351269780e-01 ,3.350978521066318438e-01 ,1.984745609165803559e+00 ,-8.666209638896826828e-01 ,3.984605305904556083e-01 ,1.046030227450725825e+00 ,8.325184831494476523e-01 ,-8.629276880130291039e-01 ,6.426093582406500193e-01 ,1.542517043446595126e+00
1.692373820144994490e+00 ,7.665397830023511494e-01 ,1.006268357831618054e+00 ,-1.090454025782938929e+00 ,1.324816101660168943e+00 ,-8.169966491824933730e-01 ,-4.629684619791666900e-01 ,-7.289436603281496119e-01 ,-7.757909828585948242e-01 ,8.008655522341840971e-01 ,-6.977167539526906055e-03 ,1.836085215099460211e+00 ,-9.847281128195040090e-01 ,-4.639158862498005687e-01 ,-4.913048557243209213e-01 ,-1.019991462388715409e+00 ,-1.780182470493448799e-01 ,-1.367857943506086971e-01 ,1.472297746487881698e+00
8.968905198637920906e-01 ,4.528139355822585199e-01 ,6.501439490305266355e-01 ,-9.974682126495018064e-01 ,1.113358474314293467e+00 ,-2.384955410120982722e-01 ,-4.266430858781123936e-01 ,-5.353993864689278182e-01 ,6.099658294819247928e-01 ,3.184328902228034663e-01 ,2.666828481774003445e-01 ,3.282440752836834341e-01 ,-7.923997102420954342e-02 ,1.605635880138339688e-01 ,-4.913048557243209213e-01 ,-7.440857258192020707e-01 ,-1.780182470493448799e-01 ,4.570390838141606404e-01 ,1.036938105343857774e+00
8.968905198637920906e-01 ,7.665397830023511494e-01 ,1.390882719336795414e+00 ,-1.090454025782938929e+00 ,1.464338610918288541e+00 ,1.088654060084693231e+00 ,-6.809207185854898592e-01 ,-1.164418276511401285e+00 ,-1.062499288860080382e+00 ,7.500831667593020891e-01 ,-1.854182273628783628e+00 ,-8.185646789423998149e-01 ,-8.075673894247720197e-01 ,6.660945909891555772e-01 ,-3.311657845602534733e-01 ,1.384329956288474550e+00 ,-9.913482081937184942e-01 ,-1.881146373959610374e+00 ,9.807626677768870316e-01
1.294632170004393235e+00 ,4.528139355822585199e-01 ,6.358989726784817220e-01 ,-1.477894913838922131e+00 ,1.342602257231316987e+00 ,-1.023776332072995759e-01 ,-8.988729751918129729e-01 ,4.523343510873920753e-02 ,-1.545896531887068215e-01 ,-1.639997717885771644e-01 ,-8.621647166549237795e-01 ,1.583464820650050120e-01 ,-2.760852192405772731e-01 ,-1.070704723848659445e-01 ,-7.475273695868303037e-01 ,-7.402893700752481709e-02 ,-7.345071678323366049e-01 ,-7.306106725153727055e-01 ,1.219508277436512911e+00
1.014072195825896500e-01 ,1.550854401552582917e+00 ,1.647292293673582764e+00 ,-3.620651562376903665e-01 ,1.267109908029331544e+00 ,2.381774184230287084e+00 ,-7.535714707875958984e-01 ,-1.648278961159457490e+00 ,-1.205853441860823994e+00 ,-7.479972047497227550e-01 ,-1.170032234336466193e+00 ,-9.459878738564093670e-01 ,-1.142204311392599037e+00 ,2.717955720712526446e+00 ,-9.717220692165233764e-01 ,1.069009114494745560e+00 ,-6.790886808424610559e-03 ,1.236434236405414167e+00 ,1.261639855611741190e+00
4.991488697231908911e-01 ,9.234027067123975474e-01 ,8.638185943111814646e-01 ,-8.889847639938283086e-01 ,1.159602478799279135e+00 ,-2.384955410120982722e-01 ,-6.338932486757467566e-02 ,-1.406348618835429276e+00 ,9.922435708172405722e-01 ,-3.417381209506655804e-01 ,2.666828481774003445e-01 ,-9.649990776301414774e-02 ,1.372898020137960362e-01 ,1.187799890344488560e-02 ,4.054739427944559771e-01 ,-5.075950944739040516e-01 ,-6.488934877118779365e-01 ,3.828109740435637898e-01 ,1.345903011962197304e+00
8.968905198637920906e-01 ,9.234027067123975474e-01 ,7.641037598468755077e-01 ,-8.889847639938283086e-01 ,1.113753722215874431e+00 ,-2.892023536987356242e-04 ,-8.262222229897044912e-01 ,4.523343510873920753e-02 ,2.276880881466089857e-01 ,8.770391304465076088e-01 ,-5.200896970087650617e-01 ,2.303303596450826607e+00 ,1.062462468630728463e+00 ,2.200378236579883240e-01 ,-9.396942549837117298e-01 ,-2.711044631286060325e-01 ,-4.348592874107268247e-01 ,1.013749907093628888e+00 ,1.107157402302571203e+00
8.968905198637920906e-01 ,6.096768592923048624e-01 ,5.789190672703082852e-01 ,-5.945296890712802318e-01 ,8.437994054359997387e-01 ,4.420939980118976376e-01 ,-2.706394876652038275e-02 ,-2.083753577342707164e+00 ,1.278951876818726241e+00 ,-1.636688950560161393e+00 ,3.350978521066318438e-01 ,-7.336158823330605205e-01 ,1.278992241668734042e+00 ,1.903007058359121872e-01 ,2.114017200069315261e-02 ,5.960278518041496332e-01 ,-9.240456692888322776e-02 ,1.162206126634817371e+00 ,9.245872302099161777e-01
