G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
-1.699603950058632851e+00 ,-1.003925299321047682e+00 ,-1.013942194533100194e+00 ,1.254161543045651639e+00 ,-1.311748417793259236e+00 ,2.386342567757850086e-01 ,1.722695448249042860e+00 ,5.350537132817694275e-01 ,5.183108147533977972e-01 ,-1.245471552918574920e+00 ,-7.728797874354922381e-01 ,7.942665965623625368e-01 ,1.626520404074555559e+00 ,-8.039946339325786118e-02 ,1.723078698508796247e+00 ,6.284288604397120226e-01 ,9.331762537137959779e-01 ,-2.520626916541653939e-01 ,-9.481712305580493050e-01
-5.486824327520473110e-01 ,-5.552269376126168776e-01 ,-7.727310044939362799e-01 ,2.424373033437920710e-01 ,-7.208941191257786096e-01 ,-5.867562056631430156e-01 ,6.808733532769349894e-01 ,3.243931935264155464e-01 ,6.142892352115564281e-01 ,-1.294139575749013948e+00 ,-5.988926110694986482e-01 ,6.424333259054174627e-01 ,4.486752343451588798e-02 ,-5.103047551391808323e-01 ,7.937501300712868080e-01 ,-4.058116198215361847e-01 ,7.325274346557986149e-02 ,-4.318879046025663748e-01 ,-4.436981440528252052e-01
9.858795903234001123e-01 ,1.389132629790583717e+00 ,6.879367574098931293e-01 ,-5.321640676779462176e-01 ,8.718267761065481292e-01 ,9.649778637220426392e-01 ,-1.179523244887540345e+00 ,-1.413556094455260759e+00 ,-6.814194409735884195e-01 ,-2.721110963097914115e-01 ,2.014484002140706775e-01 ,-1.309708725398173179e+00 ,-7.714694472184088214e-01 ,-2.032295467492355456e-01 ,-4.239907527088947470e-01 ,1.306034692335014791e+00 ,-1.990563681130137486e+00 ,-2.880277342438486432e-01 ,9.255859478899259862e-01
6.022390845545382287e-01 ,3.421697858042449525e-01 ,2.055143773315651623e-01 ,-1.196108099982292838e+00 ,9.490121841623915255e-01 ,-5.850630970222860106e-02 ,-1.253939108814117853e+00 ,9.037096228536397602e-01 ,3.841871246260333828e-02 ,-3.207791191402304398e-01 ,1.662940681688417577e+00 ,8.810284655091900063e-01 ,3.680009076512980593e-01 ,-4.969194255426290230e-02 ,-1.193090257622693828e+00 ,-2.274942956385622717e-01 ,-7.866707667826362549e-01 ,-1.223118841575531635e+00 ,1.040894081948262828e+00
-1.315963444289770967e+00 ,-8.543591787515707470e-01 ,-7.459297611562509811e-01 ,1.538708985461799683e+00 ,-1.284733524973713958e+00 ,-1.048974864628942294e+00 ,1.971702377541724449e-01 ,-3.075883657396480952e-01 ,-5.374518102863496960e-01 ,4.822432575620161366e-01 ,6.538150587656541557e-01 ,3.821477190649381073e-01 ,4.360289885390414288e-01 ,1.038456616407097410e-01 ,9.219333808902552274e-01 ,-2.188984861651275260e+00 ,-1.130640170881921369e+00 ,-1.043293628627130598e+00 ,-1.049065847859093958e+00
-9.323229385209091946e-01 ,-5.552269376126168776e-01 ,-7.861316261627779856e-01 ,1.096079630592236009e+00 ,-1.141554593030124520e+00 ,-1.313099812609400674e+00 ,4.576257614972000232e-01 ,-5.182488854950038082e-01 ,8.640792269168347250e-02 ,4.335752347315762201e-01 ,6.225865912127632323e-02 ,-1.071113585794401635e+00 ,1.371415100745516868e+00 ,-1.554360463664994363e+00 ,8.898875681855130670e-01 ,-4.414750846581314558e-01 ,-4.427013626833479765e-01 ,2.514479046013541885e-01 ,-7.607955127132517426e-01
2.185985787856764007e-01 ,1.090000388651629848e+00 ,1.117100256496675326e-01 ,-2.792330077524818321e-01 ,2.991110483321908764e-01 ,3.046654937709001865e-01 ,-4.725725375850376442e-01 ,1.137326737710597502e-01 ,2.783647636080006094e-01 ,1.260931622849041922e+00 ,-1.468828492899466376e+00 ,1.444980613663559454e+00 ,-1.655834498759076290e+00 ,9.636562451325556555e-01 ,4.412461903191305379e-01 ,-7.981097330240792820e-01 ,-1.646594277030852371e+00 ,-6.476781601406506050e-01 ,5.508345122003308614e-01
-1.315963444289770967e+00 ,-4.056608170431398874e-01 ,-9.469390861888878907e-01 ,1.206736969309627483e+00 ,-1.266209027040311463e+00 ,-1.379131049604513493e+00 ,3.832098975706199617e-01 ,1.535691182119705234e+00 ,-3.934841795991110280e-01 ,1.260931622849041922e+00 ,7.234099293120512808e-01 ,3.821477190649381073e-01 ,4.700430289829137798e-01 ,-1.032332609402088597e+00 ,-7.148681295673622871e-02 ,-1.333061705572999855e+00 ,9.761724292262073943e-01 ,-9.353985008580910643e-01 ,-5.301792445965778366e-01
-1.650419269831854552e-01 ,-5.552269376126168776e-01 ,-1.670572656306379855e+00 ,4.637519807785728254e-01 ,-1.348797413660063782e+00 ,-2.566000206875718170e-01 ,6.064574893503575925e-01 ,2.062342481508091740e+00 ,5.183108147533977972e-01 ,-1.488811667070770728e+00 ,1.318535296676734969e-01 ,-1.071113585794401635e+00 ,5.380711098706572049e-01 ,-2.953521092662182435e-01 ,1.562849634985087999e+00 ,-1.561673659653717017e-01 ,-1.560601926006029538e+00 ,-2.481895332214338001e+00 ,-9.049306802861728505e-01
-1.650419269831854552e-01 ,-1.003925299321047682e+00 ,-4.109142194351893540e-01 ,1.064463248101552351e+00 ,-9.161732015070620516e-01 ,-8.508811536435990641e-01 ,4.576257614972000232e-01 ,1.483026052180865806e+00 ,-1.065333122806223498e+00 ,8.229194173750900010e-01 ,8.625996704048456420e-01 ,5.339809897218846801e-01 ,4.870500492048487340e-01 ,-1.707898067859967117e+00 ,-7.395187547254307089e-03 ,3.787846065835500098e-01 ,1.664111237424780843e+00 ,7.909235434465570203e-01 ,-1.063479364616386036e+00
9.858795903234001123e-01 ,1.389132629790583717e+00 ,1.639380895897707413e+00 ,-1.290957247454341372e+00 ,1.580002895018910447e+00 ,1.262118430200056318e+00 ,-1.402770836667275312e+00 ,8.402413893382799231e-03 ,-1.017343912577144183e+00 ,1.309599645679481617e+00 ,-1.712410539811858534e+00 ,1.553432949847092237e+00 ,-1.298687074098421768e+00 ,1.086486328488535547e+00 ,-1.000815381394243531e+00 ,1.270371227498419575e+00 ,-1.345621048443975454e+00 ,-3.073935264081607572e-04 ,1.617434752239947482e+00
2.185985787856764007e-01 ,-1.065285759041859348e-01 ,5.941324057279955273e-01 ,-6.112050239046540323e-01 ,8.502148618509118849e-01 ,-5.537405871655853851e-01 ,7.552892172035150509e-01 ,-5.709140154338413486e-01 ,8.640792269168347250e-02 ,4.579092461467961783e-01 ,-7.032849168890951130e-01 ,2.520049156446984018e-01 ,1.979307054319388859e-01 ,-6.331348384951585029e-01 ,8.257959427760288573e-01 ,-3.344846901483455870e-01 ,2.882336210276338906e-01 ,-7.223747870576445462e-02 ,5.220074786857465954e-01
