"","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR","YEAR"
"62",-0.84061,-0.479147,0.857124,-0.502034,1.11327,0.55127,1.42738,0.0621323,0.53125,2015
"63",-0.320877,-2.1372,0.999702,1.41669,0.709863,-0.0979183,2.31598,1.75049,0.6875,2015
"64",0.718588,-1.4118,-1.47164,1.10434,-1.68683,1.20046,-0.295428,-0.203627,0.6,2015
"65",-1.49028,-0.617317,0.239288,0.16729,0.520026,0.273046,0.121672,-0.547552,0.419355,2015
"66",-1.19793,0.522592,1.42743,1.0151,-0.500351,0.798579,1.26416,1.51599,0.322581,2015
"67",-0.905577,-0.582775,0.096711,0.479641,1.35056,-0.159746,0.611312,-0.141096,0.580645,2015
"68",0.686105,0.660763,-2.137,-1.2606,-1.04613,0.396701,-0.404236,-0.656982,0.59375,2016
"69",1.30329,-0.237348,0.096711,-1.34984,-0.334243,-0.345228,-0.168484,0.593652,0.484848,2016
"70",0.523688,0.453507,0.809598,1.68442,0.258999,-0.808934,-0.168484,0.890677,0.533333,2016
"71",-1.55524,-0.582775,-0.0458665,-3.75941,0.994619,-2.0764,-0.0234059,-0.75078,0.34375,2016
"72",0.296305,-0.479147,-1.04391,-0.502034,1.20819,-0.499797,0.828929,-1.21977,0.736842,2016
"73",-0.710677,1.10982,0.0491851,0.211911,-1.04613,1.47868,-0.658123,0.0152336,0.266667,2016
"74",-0.255911,-0.617317,-0.568651,-0.680521,-0.808837,0.273046,0.357425,0.843778,0.4375,2016
"75",0.166372,-0.859116,-0.568651,0.0780467,0.306458,-0.994416,0.556907,0.749981,0.53125,2016
"76",1.56315,0.280793,-1.89937,-0.189683,-1.44954,0.674925,0.121672,0.202829,0.5,2016
"77",-0.710677,-0.0300913,0.381866,-0.0558182,-2.04278,-0.499797,0.593177,0.703082,0.34375,2016
"78",0.523688,-0.168262,-1.04391,0.16729,0.472566,1.20046,0.538773,0.406057,0.709677,2016
