"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","YEAR","WR"
51.2,51.7,18.3,16,31.7,33.3,32.5,33.8,2015,0.366666666666667
46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,2015,0.3
45.5,50,21.9,18.5,35.9,30.4,41.1,44.7,2015,0.266666666666667
48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,2015,0.628571428571429
46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,2015,0.515151515151515
47.3,48.7,20.5,17.5,34,31.3,42.4,35.2,2015,0.53125
48.9,43.9,20.8,21.8,32.3,29.2,47.3,46,2015,0.6875
52.1,46,15.6,21.1,22.2,33.4,32.9,33.5,2015,0.6
45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,2015,0.419354838709677
46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,2015,0.32258064516129
47.1,48.4,18.9,19.7,35,29,37.9,33.9,2015,0.580645161290323
52,52,14.2,15.8,24.9,30.8,32.3,30.6,2016,0.59375
53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,2016,0.484848484848485
51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,2016,0.533333333333333
45.1,48.4,18.6,10.2,33.5,22.8,34.4,30,2016,0.34375
50.8,48.7,16.5,17.5,34.4,27.9,39.1,27,2016,0.736842105263158
47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,2016,0.266666666666667
49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,2016,0.4375
50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,2016,0.53125
54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,2016,0.5
47.7,50,19.5,18.5,20.7,27.9,37.8,39.3,2016,0.34375
51.5,49.6,16.5,19,31.3,33.4,37.5,37.4,2016,0.709677419354839
51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,2017,0.53125
48.9,49.9,20,17.6,29,30.2,37.1,33.3,2017,0.3125
48.4,53,19.7,25.6,23.4,31,26.7,43.5,2017,0.419354838709677
49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,2017,0.606060606060606
49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,2017,0.571428571428571
53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,2017,0.5
49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,2017,0.454545454545455
53.9,49.9,16.2,20,20.7,30.7,31.6,34.6,2017,0.628571428571429
46.6,51.2,17,18,29.8,26.6,40.1,32.5,2017,0.354838709677419
47,50.6,20.3,16.9,24.2,27.3,34.4,38.5,2017,0.363636363636364
49.7,49.9,17.6,20.9,33,31,42.4,41.5,2017,0.625
55.5,54.4,20.2,18.4,25.8,27.5,31.8,29.2,2018,0.451612903225806
49.7,50.8,17.6,18.4,33,28.9,35.4,36.4,2018,0.5
47.9,52.3,18.5,21.1,18.8,32.8,26.9,30.4,2018,0.290322580645161
49.1,52.1,18.2,16.1,27.9,26.7,31.8,30.8,2018,0.484848484848485
49.5,51.4,19.2,17.1,31.7,30,28.9,28.1,2018,0.454545454545455
49,51.7,16.5,17.5,25.5,25.4,31,33.8,2018,0.40625
52.5,51.5,18.6,16.5,27.2,29.7,25.1,33.2,2018,0.393939393939394
52.1,55.4,16.9,19,23.4,28.3,29.7,31.4,2018,0.375
48.8,49.6,13.9,16.2,23.5,24.5,34.6,24.6,2018,0.5
47.1,49.3,19.5,18.3,33.8,27,45.8,35.1,2018,0.53125
52.6,51.5,18.7,17.8,29,27,28.1,29.4,2018,0.545454545454545
53.1,48.3,16.7,16.7,23.3,24.8,28.3,30,2019,0.727272727272727
56.1,47.9,18.8,16.8,26.9,27.4,32.1,23.8,2019,0.636363636363636
49.9,49.9,19.8,21.6,31.9,35.1,35,31.9,2019,0.59375
46.8,49.5,16.4,19.1,25.1,28,24.5,36.9,2019,0.387096774193548
50.1,50.2,18.9,18.2,29,27.2,34.2,30.6,2019,0.545454545454545
45.8,51.2,18.2,17.1,23.4,28.5,32.6,30.2,2019,0.272727272727273
47.2,51.3,20.2,19.8,28.9,28.9,28.5,41.3,2019,0.32258064516129
51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,2019,0.34375
47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,2019,0.545454545454545
54.1,53.1,15.3,18.5,19.1,29.9,30.7,28.7,2019,0.393939393939394
48,51.7,13.5,15.7,22,24.4,31.7,27.1,2019,0.424242424242424
48.3,47.2,18.7,19.8,29.2,28.7,28.2,31.5,2019,0.529411764705882
50.8,49.4,18.8,18.8,26,30.9,35,40.8,2015,0.40625
46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,2015,0.516129032258065
50.1,47.3,21.9,18,31.8,31.9,46.9,37.9,2015,0.515151515151515
44.4,49.2,19.6,18,38.7,25.8,31.1,33.8,2015,0.387096774193548
49.9,47.6,15.9,17.3,29.5,29.3,35.5,28.5,2015,0.657894736842105
49.1,50,15.7,17.4,34.3,31.6,34.8,37.8,2015,0.545454545454545
47.3,46.4,17.9,21.1,33.5,31.3,35.4,30,2015,0.580645161290323
51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,2015,0.333333333333333
47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,2015,0.40625
47.5,52.4,20,19.5,21.8,28.6,25.9,37,2016,0.21875
50.6,47.9,15.8,18,30.3,30.3,33.3,28.5,2016,0.548387096774194
51.8,50.9,18,18.9,32.8,28.3,37.8,36.7,2016,0.588235294117647
49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,2016,0.583333333333333
51.9,44.7,17.1,21.6,38.5,29.2,31.8,40.5,2016,0.741935483870968
48.5,50.6,16.1,15,36.3,30.4,38.9,29.7,2016,0.484848484848485
50,49,18,17.9,30.3,31.8,49.4,33.5,2016,0.571428571428571
49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,2016,0.354838709677419
51.6,53.2,20.1,17.2,25.6,24.2,29.6,39.6,2017,0.28125
51.1,51.9,15.8,20.1,31.4,32.2,34.3,24.1,2017,0.515151515151515
47.4,46,19.3,18.8,27.7,30.8,35.8,27.4,2017,0.583333333333333
52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,2017,0.46875
51.4,51.3,17.6,14.3,28.2,29.5,39.4,26.6,2017,0.484848484848485
53.5,50.3,18,19.7,31.6,34.5,35.1,29.2,2017,0.558823529411765
52.1,51.8,18.2,17.6,30.1,26,30.7,27.1,2018,0.542857142857143
46.9,49.2,19.2,18.9,30.8,30.6,34.8,31.8,2018,0.40625
51.8,47,16.7,18.9,28.6,31.4,31.9,29.3,2018,0.611111111111111
51.1,49.3,14.7,16.4,31.1,28.8,31,22.6,2018,0.6
48.2,50.1,20.9,16.6,22.7,34.8,31.9,31.3,2018,0.25
50.5,51.5,18.8,17.5,30.5,27.7,31.9,39,2018,0.354838709677419
