"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","YEAR","WR"
45.6,51.9,18.7,20.5,33.5,30.7,39.3,41.7,2018,0.433333333333333
49.4,50,21.1,20.2,31.6,29.8,31.3,43.1,2018,0.466666666666667
51.2,51.5,19.5,18,27.8,28.6,37.5,31.5,2018,0.606060606060606
48.1,56.6,16.7,20.9,26.7,35.8,29.3,30.8,2018,0.5
46.7,56.5,18.5,18.9,29.4,32.8,35.9,33.6,2018,0.333333333333333
48.3,47.8,21.5,19.7,33.5,31.5,37.1,36.6,2019,0.482758620689655
45.5,50.2,23.3,16.7,26,28.9,37.7,33.6,2019,0.242424242424242
40,52.4,19,18.9,27.8,31.6,25.5,39.2,2019,0.206896551724138
49.1,48.5,24.6,21.7,27.9,32.4,31.1,40.5,2019,0.413793103448276
48.5,51.8,16.8,19.8,29.2,33.4,33.8,37.8,2019,0.548387096774194
43.5,54.4,20.7,19,22.8,31.7,28.3,36.6,2019,0.233333333333333
43.7,53.4,17.9,23.9,31.8,35.2,34.3,39.9,2019,0.321428571428571
49.6,49.2,20.3,20.7,27.4,28.9,38.2,42.6,2019,0.666666666666667
51.1,48.8,19.4,20.7,27.1,34.7,31.1,32,2019,0.633333333333333
48,53.8,19.9,19.3,28,34.6,25.2,33.3,2019,0.366666666666667
47.2,56.4,20.8,20.4,31.6,30.2,39.7,40,2019,0.25
42.3,50.3,20.4,21.9,32,29,37.8,46.2,2015,0.25
52.1,54.9,22.3,16.9,23.3,32,34,30.5,2015,0.266666666666667
52.1,49.4,19.3,19.9,25.8,28,44.3,31.4,2015,0.657142857142857
48.4,47,19.9,20.5,36.2,29.3,34.8,40.3,2015,0.617647058823529
49.4,48.6,20.9,20.8,26.4,31.7,42.3,37.6,2015,0.466666666666667
53.3,49.2,21,20.2,28.7,32.1,33.3,30.2,2015,0.628571428571429
45.4,49.6,19.5,16.4,29.7,30,31.7,36.8,2015,0.310344827586207
45.7,51.4,20.8,21.3,31.4,26.2,41,40.8,2015,0.34375
43,49.7,25.4,17,24.9,26.7,38.3,52.2,2016,0.129032258064516
50.7,51.9,20.5,14.6,25.5,27.8,33.6,30.5,2016,0.2
53.4,45.9,18.2,18.4,24.5,25,46.9,29.4,2016,0.727272727272727
47.7,48.4,18.5,20.5,30,28.2,30.9,38.4,2016,0.548387096774194
44.7,47.2,18.6,17.8,27.3,25.8,41.5,43.9,2016,0.451612903225806
48.3,49.6,18.9,22.2,22.5,30.6,32.5,36.4,2016,0.451612903225806
46.1,51.5,18.6,17.6,28,28.1,39.3,34.1,2016,0.387096774193548
51.1,50.9,19.4,21.3,31.7,25.6,39.3,44.9,2016,0.6875
48.5,48.9,21.9,18.4,26.3,29.4,42.1,40.9,2017,0.40625
48.1,53.1,17.6,17.6,26.8,31.5,29.1,30.7,2017,0.241379310344828
48.8,49.6,17.9,18.5,27.1,27.1,45.8,40.9,2017,0.516129032258065
51.4,44,18.6,19,30.4,28.5,29.9,32.6,2017,0.823529411764706
47.8,47.9,17.8,17.8,22.4,29.3,30.8,42.8,2017,0.366666666666667
55.3,51.8,17.3,20.9,20.6,25.8,30.8,33.5,2017,0.6
51,50.4,18.4,16.2,32.9,24.6,33.8,33,2017,0.53125
46.7,50.5,17.3,20.9,17.7,28.3,34.2,26,2017,0.482758620689655
47.7,52.2,17.6,20.3,29.5,31.4,35.4,33.6,2017,0.53125
48.9,47.7,20,20.3,31.3,29,37.8,35.6,2018,0.625
50.4,51.6,17.2,16.9,23.6,27.9,32.3,24.5,2018,0.515151515151515
48.7,49.8,20.9,20.9,23.9,26.1,34.6,32.9,2018,0.566666666666667
49.8,49,18.9,18.1,26,31.5,33.8,38.3,2018,0.5625
49.5,51.4,20.1,19.8,27.6,23.6,34.1,42.1,2018,0.448275862068966
49.4,47.5,17.4,14.8,33.1,25.8,27.3,30.4,2018,0.5625
48.5,49.8,17.5,17,24.5,22.1,31.3,25.6,2018,0.533333333333333
52.2,50.5,18.7,19.9,25.9,29,32.4,34.1,2018,0.625
50.8,48.5,21.2,19.5,26.7,28,36.7,44.1,2018,0.5
53.3,48.7,19.1,16.8,24.3,26,32.6,29.4,2019,0.75
49.4,50,18.5,17.1,18.9,26.2,37.5,37.5,2019,0.366666666666667
49.1,51.3,18.4,18.2,26,26.1,28.6,32.8,2019,0.53125
48.6,51.5,18.6,19.4,23.7,27.2,35.8,38,2019,0.517241379310345
55.1,51.1,18.8,20.5,19.9,21.7,32,23.9,2019,0.606060606060606
51.2,53.5,18.2,21.8,25.4,25.3,36.9,35,2019,0.516129032258065
48.9,51.1,17.9,18.2,23.2,23.1,27.6,32.4,2019,0.5
52.8,49.6,21,19.1,28.8,29.2,32,25.6,2019,0.53125
48.9,49.9,20.3,18.9,26.7,27.1,32.1,31.7,2019,0.483870967741935
53.6,53,19.2,20.2,29.6,32.6,30.8,35.5,2015,0.413793103448276
50.1,48.7,16.1,18,34.1,25.4,41.9,33.3,2015,0.787878787878788
47.1,49.4,17.2,20.3,25.9,32.7,38.8,44.3,2015,0.433333333333333
40.8,47.6,21.9,15.7,39.8,31.9,39.9,40.7,2015,0.241379310344828
47.9,46.7,20.2,18.6,33.3,26.1,38.4,32.8,2015,0.483870967741935
41,54,21.6,17.8,24.1,31.8,29.1,42.9,2015,0
50.2,45.3,17.3,16.2,26.7,32.4,32.7,29.9,2015,0.53125
52.4,45.8,16.3,17,21.7,34,36.4,29.1,2015,0.566666666666667
48,51.8,18.8,19.4,24.3,28.1,39.6,37.2,2016,0.4
51.7,52,16.4,20.2,27.2,25.5,40.9,36.8,2016,0.6
49.9,52.1,16.3,14.1,33,25.1,42.3,35.1,2016,0.5
45.5,46.1,17.6,17.3,30.7,30.3,43.2,39.6,2016,0.611111111111111
52,48.5,21,17,30.5,28.6,43.9,37.1,2016,0.53125
47.2,42.5,18.4,18,33.9,27.2,42.5,31.3,2016,0.722222222222222
46.8,49.6,19.2,17.2,27.1,29.7,38.5,47.5,2016,0.214285714285714
49.7,47.1,18.9,19.5,28.3,30.6,40.9,40.1,2016,0.516129032258065
52.2,51.1,17.5,16.5,29.2,28.7,33.6,33.2,2016,0.482758620689655
53.4,50.1,17,15.8,18.1,30.4,45.9,39.1,2016,0.4
49.8,54.6,17.9,17.5,26.5,24.6,37.4,32.6,2017,0.387096774193548
51.8,48.3,17.9,16.6,27.7,26.5,40.5,41.9,2017,0.645161290322581
48.3,46.8,16.1,16.9,31.3,28.8,38.2,31.8,2017,0.705882352941177
50.8,48.5,18.8,20.6,27.2,27.5,40.5,46.2,2017,0.645161290322581
50.2,50.6,18.4,19,27,27.8,46,37.7,2017,0.548387096774194
47.5,44.8,17.5,19,30.5,29.1,35.3,32.4,2017,0.59375
48.6,51.8,18.2,18.9,24.9,26.1,36.1,40.3,2017,0.5
45.1,51.6,18,16.5,28.9,27.5,37.5,28.6,2017,0.34375
52.5,49.2,18.2,15.8,24.9,26.8,35.1,33.7,2017,0.5
51.6,46.2,17.7,16.2,22.7,27.7,37.5,39.4,2017,0.638888888888889
47.6,54.9,18.8,20.6,27.4,28.8,32,33.3,2018,0.413793103448276
53.8,48.8,18.9,16.4,29.3,18.4,31,29.5,2018,0.741935483870968
47.5,53.7,18.8,17.4,30.6,28.1,33.8,35.9,2018,0.354838709677419
54.5,49.6,17.4,18.8,26.6,24.6,38.4,39,2018,0.7
53.5,54.8,16.8,22,26.1,31,34.6,39.9,2018,0.575757575757576
48.6,53.2,23.6,14.9,27.8,24.8,34.2,30.8,2018,0.137931034482759
53.5,48.7,19.1,15.5,34.5,29.9,43.4,26.2,2018,0.606060606060606
53.2,51.9,18.8,17.6,25.4,26.4,33.2,33.3,2018,0.515151515151515
52.1,51,17.6,19.1,19.5,25.7,41.2,37.8,2018,0.625
51.3,53.6,19.3,17.8,23.2,24.1,28.3,28.6,2019,0.451612903225806
53.9,51.8,17.3,18.5,23.5,24.4,31.8,33.6,2019,0.40625
54.4,53.1,17,16.2,23.9,27.1,31.9,29.5,2019,0.387096774193548
54.5,48.5,18.2,19.5,27.4,25.4,30.2,35,2019,0.741935483870968
49.5,51.6,19.4,18.3,29.3,28.6,39.3,37.1,2019,0.451612903225806
49.9,48.2,18.3,18.8,28.9,28.4,35.2,33.3,2019,0.636363636363636
46,56.1,21.9,15.4,27.4,28.7,34.8,26.9,2019,0.133333333333333
49.5,51,18.6,17.6,35.5,27.7,34.9,31.6,2019,0.548387096774194
49.1,51.7,19.9,17.4,15.9,28.8,39.1,34.4,2019,0.258064516129032
48.8,48.3,18.3,16.6,29.5,32,32.8,35.9,2015,0.516129032258065
44.6,51.4,21.3,15.8,30.9,32.8,28.6,23.9,2015,0.161290322580645
46.5,52.3,18.6,23.2,27.6,40.4,34.2,51.8,2015,0.25
44.9,48.4,19.6,18.2,31.3,31,39.8,35.6,2015,0.4
47.2,49.6,19,21.3,30.6,32.4,30.4,35.6,2015,0.5
49.6,49.2,19.4,18.4,33.9,32.7,35.9,33.6,2015,0.451612903225806
46.3,47.4,19.8,20.2,39.6,28.8,40.9,40.2,2015,0.647058823529412
50.1,49.5,19.4,20.6,25.7,31.4,34.6,30.1,2015,0.483870967741935
44.6,53.4,20.1,19.8,37.2,30.3,33.9,53.3,2015,0.310344827586207
47.3,51.5,19.9,16,26.2,33.5,26.9,31.6,2016,0.233333333333333
44.8,53.4,19.9,14.8,29.9,30.2,31.1,30.6,2016,0.137931034482759
47.9,50.9,18.4,19.7,32.2,31.1,41.4,38,2016,0.516129032258065
45.8,50.2,17.2,24.6,25.3,33.7,30.6,40.4,2016,0.424242424242424
46.6,49.4,20.4,22,26.1,34.7,35.5,32.9,2016,0.3125
48.4,51.1,20.2,18,33.4,32.4,38.7,39.4,2016,0.4
45.9,46.6,20.4,18.6,32.2,30.2,36.1,34.9,2016,0.451612903225806
48.3,50.8,18.5,16.4,31.5,30.8,38.5,29.9,2016,0.413793103448276
47.6,46.8,19.6,20.7,36.9,27.5,32.6,44.3,2016,0.666666666666667
49.7,51.5,18.8,17.6,29.2,30.6,32.8,37.4,2017,0.387096774193548
46.7,54,21.2,20.2,31.5,32.5,33.3,34.6,2017,0.206896551724138
49.5,51.8,18.9,19.4,27.4,34.2,36.1,44,2017,0.379310344827586
48.5,49.5,20.9,19.5,36.4,28.9,38.8,37.1,2017,0.645161290322581
45.1,48.4,21.5,23.7,29.3,31.3,41.3,42.5,2017,0.424242424242424
49.5,52.8,22,19.5,30.9,27.1,35,33.3,2017,0.40625
41,52.7,17.4,20,27.9,33.4,31.8,46.9,2017,0.133333333333333
52.8,50.4,20.7,18.7,29.7,32.4,29.6,23.9,2017,0.515151515151515
47.6,47.6,21.4,18.5,40.1,30.9,34.7,38.9,2017,0.551724137931034
47.9,57.6,18.2,17.9,26.2,34.1,27.8,33,2018,0.0967741935483871
51,51.2,21.8,16.6,31.1,28.3,32.6,30.1,2018,0.4375
49.8,51.6,19.2,19.3,30.3,35,30.8,35.9,2018,0.448275862068966
54.1,51.7,16.2,20.2,20.5,35.4,29.1,27.3,2018,0.6
47.4,50.5,20.9,22.3,31.2,31.2,34.3,36.2,2018,0.484848484848485
48.5,50.9,21.5,14.6,32.5,22.6,30,33,2018,0.333333333333333
48.7,53.2,17.7,20.9,26.2,31.9,30.4,45.1,2018,0.448275862068966
52.8,53.6,16.5,18.6,25.7,31.1,33.5,23.4,2018,0.620689655172414
49.8,49,19.7,20.4,35.8,28.6,34.2,46.7,2018,0.741935483870968
49,54.9,18.4,18.6,26.6,30.2,36.8,35.4,2019,0.333333333333333
47,53,19.8,18.1,29.6,29.9,34.1,37.2,2019,0.379310344827586
50.7,48.2,20.1,18.5,28.3,29.5,34.4,35.4,2019,0.516129032258065
47.9,52.1,19,17.8,25.1,31.5,33.9,34.8,2019,0.310344827586207
48.8,52.2,21,22.2,30.1,27.8,32.2,38.5,2019,0.545454545454545
51.7,51.8,19.9,16.5,31.8,27,38.1,31.3,2019,0.483870967741935
48.5,48.9,17.6,19.2,26.9,28.5,28.6,39.3,2019,0.548387096774194
48.8,53.8,17.4,16.9,33.4,28.6,35,31.8,2019,0.580645161290323
44,51.1,20.8,19.8,33.4,28.9,33.8,46.5,2019,0.464285714285714
44.5,54.9,20.8,20.3,31.8,29.2,41.6,38.4,2015,0.214285714285714
51,48.8,19,18.9,23.4,34.3,33.4,31.4,2015,0.516129032258065
53.9,53.5,17.9,26.9,21.6,34.8,32.2,35,2015,0.612903225806452
43,51.1,18.5,19.2,28.7,34.5,37.6,39,2015,0.344827586206897
49.3,49.1,20.1,21.2,34.7,28.2,34.7,55.2,2015,0.46875
54.3,46.8,17.1,18.7,35.9,32.5,41.2,36.6,2015,0.818181818181818
48.7,49.3,20.3,19.8,28.8,31.9,37.4,37,2015,0.384615384615385
48.9,50.2,19.2,19.3,32.2,31.6,36.4,41.8,2015,0.392857142857143
53.4,50.8,18.6,15.4,30,25.8,31.4,28.8,2015,0.59375
43.9,50.4,22.1,18.3,26.5,32.8,40.4,42,2015,0.103448275862069
48.8,53.1,20.5,18.7,36.4,29.2,34.8,42.7,2015,0.357142857142857
58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,2016,0.612903225806452
49.9,51.4,18,19.5,26.8,34.7,34.4,40.5,2016,0.392857142857143
56,53.1,20.3,20.3,27,34.2,40.3,42.3,2016,0.466666666666667
46.6,52,16.3,18.6,27,34.1,30.9,42.6,2016,0.241379310344828
48,50.6,18.6,21.4,38.6,29,35.3,53.7,2016,0.6
51.6,52.2,17.8,19.2,28.7,26.2,34.1,40.8,2016,0.517241379310345
44.8,51.8,19.7,17.6,32.4,29.3,36.9,43.9,2016,0.214285714285714
44.1,54,19.8,18.5,28.5,29.6,35.7,31.9,2016,0.111111111111111
50.5,50.8,18.2,17,29.5,29.4,35.6,30,2016,0.545454545454545
50.4,49.5,19.2,21.6,31.4,29,41.5,42.7,2016,0.620689655172414
52.4,50.6,17.8,16,27.6,31.9,44,32.8,2016,0.586206896551724
52.4,56.4,17.3,17.6,24.2,35.8,41,29.5,2017,0.392857142857143
55.7,48.3,18.4,16,25.6,25,29.4,31.9,2017,0.793103448275862
47.8,49.7,17.5,21,29.5,32.4,26.9,39.3,2017,0.518518518518518
49.4,51.4,19.8,19.2,25.2,32.9,37.4,40.5,2017,0.413793103448276
51,55.1,18.5,19.4,35.2,28.1,28.8,42.1,2017,0.5
50.8,52.1,16.9,17.9,31.8,29.6,34.9,38.5,2017,0.516129032258065
45,52.7,20.3,18.3,31.6,28.5,45.7,44.9,2017,0.214285714285714
51.4,55.3,17.6,21.9,24.7,30.1,35.1,39,2017,0.483870967741935
52.7,52.6,21.6,19,37.4,32.4,34.3,31.1,2017,0.666666666666667
48.7,48.5,21.7,21.4,34.2,28,39.5,48.7,2017,0.607142857142857
48.1,51.5,19.2,20.4,29,30.1,38.5,39.7,2017,0.4
49.9,54,19.8,22.1,34.7,28.9,35.9,39.9,2018,0.59375
58.8,48.9,18.1,16.9,25.2,25.7,27.9,26.8,2018,0.727272727272727
47.7,52,20.4,19.3,29.9,29.9,32.2,33.4,2018,0.413793103448276
49.8,55.3,19.1,19.1,27.1,31.9,33.4,35,2018,0.379310344827586
50.2,48.4,19.2,19.3,33.4,26.2,30.4,32.4,2018,0.657142857142857
48.2,55.2,22.1,19.9,31,29.9,36.7,40.9,2018,0.296296296296296
47.8,54.1,19.4,17.5,29.3,29.4,33,45.9,2018,0.3
54.3,55.2,18.1,17.2,26.2,29.3,37.7,34.5,2018,0.482758620689655
49.8,50.7,21.6,19,28.5,32,24.1,34.1,2018,0.344827586206897
49.3,52.7,21.9,23.3,25.5,27.7,37.8,35.4,2018,0.535714285714286
49,51,19.8,20.3,28.2,30.1,37.7,36.6,2018,0.612903225806452
52.9,52.5,16.6,20.8,32.3,30,34.7,34.2,2019,0.709677419354839
49.6,53.6,18.8,18.4,29.2,30.5,28.7,33.1,2019,0.451612903225806
47.8,53.2,18.2,21.5,27.3,31.1,32.6,39.7,2019,0.448275862068966
50.5,48.7,18.8,20.4,33,25.6,30.2,30.1,2019,0.774193548387097
48.4,52.5,17.2,17.7,27.8,31.6,33.9,28.4,2019,0.419354838709677
46.8,56.6,18.7,18.9,28.5,28.5,34.6,39.3,2019,0.344827586206897
50.4,52.7,20.2,17.4,25.6,28.3,29.1,33.5,2019,0.344827586206897
50.4,57.1,18.8,19.3,31.5,34.7,26.4,27.2,2019,0.413793103448276
49.1,54.3,22.7,20.3,28.7,28.4,36.2,54,2019,0.321428571428571
46.1,51.1,22.8,19.2,27.9,32.9,36.3,33.2,2019,0.275862068965517
50.9,50.2,20.7,19.1,31.8,25.1,42.1,34.1,2015,0.529411764705882
48.9,46.8,16.6,14.3,26,25.1,30.3,38.8,2015,0.545454545454545
48.4,48.9,19.9,16.9,34.4,27.9,40.8,33.9,2015,0.470588235294118
46.6,44.7,19.1,23.7,28.5,32.8,36.8,44.3,2015,0.533333333333333
49.3,48.4,16.2,17.2,33.6,27.8,40.5,36.5,2015,0.648648648648649
46.8,48,20,19.1,31.5,34.3,33.8,31.2,2015,0.375
49.3,47.1,17.5,16.8,31.4,33.2,33.9,31.7,2015,0.516129032258065
49.6,52.4,17.3,14.1,26.4,30.3,39.7,34.1,2015,0.419354838709677
48.1,52,17.1,18.3,31.5,27.8,37.8,38.1,2016,0.46875
47.5,52,17.5,19.8,30.8,32.1,45.3,39.9,2016,0.482758620689655
50.3,49.7,16.9,16.1,32.8,30.4,32.3,33.9,2016,0.46875
48.1,47.9,17.4,20.5,33.4,35.7,41.2,44.6,2016,0.558823529411765
50.7,49.9,19.7,14.7,23.9,29.6,31.1,37.5,2016,0.266666666666667
51.4,55.4,14.3,18.3,24.4,32.2,31.9,29.9,2017,0.454545454545455
48.1,45.3,18.7,16.6,32.9,24,37.7,34.1,2017,0.617647058823529
50.9,50.3,17.4,17.2,33,28.3,37.5,33.9,2017,0.575757575757576
48.2,51.3,23,17.5,26.9,32.3,34.3,39.6,2017,0.161290322580645
48.3,52.7,18.6,20.6,29.6,27.2,37.3,38.2,2017,0.466666666666667
56.2,49.1,19.2,17,30.9,24.5,33.1,31.2,2017,0.666666666666667
50.6,52.8,18.8,16.4,34.9,31.4,30.8,34.7,2017,0.290322580645161
52,52.8,18.1,14.7,20,28.5,27.2,27.9,2017,0.433333333333333
44.5,54.5,20.8,19.7,34.8,30.6,38.1,38.4,2018,0.258064516129032
50.6,49.3,20,15.1,29.3,26.3,33.3,34,2018,0.53125
53.3,50.3,17.1,19,31,26.8,31.7,36.3,2018,0.638888888888889
52.1,49.6,19.4,18.6,31.8,28.7,38.7,38.2,2018,0.5
51.9,49.7,20.6,15.9,32.8,27,41.6,29.2,2018,0.542857142857143
53.8,51,15.3,19.2,30,28.8,29.9,26.6,2018,0.666666666666667
54.5,48.3,17.5,17.5,24.1,28.6,34.4,28.8,2018,0.657142857142857
51.7,50.7,18.6,21.1,28.9,33.3,36.7,34.4,2018,0.617647058823529
54.1,53.5,19.4,16.4,24.6,31.2,24.7,28.5,2018,0.387096774193548
49,50.9,16.7,20.3,28.4,25.9,33.3,35,2019,0.53125
48.6,56.9,16.5,20.5,23.3,31.4,34.8,36.1,2019,0.258064516129032
51,48.4,19.1,17.4,30.7,23.6,37.2,31.1,2019,0.638888888888889
52.2,50.2,18.3,17.6,30.8,29,36.8,33.5,2019,0.580645161290323
51.2,47.9,20.8,17.2,29.9,28.3,36.1,32.9,2019,0.483870967741935
52,49.6,19,15.1,30.8,27.1,38.2,27.6,2019,0.515151515151515
52.8,49.1,16.5,18.1,27,29.9,27.6,30,2019,0.484848484848485
55,52.3,19.2,14.7,31,27.1,35.5,32.5,2019,0.548387096774194
52.8,54.7,19.2,17.1,25.2,29.5,30.3,28.4,2019,0.34375
53.4,51,19.4,21.8,21.3,31.6,34.4,33,2015,0.515151515151515
50,51,19.1,18.9,29.7,31.5,32,40.7,2015,0.482758620689655
52.7,53,19.4,16.3,28.2,28.4,44.9,33.6,2015,0.413793103448276
49.7,49.9,17.1,14.5,29.6,25.9,40.3,38.4,2015,0.545454545454545
56,50.7,18.8,16.5,23.7,28.4,27.4,35.1,2015,0.46875
47.2,53.2,17,21.6,29.6,29.7,34.9,41.3,2015,0.448275862068966
49,46.8,19.9,17.4,29.2,30.4,36.2,31.2,2015,0.517241379310345
42.8,49.7,20.3,17.6,31.9,28.6,37.6,44.9,2015,0.366666666666667
49.1,53.1,19.4,20.1,29.5,30,30.6,36.6,2015,0.387096774193548
49,51.6,22.1,19.2,23.5,30.2,31.7,40.1,2016,0.387096774193548
49.7,49.4,18.5,16.4,31,26.8,31.7,32,2016,0.5625
52.2,50,19.6,17.1,26.5,28.1,37,33.9,2016,0.545454545454545
52.1,49.5,18.7,17.9,29.7,28.4,43.9,41.3,2016,0.533333333333333
52.5,53.2,18.4,19.4,26.6,30.6,29.9,41.8,2016,0.413793103448276
50.5,52.9,18.2,16.7,22.3,32.9,31.6,35.1,2016,0.2
52.1,51.1,19.3,18.6,29.1,29.3,31.7,28.8,2016,0.516129032258065
47.7,52,18.9,17,31.4,30.6,38.4,40.9,2016,0.3
49.5,48.9,19.9,20.3,32.6,27.2,42.8,39.4,2016,0.5625
50.3,52.5,20.2,20.2,21.7,28,30.7,41.4,2017,0.266666666666667
51.5,50.3,20.6,17.3,26.4,24,28,33.7,2017,0.419354838709677
51.2,50.5,20.2,20.7,28.1,28.5,33.4,37.2,2017,0.580645161290323
51.4,52.5,22,17.3,24.8,25.3,33.4,38.6,2017,0.32258064516129
50.4,53.3,17.8,25.7,19.4,32.4,34.4,30.4,2017,0.46875
49.1,54.5,20.7,18.2,20,29.1,29.4,30.4,2017,0.310344827586207
55.4,50.2,19.8,18.6,23.2,24.1,32,28.1,2017,0.645161290322581
46.7,52.2,22,21.3,33,28,39.2,35.9,2017,0.5
47.8,53,21.9,23.8,36.9,26.2,35.9,38.9,2017,0.516129032258065
50.7,54.8,20.4,20.4,23.8,31.4,30.4,40.7,2018,0.2
52.3,52.4,18.8,19.7,27.1,27.6,24.5,38.1,2018,0.448275862068966
52.8,52.8,20.1,20.1,28.3,29.6,32.8,30,2018,0.5
51.5,53.2,16.4,19.4,25.6,27.6,29,29.4,2018,0.59375
52.6,51,19.1,20,19.3,31.9,29.7,34,2018,0.387096774193548
53.3,52,19.3,14.7,21,27.2,28.8,26,2018,0.333333333333333
52.9,52.4,17.4,16,25.3,26.8,25.8,30.7,2018,0.551724137931034
47.8,54.4,18.9,18.7,29.1,26.4,33.3,40.4,2018,0.3
49.6,53.2,21.3,21.3,31.7,22.2,36.2,34,2018,0.645161290322581
53.2,48.2,18.7,17.7,26.1,27.4,35.8,34.8,2019,0.5
49.6,53.3,16.5,18.7,21.6,22.9,24.3,28.4,2019,0.419354838709677
53.4,54.6,18.8,18.2,28.6,25.1,24.8,32.5,2019,0.46875
53,49.2,17.3,16.6,25.8,27.6,33.9,32.4,2019,0.636363636363636
52.7,53.8,16.1,22.1,20.6,32.9,23.1,26.8,2019,0.484848484848485
52.6,54.7,18.7,15.3,22.2,26.7,24.5,31.2,2019,0.344827586206897
56.4,50.2,18.5,15.6,23.5,27.5,34.9,30.5,2019,0.645161290322581
51.6,55.6,19.5,20.6,27.9,29.6,33.6,32.3,2019,0.34375
46.8,52.1,20.7,16.6,31.8,25.5,30.5,29.7,2019,0.387096774193548
45.6,50.6,20.6,17.2,31.4,29.8,33.6,37.6,2015,0.413793103448276
47.6,51,15.6,19.9,28.4,31.2,36,40.8,2015,0.4
45.3,48.3,20,17.6,29.7,32.7,33,34.7,2015,0.357142857142857
47.3,46.2,18.3,22,32.6,32.2,36.2,32.7,2015,0.678571428571429
50.1,48,20.5,18.4,34.6,27.6,39.6,37.4,2015,0.575757575757576
45.6,44.7,18,17.2,32.6,29.4,26.1,29.7,2015,0.588235294117647
47.8,49,20.9,15.2,30,33.1,41.9,34.1,2015,0.32258064516129
44,47.6,19.9,23.1,29,31.8,36.5,36.6,2015,0.392857142857143
48.9,50.8,21.2,19.5,31.3,33.7,38,28.3,2015,0.296296296296296
49.4,47.8,20.8,19.6,31.8,32.8,38.1,42.2,2015,0.5
47.2,51.2,21,15.9,33,32.3,39.1,39.8,2016,0.290322580645161
45.8,47.1,18,14.9,28,31.2,40.1,38,2016,0.310344827586207
47.5,51.8,16.2,20,29.7,34.5,37.7,44.5,2016,0.413793103448276
48.5,47.9,18,21.2,24.5,31,37.5,41.3,2016,0.5
48.8,49.9,17.5,16.5,37.7,26.4,42.2,35.5,2016,0.53125
50.6,47.5,18.2,17,31.5,31.6,32.2,33,2016,0.5625
46.1,48.4,20.6,18,30.5,32.5,38.3,38.7,2016,0.387096774193548
46.6,49.6,17.8,20.8,29.8,30.6,37.7,35.6,2016,0.448275862068966
45.7,51.1,16.7,17.8,29.4,31.5,37.2,35.8,2016,0.275862068965517
49.2,47,18.7,20.1,36.3,26.2,34.4,43.3,2016,0.676470588235294
47.4,52.8,19.4,16.9,28.9,27.2,37.1,44.8,2017,0.321428571428571
51.9,49.2,18.6,18.8,31,27.5,41.5,41.8,2017,0.645161290322581
48.5,50.3,18.1,16.6,30.5,26.9,29.2,32.6,2017,0.540540540540541
51.5,51.3,17,18.7,25.2,33,39.9,34.7,2017,0.580645161290323
53,49,20,19.8,29.9,29.1,33.9,40,2017,0.645161290322581
49.1,51.8,19.5,19.9,28.4,27.6,32.3,40.3,2017,0.5
51.5,54.4,17.9,20.1,36.3,27.8,42.2,37.3,2017,0.67741935483871
47.7,50.5,19.4,16.5,29.5,29.4,26,34,2017,0.290322580645161
48.4,52.2,18.4,22.4,27.2,31.7,38.3,40.4,2017,0.466666666666667
50.5,47.7,18.2,19.9,28.2,29.6,36.8,36.1,2017,0.647058823529412
52.5,48.9,18.7,20.1,32.6,29.8,34.6,36.6,2017,0.794117647058823
49.9,51.3,18.9,17.2,29.5,25.6,36.8,36.6,2018,0.483870967741935
49.4,56,18.6,18.8,30.2,31.3,33.1,35.3,2018,0.366666666666667
49,49.6,22,18,34.2,28.4,38.8,40.2,2018,0.482758620689655
49.2,49.7,16.1,20.3,30.3,31.9,38.2,35.2,2018,0.67741935483871
47.4,50.8,21.7,19.9,28.3,31.2,32.1,40.5,2018,0.233333333333333
52.7,49.1,18.3,19.6,35.9,27.9,38,36.1,2018,0.84375
49.9,51.4,17.8,18.6,25.2,28.7,24.3,30.7,2018,0.551724137931034
48.4,47.3,20.9,18.4,25.7,29.6,37.7,38,2018,0.466666666666667
48.8,51.7,20.9,19.4,31.9,27.7,36.3,30,2018,0.483870967741935
51.4,50.2,18,16.6,26.9,28.9,33.6,31.6,2018,0.516129032258065
52.5,49.2,20.1,19.3,30.8,27.7,34.8,34.7,2018,0.636363636363636
51.4,53.8,17.8,17.4,25.9,29.8,37,34.1,2019,0.379310344827586
47.2,51.6,19.4,17.1,33.7,29.8,37.9,43.7,2019,0.433333333333333
51.8,51,19.6,18,32.7,28.6,39.4,42.3,2019,0.53125
54.3,51.4,18.6,20,27.4,28.7,35,31.3,2019,0.67741935483871
54.4,52.3,22.6,19.4,24.3,27.2,42.5,40.3,2019,0.344827586206897
50.9,53.2,17.4,20,29.1,31.9,35.1,36.9,2019,0.633333333333333
54,52.9,16.2,17.4,26.9,29,35.8,28.4,2019,0.558823529411765
52.9,52.1,19.5,19.7,25.5,31.9,35.1,36.6,2019,0.53125
50,48.5,19.6,20.7,33.2,24.7,34.4,39.5,2019,0.75
51,52.7,19.9,17.1,27.2,31.1,31.7,32.8,2019,0.428571428571429
47,48,20.3,18.1,31,28,34.5,38,2019,0.53125
50.5,48,19.4,18.7,32.5,32.7,43.8,43.2,2015,0.666666666666667
49.8,51.3,18.7,21.4,29.6,33,39.8,42.3,2015,0.5
