G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
4.816061868556387737e-01 ,1.753717076855227708e+00 ,2.632741276746523695e+00 ,-1.969480617747328965e+00 ,1.867254889214133184e+00 ,3.005880642455664553e+00 ,-2.524030385402665555e+00 ,-1.315714895174567411e+00 ,-8.809441907526305293e-01 ,2.875278135928528989e-01 ,-1.556926269520549022e+00 ,6.355813241674930503e-02 ,-1.501778069620378853e+00 ,3.233733824912673693e+00 ,-2.619378098160779267e+00 ,1.418099578588939202e+00 ,-1.312764757465577192e+00 ,2.244153013208106007e+00 ,2.061779307649212800e+00
3.207535276093878451e+00 ,2.680404476876145026e+00 ,2.559618652532020810e+00 ,-1.747074812458150994e+00 ,1.834744663165703837e+00 ,1.332629659370670794e+00 ,-1.549231052443494017e+00 ,-5.436994352729158653e-01 ,-1.154635589821379343e-01 ,1.242024733094347688e+00 ,1.460962014468718262e-01 ,4.503729263050517129e-01 ,-5.532643458207675558e-01 ,1.178596995943246739e+00 ,-1.124820599702194279e+00 ,1.055471257778337169e+00 ,-1.603484842496395890e+00 ,8.044296372674197837e-01 ,2.600901812122858647e+00
1.163088459165198651e+00 ,1.599269176851741303e+00 ,2.267128155674010603e+00 ,-1.747074812458150994e+00 ,1.799459173918018795e+00 ,9.911498669043458110e-01 ,-8.271574724737361661e-01 ,-2.541936378097978122e-01 ,1.925818125739173547e+00 ,2.096048292648316824e+00 ,2.115970657148492917e-01 ,-3.005028500663600721e-01 ,-5.532643458207675558e-01 ,1.178596995943246739e+00 ,-2.150899484665328154e-01 ,3.302146161571307137e-01 ,-1.437359079621642888e+00 ,1.874053332928398707e-01 ,2.382338634633542451e+00
2.185311867629538884e+00 ,2.525956576872658843e+00 ,2.296377205359811935e+00 ,-1.365807717676700062e+00 ,1.739989248219672602e+00 ,1.947293285810057117e+00 ,-2.054682558422324057e+00 ,-6.118977283438409992e-02 ,-4.131504713373305715e-01 ,1.694154852858214877e+00 ,1.460962014468718262e-01 ,1.041972022840104151e+00 ,-1.255164501432479707e+00 ,2.206165410427960438e+00 ,-2.619378098160779267e+00 ,7.331349726133555844e-01 ,-3.575416209357448194e-01 ,2.120748152413191256e+00 ,2.367767756134255386e+00
2.866794139939098596e+00 ,2.371508676869172660e+00 ,2.983729872976137010e+00 ,-1.000426751844477380e+00 ,1.779239399180580605e+00 ,1.947293285810057117e+00 ,-1.079883225463149854e+00 ,-1.653471658881539241e+00 ,-1.136104401342795223e+00 ,9.406046532517702286e-01 ,2.443474978488374416e-01 ,-3.915180956871369689e-01 ,-2.184707950756098693e+00 ,1.903939406167750370e+00 ,-1.059839838899646169e+00 ,1.256931436006449632e+00 ,-6.897931466852510463e-01 ,1.051354260962338999e-01 ,2.134633700145651680e+00
2.526053003784318740e+00 ,2.062612876862200295e+00 ,2.179381006616607941e+00 ,-1.477010620321290046e+00 ,1.741971579076283971e+00 ,5.472261366981243658e-01 ,-1.007675867466175657e+00 ,-1.412216827662273522e+00 ,1.211654631294290137e-02 ,8.150129533173630092e-01 ,2.443474978488374416e-01 ,-1.184723588248053627e-01 ,-1.065461756672557492e+00 ,-6.052962152361471976e-02 ,-5.724841328805425622e-01 ,9.748871864870911619e-01 ,-1.188170435309511719e+00 ,-2.033882161015644119e+00 ,2.149204578644939190e+00
1.163088459165198651e+00 ,1.444821276848255120e+00 ,2.501120553160419924e+00 ,-1.095743525539838892e+00 ,1.721751804338846226e+00 ,1.093593804644244827e+00 ,-1.152090583460126716e+00 ,-8.332052327360356392e-01 ,-3.706237695723026415e-01 ,2.447705052464658859e+00 ,-1.065669787510716393e+00 ,-5.280409641183031466e-01 ,-9.895806587685889166e-01 ,1.148374395517225199e+00 ,-8.324071760907325590e-01 ,4.913827587396230046e-01 ,-1.188170435309511719e+00 ,2.696752404894516841e-01 ,2.090921064647788263e+00
1.163088459165198651e+00 ,1.753717076855227708e+00 ,1.375032140257078872e+00 ,-1.953594488798102935e+00 ,1.695188570860251431e+00 ,8.584687520040434894e-04 ,-2.162993595417786796e+00 ,-8.332052327360356392e-01 ,6.925437745533811196e-01 ,1.442971452989400438e+00 ,2.443474978488374416e-01 ,2.910962464686924767e-01 ,6.798034951187278407e-01 ,4.834771861447624275e-01 ,-2.294474294148043381e+00 ,-6.770862749834301031e-01 ,-1.105107553872135107e+00 ,1.174644219652170030e+00 ,2.163775457144226699e+00
2.185311867629538884e+00 ,1.599269176851741303e+00 ,1.199537842142272215e+00 ,-2.684356420462548076e+00 ,1.806595565001819947e+00 ,9.228539084110822799e-01 ,-1.549231052443494017e+00 ,6.625747208234136210e-01 ,2.053398231034255783e+00 ,1.317379753054993108e+00 ,-7.709158983048159941e-01 ,1.087479645650493376e+00 ,2.434871821709058692e-01 ,1.571490801481518762e+00 ,-1.742137827326391886e+00 ,-5.562101680465623144e-01 ,-8.974503502786931319e-01 ,-3.473490634851282288e-01 ,2.047208429149924847e+00
1.503829595319978729e+00 ,1.599269176851741303e+00 ,1.316534040885475987e+00 ,-2.414292228325689571e+00 ,1.778842933009258331e+00 ,2.740423027250654120e-01 ,-1.332608978452566095e+00 ,-3.506955702975038669e-01 ,1.925818125739173547e+00 ,1.116433033159940358e+00 ,-3.124098484289726807e-01 ,-3.005028500663600721e-01 ,1.676060842669372386e-01 ,-3.627556257838246978e-01 ,-1.254782121307288056e+00 ,9.748871864870911619e-01 ,-9.805132317160696331e-01 ,1.051354260962338999e-01 ,2.251200728139953533e+00
