"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,0.9
56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,0.897435897435897
53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,0.894736842105263
57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,0.918918918918919
47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,0.75
58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,0.842105263157895
51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,0.974358974358974
53.2,44.9,17.5,16.5,33.5,27,32.7,39,0.692307692307692
47.3,55.3,19.8,20.8,24.1,33.9,28.3,44.7,0.25
53.6,53,19.2,20.2,29.6,32.6,30.8,35.5,0.413793103448276
49.4,45.5,18.8,18.8,33.3,31.5,31.3,41,0.588235294117647
50.7,47.4,18.7,18.9,29.6,32,43.7,39.5,0.545454545454545
44.7,50.5,21.9,18.3,35.2,36.4,41.6,41.3,0.285714285714286
48.2,46.9,19.7,19.2,36,29.2,34.6,35.6,0.62962962962963
43.1,52.8,17.2,18.6,30.2,35.9,37.5,39.9,0.166666666666667
53.4,51,19.4,21.8,21.3,31.6,34.4,33,0.515151515151515
45.6,50.6,20.6,17.2,31.4,29.8,33.6,37.6,0.413793103448276
50.9,50.2,20.7,19.1,31.8,25.1,42.1,34.1,0.529411764705882
47.6,51,15.6,19.9,28.4,31.2,36,40.8,0.4
46.3,51.2,23.5,24.9,30.5,39.5,35.6,48.8,0.375
45.3,48.3,20,17.6,29.7,32.7,33,34.7,0.357142857142857
50,51,19.1,18.9,29.7,31.5,32,40.7,0.482758620689655
46.9,52.5,18.9,21.3,27.6,34.1,48.8,41.9,0.411764705882353
44.5,54.9,20.8,20.3,31.8,29.2,41.6,38.4,0.214285714285714
48.9,52.4,21.6,18.2,29.9,28.6,35.4,42.1,0.206896551724138
44.2,48.2,22.7,20.9,34.4,34.1,40.3,46.4,0.3
44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,0.166666666666667
50.8,49.4,18.8,18.8,26,30.9,35,40.8,0.40625
52.7,53,19.4,16.3,28.2,28.4,44.9,33.6,0.413793103448276
49.3,47.2,18.4,19.5,31.6,29.5,32.4,32.2,0.65625
42.3,50.3,20.4,21.9,32,29,37.8,46.2,0.25
47,48.5,21.6,16.4,29.8,30.5,45,36.4,0.379310344827586
48.8,48.3,18.3,16.6,29.5,32,32.8,35.9,0.516129032258065
49.7,49.9,17.1,14.5,29.6,25.9,40.3,38.4,0.545454545454545
44.1,49.3,14.8,17.3,31.9,28.2,31.5,31.3,0.407407407407407
46,48.3,20.1,19,33.4,26.9,37.7,48.7,0.366666666666667
