"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,0.833333333333333
57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,0.916666666666667
55.6,46.6,18.2,16.1,33,22.2,39.2,30.5,0.793103448275862
61,47.5,16.1,20.3,30.4,23.4,36.7,25.9,1
54.6,48.3,13.3,16.3,30.7,28.6,32,22.6,0.724137931034483
53.1,48.9,15.3,15,29.1,27.4,37.6,33.8,0.7
51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,0.923076923076923
51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,0.8
48.7,50.2,17,20.7,35.6,31.3,39.4,28.5,0.666666666666667
52.9,46.7,20.2,17.8,31.3,26.9,34,36.7,0.730769230769231
49.8,47,17.7,20,30.9,26.9,30.5,26.5,0.740740740740741
51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,0.785714285714286
54.4,46.5,20.1,19.6,35.4,31.4,32.7,36.3,0.727272727272727
56.1,47.9,15.4,15.2,23.1,22.6,22,24.6,0.75
51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,0.666666666666667
52.1,47.2,21.4,19.3,31.9,30.2,36.4,30.5,0.714285714285714
52.8,51.8,13.5,19,27.9,24.8,30,25.8,0.727272727272727
50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,0.692307692307692
55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,0.714285714285714
52,47.7,16.8,19.8,30.9,25.6,29.9,28,0.733333333333333
49.7,47.9,16.2,23.8,33.8,29.7,39.3,36.4,0.62962962962963
55,46.6,19,16,28.6,23.3,27.8,29.4,0.8
52.1,45.4,18.1,17.4,35.7,27.3,37.5,24.8,0.758620689655172
52.7,46.7,16.9,22.5,29.9,24.4,34.3,32.7,0.884615384615385
52.5,47.5,20.7,20.5,30.7,31.5,33.8,34.8,0.608695652173913
49.5,46.2,17.6,19.6,36.9,29.8,29.6,36.9,0.681818181818182
50.4,48.7,19.5,21.6,26.6,26.6,23.6,29.6,0.695652173913043
54.4,50.1,16.8,20.3,28.3,27.2,26.8,27.1,0.769230769230769
50.8,48.9,15.8,18.7,27.3,27.5,29.1,22.8,0.6
48.5,48.7,20.5,19.3,41.2,26.3,34.9,27.1,0.642857142857143
52.8,48.5,16.1,18.4,31.5,32.8,33.9,29.1,0.666666666666667
56.3,46.7,18.5,21.6,26,21,30.7,22.4,0.923076923076923
50.5,45.5,16.9,19.5,33.6,28.4,27.8,28.3,0.8
50.9,48.5,18.9,18.4,28.6,29.2,37.5,36.4,0.64
49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,0.586206896551724
53.9,52.2,15.9,22.7,24.8,29.7,29,28.9,0.68
50.2,47.7,16.4,18.9,27.4,29.1,27.7,33.2,0.576923076923077
52.5,48.4,17.3,17.6,28.4,24.3,33.2,30.9,0.714285714285714
52.6,48.5,16.8,16.9,20.9,24.8,32.6,25.6,0.571428571428571
50.9,45.8,20.6,23.5,28.3,31.3,34,35.4,0.730769230769231
47.9,47.8,18.9,15.4,30.4,26.1,31.4,37.1,0.555555555555556
47.6,47.1,15.9,18.1,29.8,33.4,38.2,29.7,0.842105263157895
50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,0.64
52,50.7,16.6,17.6,30.4,24.4,32.6,28,0.653846153846154
49.8,45.6,19.7,19.7,35.3,21.3,29.4,26.1,0.740740740740741
54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,0.925925925925926
49.6,48,21.7,16.2,32.4,27.3,30.3,25.9,0.52
48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,0.607142857142857
53,47.7,16.5,20.8,28.2,24.5,35.5,28,0.916666666666667
53,49,19.5,22.5,35.6,22.2,35.7,33.8,0.958333333333333
55.8,51.1,17,20,28.7,27.4,29.6,30.2,0.727272727272727
54,45.7,20.4,21.4,27.9,26.9,27.2,31.7,0.68
48.2,48.1,15.6,21,32.4,25.9,23.8,36.4,0.724137931034483
57.4,48,15.6,17.3,23.1,22.4,25.5,29.6,0.958333333333333
57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,0.933333333333333
54.1,47.5,16.5,16.5,23.9,25.8,30.4,27.7,0.727272727272727
52.9,45.4,19.4,26.7,30.6,27.9,34,42.5,1
51.9,47,22.9,18,31.3,24.9,36.8,23.1,0.821428571428571
51.2,45.6,22.4,19.6,33.4,26.1,36.1,46.3,0.705882352941177
53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,0.695652173913043
53,44.9,20.4,16.6,32.4,22.6,34.7,29.6,0.85
50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,0.730769230769231
54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,0.631578947368421
48.7,45.5,20.1,16.3,31.7,24.6,29.7,24.6,0.545454545454545
50.4,47.6,19,20.4,24.8,28.6,28.6,25,0.652173913043478
49.7,47.4,17.8,20.7,28.8,28.7,38.6,42,0.761904761904762
48.3,46.5,21.4,19.2,32.9,25.7,38.9,33.8,0.695652173913043
47.7,50.4,17.5,20,27.8,30.6,33,24,0.708333333333333
51.1,53.5,18.5,12.6,20.4,31.2,37.1,27.1,0.2
44.8,55.6,23.8,22.7,26.1,33.9,27.9,35.7,0.0555555555555556
48.5,54.3,24,17.1,22,29.7,29.6,35.8,0.0454545454545455
45.1,48.7,25,20.7,23.3,30.3,27.2,30.9,0.222222222222222
41.4,51.5,20.8,19.2,19.2,30.4,27.5,27.8,0.142857142857143
49.8,55.8,20.9,19,22,26.1,34.1,43,0.1
48,51.9,21.1,18.5,24.3,33.1,19.6,36.2,0.0833333333333333
43.6,55,24.2,14.9,18.1,35.8,24.7,32.6,0.0833333333333333
46.4,53.3,18.1,18.2,20.9,25.6,25.6,33.8,0.214285714285714
44.4,54.7,20.2,16.8,32.6,31.3,23.9,33.8,0.157894736842105
45.7,54.7,22.3,18.7,26.3,32.3,29.8,45.5,0.176470588235294
46.5,50.7,23.6,17.6,27.4,31.3,30.1,34.4,0.15
52.6,50.2,22.3,17.6,24.1,29.9,26.8,38.4,0.4
47.1,53.2,18.2,16.9,24.9,23.8,27.9,32.8,0.266666666666667
48.9,51.5,20.6,16.4,29.2,27.7,23.2,31.3,0.222222222222222
45.4,52.6,18.4,16,34.1,30.4,33.4,29.3,0.222222222222222
43.5,48.9,22.3,20.6,29.5,29.6,42.7,36.9,0.222222222222222
50.5,54.6,19,18.7,29.5,33.5,26.1,34.6,0.222222222222222
49.8,55.5,19,18.7,25.4,28.8,29.7,29.1,0.2
47,50.9,20.9,22.1,24.8,30.6,32.7,44.5,0.181818181818182
44.5,50.6,20.3,18.2,22,29.9,29.5,36.5,0.173913043478261
43.2,54.1,22.5,18.4,27.2,32.2,38.6,38.3,0.16
52,49.6,17.3,15.7,19.8,28.3,36.3,29.2,0.416666666666667
46.9,51,21.4,20.8,26.4,33.6,34.5,38.3,0.384615384615385
46.7,47.3,19.5,16,25.9,28.1,38.9,31.7,0.3125
50.3,52.6,18.3,18.5,26.4,31.5,26.1,35.2,0.3125
49.7,51.1,19.7,16.7,24.4,28.6,36.1,25,0.294117647058824
46.1,48,22.1,20.1,31.8,31.6,23.7,35.3,0.263157894736842
48.6,53.6,18.6,17.2,21.8,30.9,26.7,31.4,0.25
49.3,50.2,21.1,14.3,23.5,29.4,24.2,26.2,0.25
44.7,52.6,17.8,14.5,20,35.1,30,27.6,0.263157894736842
48.5,53.9,19.7,20.1,23.7,32.9,28.4,30.4,0.238095238095238
49,53.7,20.8,18.7,24,29.6,29.8,35.2,0.227272727272727
45.3,53,21.6,19.8,24.7,26.1,24.8,28.8,0.227272727272727
45.8,52.2,20.6,17.1,24.1,25.2,30.6,32.7,0.238095238095238
49.3,53.9,23.9,15.4,28.9,28.5,32.4,28.8,0.217391304347826
46.9,51.7,23.8,19.3,24.6,29.3,34.8,31.2,0.238095238095238
52.1,57.4,22.6,21.8,15.3,35.4,30.9,32.8,0.2
46.3,53.5,18.1,16.8,23.2,26.7,29.2,31.1,0.2
48.9,51.2,19.2,17.2,23.4,34.4,26.2,34.7,0.192307692307692
50.1,54.8,22.6,18.1,26.5,27.8,27,26.7,0.185185185185185
44.8,44,21.4,18,28.2,29.4,31.8,37.4,0.4
51.2,54.9,17.6,18.6,24.9,29.1,35.6,27.8,0.4
51.1,49.3,20.2,19.3,31.3,25.6,35.4,33.4,0.352941176470588
50.6,49.4,21,17.8,23.3,31.3,37.7,34.9,0.333333333333333
46.7,58.7,17.1,19.1,24.2,31.6,26.9,28.2,0.4
47.9,52.8,21.1,18.4,28.9,25,27.1,37.9,0.352941176470588
44.4,55.4,20.2,21.9,29.3,30.5,34,50.1,0.315789473684211
46.7,53.2,19.8,22,32.2,31.3,27.9,39,0.285714285714286
