"","x"
"1",0.0761670410951614
"2",0.073134036470772
"3",0.0827682316862385
"4",0.0778152744201472
"5",0.0741026667434601
"6",0.0737045519691381
"7",0.0729337591719501
"8",0.0758162612527706
"9",0.0790437796992845
"10",0.072805745534815
"11",0.0734211085006756
"12",0.0792145346770931
"13",0.07621877798603
"14",0.076609135565981
"15",0.0721202495057733
"16",0.0704455331400503
"17",0.0715901126325715
"18",0.0713844007571389
"19",0.0670410392799447
"20",0.0716129738915465
