"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,0.333333333333333
48,51.8,18.8,19.4,24.3,28.1,39.6,37.2,0.4
52.7,46.8,15.5,16.7,28.5,30.4,30.6,32.4,0.735294117647059
49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,0.545454545454545
46.6,50.5,17.6,17,31.6,31.7,38.4,39.5,0.357142857142857
45.8,51.2,17.2,18.3,31.4,30,31.7,45,0.413793103448276
50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,0.71875
45.6,51,21.1,17.3,34.8,31.9,38.4,39.7,0.464285714285714
49,51.6,22.1,19.2,23.5,30.2,31.7,40.1,0.387096774193548
47.2,51.2,21,15.9,33,32.3,39.1,39.8,0.290322580645161
53.6,46.2,18.2,16,35,24.9,43.8,29.3,0.735294117647059
48.1,52,17.1,18.3,31.5,27.8,37.8,38.1,0.46875
49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,0.5
51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,0.848484848484849
45,49.2,23.8,20.2,27.7,37.4,30.1,53.7,0.242424242424242
45.8,47.1,18,14.9,28,31.2,40.1,38,0.310344827586207
49.7,49.4,18.5,16.4,31,26.8,31.7,32,0.5625
47.3,50.5,18.9,17.8,27.9,32.3,41,40.1,0.354838709677419
51.3,53.8,20.2,18.6,31.9,30,47,31.3,0.470588235294118
52.2,46.8,19.9,16.5,28,26.3,34.8,38.6,0.588235294117647
51.6,51.2,18.6,19.8,40,28.8,38.6,38.6,0.636363636363636
58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,0.612903225806452
47.1,49.7,18.5,18,32,35.7,31,34.5,0.4
44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,0.266666666666667
51.7,52,16.4,20.2,27.2,25.5,40.9,36.8,0.6
47.5,52.4,20,19.5,21.8,28.6,25.9,37,0.21875
52.2,50,19.6,17.1,26.5,28.1,37,33.9,0.545454545454545
48.9,50.9,18.5,17.1,28.1,28.4,40.2,35.9,0.4375
43,49.7,25.4,17,24.9,26.7,38.3,52.2,0.129032258064516
50.2,50.8,18.8,16,25.6,31.3,36.9,36.4,0.259259259259259
47.3,51.5,19.9,16,26.2,33.5,26.9,31.6,0.233333333333333
52.1,49.5,18.7,17.9,29.7,28.4,43.9,41.3,0.533333333333333
49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,0.558823529411765
52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,0.666666666666667
52.9,48.3,15.8,17.8,31.2,25.2,35.3,31.9,0.694444444444444
48,53.2,15.1,15.9,30.1,28.3,35.2,40.2,0.285714285714286
49.3,45.2,18.2,21.5,34.1,29.7,38,42.1,0.7
46.4,50.7,19,16.4,29.7,29,43.7,39.7,0.285714285714286
46.7,51.7,19.4,18.9,27.6,31.3,42.1,36,0.285714285714286
52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,0.676470588235294
49.5,53.5,16.4,18.9,22,30.6,41.4,39.3,0.333333333333333
49,54.9,15.9,19.6,31,32.8,36.9,39,0.424242424242424
49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,0.25
44.8,53.4,19.9,14.8,29.9,30.2,31.1,30.6,0.137931034482759
51.7,51,13.6,15.9,26.5,31.5,30,35.2,0.466666666666667
50,54,17.9,16.1,24.7,26.9,27.4,37.7,0.222222222222222
51,54.8,16.4,18.3,29.7,27.7,33.2,30.9,0.424242424242424
51.7,50.5,18,20.2,32.3,29,41.6,30.9,0.818181818181818
42.6,54.5,20.4,19,29.5,33.4,28.1,43.6,0.0344827586206897
49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,0.666666666666667
50.6,47.9,15.8,18,30.3,30.3,33.3,28.5,0.548387096774194
44.8,51.6,21.8,19.9,29.4,31.7,30.9,46.6,0.233333333333333
49.5,46.3,18.8,15.3,30.6,29,35.7,31.7,0.6
52.5,53.2,18.4,19.4,26.6,30.6,29.9,41.8,0.413793103448276
47.4,48.1,19.5,21.6,30.4,26.9,32.8,43.1,0.533333333333333
48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,0.636363636363636
49.9,52.1,16.3,14.1,33,25.1,42.3,35.1,0.5
53.5,51.5,15.9,19,28.5,26.9,37.9,34.6,0.696969696969697
51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,0.694444444444444
44.2,52.8,17.7,18.1,30.7,34.8,37.2,43.1,0.241379310344828
48.7,51.5,17.9,19.8,22.4,36.1,32.3,35.8,0.333333333333333
53.8,49,16.1,17.5,27.3,26.1,37.5,33.5,0.571428571428571
47.5,52.7,20.8,20.9,32.8,29.7,38.2,42.3,0.333333333333333
52,52,14.2,15.8,24.9,30.8,32.3,30.6,0.59375
51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,0.757575757575758
45.3,51.8,17.7,13.5,29.6,28,42.2,31.9,0.233333333333333
44.8,51.6,21.1,19.9,27.2,38.8,29.1,41.3,0.166666666666667
55.7,52,20.8,22.7,20,31,36.6,43.3,0.516129032258065
49.4,51.4,21.5,17.8,30.7,29.9,36.5,44.8,0.290322580645161
52,53.6,17.8,17.2,32.5,29.4,40.5,46.5,0.482758620689655
50.7,51.9,20.5,14.6,25.5,27.8,33.6,30.5,0.2
44.3,52.5,16.8,18.1,27.7,28.8,36.9,47.4,0.2
53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,0.694444444444444
53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,0.484848484848485
49,51.2,19.4,18.4,28.8,32.3,34.6,26.8,0.375
53,50.5,18.1,17.8,28.3,30.6,34.9,39.8,0.647058823529412
49.9,51.4,18,19.5,26.8,34.7,34.4,40.5,0.392857142857143
56,53.1,20.3,20.3,27,34.2,40.3,42.3,0.466666666666667
48.8,50.6,17.4,20.9,31.1,36.9,43.5,42.9,0.482758620689655
56.4,54,16.1,15.9,26.7,29.2,35.9,37.9,0.5
51.8,50.3,17.7,15.8,27.2,29.8,30.4,33.4,0.466666666666667
53.4,45.9,18.2,18.4,24.5,25,46.9,29.4,0.727272727272727
51.3,49.6,17.6,18.9,24.8,34.1,32.6,34.1,0.575757575757576
51.2,52.4,17.7,21,28.4,35.8,33.3,46.9,0.53125
52,48.1,19.3,14.2,30.8,29.4,35.6,35.7,0.366666666666667
48.5,46.7,16,18.6,32.9,29.5,39.5,35.7,0.583333333333333
44.8,50.3,22.5,20.3,25.4,31.2,42.5,38.5,0.222222222222222
46.7,50,17.6,16.6,23.1,32.9,32.3,37.7,0.225806451612903
51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,0.548387096774194
51.8,50.9,18,18.9,32.8,28.3,37.8,36.7,0.588235294117647
51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,0.533333333333333
48.4,48.8,15.1,21,30,29.7,37.7,46.4,0.696969696969697
51.5,50.8,20.5,19.2,32.1,28.8,43.3,38,0.515151515151515
47.7,51.4,18.6,18.8,31.6,29.3,34.9,39.7,0.466666666666667
45.1,48.4,18.6,10.2,33.5,22.8,34.4,30,0.34375
50.8,48.7,16.5,17.5,34.4,27.9,39.1,27,0.736842105263158
51.2,46.6,19.1,16.3,28.3,28.4,37.9,49.3,0.454545454545455
48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,0.588235294117647
47.5,51.8,16.2,20,29.7,34.5,37.7,44.5,0.413793103448276
48.5,47.9,18,21.2,24.5,31,37.5,41.3,0.5
49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,0.583333333333333
55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,0.771428571428571
43.8,50.8,21.7,20,24.9,32.5,44.2,41.4,0.142857142857143
49.8,48.1,16.9,19.1,32,27.3,41.5,35.1,0.78125
49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,0.617647058823529
46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,0.645161290322581
49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,0.28125
51.8,46.6,21.5,16.8,29.6,28.4,31.5,33.5,0.428571428571429
51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,0.8125
51.9,52.9,15.9,20.6,31.9,31.7,35,32.3,0.620689655172414
51.4,49.9,16.7,16.4,31.9,30,39.5,24,0.696969696969697
47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,0.428571428571429
52.2,47.3,15.4,18.4,35.8,33.3,34.4,36,0.6875
50.5,50.9,21.1,16.7,29.6,31.9,44.9,36.7,0.433333333333333
43.6,49.2,20.3,18.9,32.6,35.8,48.5,36.6,0.333333333333333
48.7,49.5,22.7,18.9,34.4,25.3,44.6,41.7,0.59375
50.1,51.7,18.3,17.4,24.7,28.4,38.5,35.4,0.482758620689655
50.2,53.6,14.9,19,21.5,28.1,30.5,26.5,0.441176470588235
41.5,49.3,21.1,15.7,31.9,30.7,43.2,39.6,0.107142857142857
47.7,48.4,18.5,20.5,30,28.2,30.9,38.4,0.548387096774194
49.9,52.9,17.8,18.2,22.5,28.8,35.5,38.1,0.56
58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,0.771428571428571
44.7,47.2,18.6,17.8,27.3,25.8,41.5,43.9,0.451612903225806
53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,0.666666666666667
51.3,48,14.8,18.8,31.9,31.3,33,25,0.666666666666667
57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,0.657142857142857
54,52.9,17.3,15.7,28.1,26.5,33.4,30,0.6875
46.9,51.1,18.9,18.1,27.7,28.1,31.9,38.9,0.387096774193548
45.7,45.5,17.8,20.7,32.3,28.4,30.4,48.1,0.529411764705882
49.7,53.6,15.4,17.4,27,26.1,31.4,33.5,0.428571428571429
46.6,52,16.3,18.6,27,34.1,30.9,42.6,0.241379310344828
51.6,45.5,17.2,15.4,29.5,27,37,37,0.645161290322581
55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,0.864864864864865
47.6,49,20.3,20.8,37,31,42.5,40.4,0.515151515151515
48.7,53.2,18.5,18,28.3,34.6,33.5,39,0.310344827586207
49,51,17.5,16.8,34.1,28,40,35.1,0.580645161290323
53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,0.75
47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,0.266666666666667
50.5,52.9,18.2,16.7,22.3,32.9,31.6,35.1,0.2
47.4,52,20.5,19.4,33.4,31.9,42.6,46.6,0.269230769230769
52.1,51.1,19.3,18.6,29.1,29.3,31.7,28.8,0.516129032258065
53.1,53,21.3,18.1,21,29.5,25.5,43.6,0.344827586206897
51.5,52.9,18.6,17.7,26.9,30.2,34.7,35.8,0.32258064516129
