"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,0.868421052631579
52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,0.923076923076923
50.8,44.2,16.5,18.4,33.9,25.8,42,32.5,0.810810810810811
52.4,44.7,16.2,18.2,35,26.2,46.9,35.7,0.971428571428571
54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,0.714285714285714
55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,0.756756756756757
53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,0.852941176470588
53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,0.789473684210526
58.9,48.5,15,14.8,27.7,27.8,33.9,33,0.771428571428571
53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,0.742857142857143
54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,0.777777777777778
48.2,48,14.8,21.9,38.1,31.5,38.2,36.7,0.823529411764706
53.5,43.9,15.3,25,37.1,32.7,41.2,38.4,0.837837837837838
54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,0.763157894736842
46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,0.852941176470588
54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,0.756756756756757
47.7,44.8,17.4,22.4,39.1,32.3,38.7,36,0.794117647058823
51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,0.696969696969697
49.6,44.4,18.6,21,28.8,29,40.3,35.6,0.787878787878788
47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,0.742857142857143
51.3,48.7,17.8,15.8,40.1,32,44.8,32.3,0.666666666666667
50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,0.727272727272727
49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,0.705882352941177
50.3,45.2,17.2,21.9,29.6,29.6,42.3,29.8,0.714285714285714
51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,0.8
51.1,45,15.9,14.9,32.5,28.2,46.7,31.3,0.794117647058823
53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,0.705882352941177
47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,0.685714285714286
48.3,49.4,19.7,17.8,34,26.1,48.3,30.2,0.657142857142857
55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,0.8
49.9,46,18.1,16.1,42,29.7,51.8,36.8,0.725
51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,0.696969696969697
48.8,45.3,18.5,19,34.7,33.2,40.3,45.4,0.606060606060606
52.4,46.3,14.7,20,28,32,49.7,41,0.617647058823529
50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,0.722222222222222
52.4,46.3,16.3,17,24.5,30.2,42.5,37.3,0.636363636363636
50.6,49.1,15.3,16.6,34.9,28.6,47.6,36.8,0.647058823529412
53.9,47.8,18.7,15.3,29.5,27.8,43.6,30.6,0.705882352941177
51.3,48,17,17,29.3,28.1,45,37,0.638888888888889
52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,0.702702702702703
51.5,47.2,19,19.6,35.1,31.4,46.6,33.4,0.727272727272727
51.1,47.4,15.9,18.8,37.6,29,45.3,35.4,0.606060606060606
48.3,47.6,16.7,19,25.7,29,42.3,44.9,0.59375
48.3,48.9,17.3,16.4,35.3,30.8,41.9,33.7,0.628571428571429
49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,0.638888888888889
52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,0.838709677419355
50,47.5,15.8,17.4,34.1,35.6,37,42.6,0.611111111111111
54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,0.766666666666667
52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,0.909090909090909
51.7,49.4,18.7,16.9,34.1,28.7,41.6,39.5,0.617647058823529
50.4,49.4,13.4,16.8,29.1,32.8,43.9,38,0.714285714285714
50.7,45.4,19.7,21.7,34.4,33.3,55.5,52.8,0.757575757575758
53.2,44.4,18.7,16.1,37.7,33,53.9,34.1,0.714285714285714
49.2,46.4,16.7,20.3,30.2,29.6,47.1,47.5,0.617647058823529
51.5,50.4,18.8,18.5,36.5,31.8,44.3,44,0.625
54,46.8,17.5,19,32,31.1,37.3,41,0.727272727272727
