"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
59,44.2,14.9,19,31.5,26.8,35.3,25.9,0.891891891891892
55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,0.921052631578947
53.6,45,17.5,19.4,35.6,29.5,33.2,24,0.842105263157895
52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,0.805555555555556
51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,0.810810810810811
55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,0.82051282051282
53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,0.810810810810811
55.3,48.1,15.8,18,31.6,30.2,33.3,34.9,0.861111111111111
53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,0.815789473684211
53.6,49,15.8,18.6,34.5,27,29.9,31.7,0.722222222222222
52.1,42.5,16.5,18.2,34.4,26,31.6,37.3,0.891891891891892
51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,0.8
55.6,49,17.3,21.6,29.6,27.2,31.9,26.3,0.742857142857143
49.4,48.2,17.4,22.8,28.3,25.7,30.6,30.7,0.735294117647059
50.5,47.2,18.9,20.3,32.8,27,35.8,35.7,0.783783783783784
52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,0.722222222222222
54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,0.769230769230769
51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,0.676470588235294
54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,0.676470588235294
53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,0.705882352941177
54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,0.657142857142857
51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,0.676470588235294
53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,0.914285714285714
53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,0.722222222222222
50.9,46.7,17.5,16.1,29.1,25.9,34.9,32,0.588235294117647
57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,0.9375
49,48.6,16,20.9,37.4,29.3,37.6,30.5,0.8
53.7,47.7,14.6,19.2,27.2,24.9,40.8,28,0.852941176470588
50.1,43.5,20,23.4,31,30.6,35.7,36.6,0.757575757575758
49.6,48.1,18.5,23.1,30.2,33.4,36.8,34.3,0.588235294117647
53.1,51,18.2,20.6,30.2,29.3,30.9,33.5,0.606060606060606
53.9,46.5,18.2,17.3,32,22.3,36.7,34.3,0.823529411764706
52.9,45.4,17.6,18,29.5,29.6,45.3,29.2,0.727272727272727
