"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
56.6,41.1,16.2,17.1,30,26.2,39,26.9,0.948717948717949
51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,0.846153846153846
57.5,48.1,17.1,20.1,30.2,27.8,35,22.1,0.888888888888889
56.1,48.1,17.6,18.6,34.1,29.7,36,30,0.861111111111111
52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,0.842105263157895
51.4,45.7,16,19.6,36.7,28.5,34,38.8,0.735294117647059
54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,0.756756756756757
53.7,47.7,16.6,17.4,33.2,26,40.5,28.6,0.864864864864865
55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,0.868421052631579
52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,0.794117647058823
59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,0.861111111111111
53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,0.742857142857143
51.6,45.8,16.9,21,32.1,29.5,40.2,34,0.75
51.3,48.8,17,27.6,37.9,31.9,38.9,42.5,0.756756756756757
55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,0.771428571428571
54.6,50.8,15,19.6,27.2,27,37.1,37,0.735294117647059
52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,0.676470588235294
55,49,14.1,19.5,25.7,31.6,27.6,25.6,0.685714285714286
53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,0.722222222222222
48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,0.705882352941177
54.6,46,16.9,18.3,37.2,26.4,36,24.6,0.857142857142857
52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,0.833333333333333
57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,0.735294117647059
52.4,47.5,19,18,30.4,32.3,38.5,32.6,0.75
57,51.9,14.2,19.5,24.7,30,30.1,27.2,0.684210526315789
57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,0.852941176470588
47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,0.722222222222222
53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,0.774193548387097
52.1,47.5,17,19.5,35.9,25.9,32.9,28,0.72972972972973
51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,0.636363636363636
49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,0.666666666666667
51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,0.722222222222222
52.1,48.1,18.2,16.1,24.8,27,34.8,30.7,0.542857142857143
54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,0.571428571428571
56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,0.666666666666667
49.9,49,19.5,17.5,35.7,25.4,37.6,36.1,0.636363636363636
54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,0.885714285714286
54,53.2,18.2,20.3,38.3,31.9,37.4,45.4,0.625
57.5,52.2,17.3,18.3,27.1,29.2,31,35.7,0.59375
51,47.5,17.8,21,31.3,27.5,36.4,40.9,0.742857142857143
54.1,52.7,16.4,16.2,30.7,27.7,40.7,38,0.575757575757576
52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,0.6
50.8,45,16.4,19.4,32.8,29.7,39.2,45,0.714285714285714
51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,0.631578947368421
51.4,49.6,18.4,20.3,26.4,28.6,38.1,30.5,0.606060606060606
52.2,50.1,15.7,17.9,31,31.4,36.8,24,0.722222222222222
54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,0.885714285714286
52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,0.8
53.2,48.7,15.2,20.2,24.1,24.7,24.4,32,0.793103448275862
55,53.2,13.9,20.1,32.5,28.5,30.8,39.6,0.878787878787879
55.3,48.6,17,19.6,29.8,27.1,34.3,26.5,0.852941176470588
55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,0.818181818181818
55.3,48,18.9,19.7,26.8,27.9,37.2,33.1,0.742857142857143
53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,0.838709677419355
52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,0.903225806451613
53.9,49.3,17.9,17.4,33.8,29.6,33.8,35.9,0.838709677419355
53.4,50,16.5,18,27,32.1,31,33.4,0.628571428571429
48.2,50.1,17.9,19,38.1,29.8,32.5,34.3,0.628571428571429
51.6,50.1,17.8,17.6,30.8,29.8,40.1,32.8,0.628571428571429
52.4,49.7,18.8,17,31.2,26.4,36.5,30.5,0.727272727272727
53.4,50.7,18.3,19.6,26,27.8,36.1,39.7,0.758620689655172
52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,0.606060606060606
51.3,45.3,17.8,19.8,31.6,31.2,34.2,28,0.806451612903226
53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,0.545454545454545
50.2,50.3,23.7,22.4,36.1,32.6,42.8,34.7,0.689655172413793
51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,0.555555555555556
48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,0.676470588235294
48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,0.657142857142857
52.7,50.4,18.8,18.7,34.1,29.3,32.2,30.9,0.631578947368421
51.1,51.9,15.8,20.1,31.4,32.2,34.3,24.1,0.515151515151515
51.4,44,18.6,19,30.4,28.5,29.9,32.6,0.823529411764706
55.2,48.7,21.4,15.7,36.4,28,34.1,36.8,0.529411764705882
53.5,50.3,18,19.7,31.6,34.5,35.1,29.2,0.558823529411765
52.9,50.8,16.5,20.3,30,25.7,35.6,35.6,0.5625
51.7,47.1,14.9,20.7,31.8,30.7,28.6,36.8,0.6875
56.2,49.1,19.2,17,30.9,24.5,33.1,31.2,0.666666666666667
48.2,46.1,20.4,19.8,34.1,26.6,39.1,39.9,0.558823529411765
46.8,48.6,17.4,19.3,31.8,30.1,42.9,43.3,0.516129032258065
51.2,47.2,21.2,17.4,37.4,31.2,33.3,28.1,0.516129032258065
47.4,50,19,18.5,30.8,29.8,36.7,33.5,0.354838709677419
50.4,42.7,22,14.7,32.6,25.5,39.9,22.3,0.666666666666667
48.1,47.2,18.6,16.7,28.9,28.2,40.7,34.2,0.575757575757576
52.2,48.9,19.2,17.5,29.7,28.8,38.1,29.4,0.53125
48.1,45.3,18.7,16.6,32.9,24,37.7,34.1,0.617647058823529
52.5,51,18.6,19.1,31.8,32.3,34.9,27.5,0.558823529411765
52,47.4,20.1,17.3,29,30.5,42.6,38.8,0.4375
51.4,51.3,17.6,14.3,28.2,29.5,39.4,26.6,0.484848484848485
48.8,48.1,19.6,18.3,28.4,31.2,34.5,30,0.333333333333333
47.5,44.8,17.5,19,30.5,29.1,35.3,32.4,0.59375
51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,0.53125
50.6,49.9,18.3,18.5,28.6,26.3,32.5,30.1,0.588235294117647
48.8,49.8,19.3,18.8,33.9,30,42.8,35.6,0.611111111111111
47.4,46,19.3,18.8,27.7,30.8,35.8,27.4,0.583333333333333
51.1,50.6,17.9,19.9,30.3,33.3,42.5,38.8,0.5625
50.9,50.3,17.4,17.2,33,28.3,37.5,33.9,0.575757575757576
48.3,43.6,20.8,22.8,32.6,30.6,38,47.1,0.78125
51.2,47.9,18.2,16.2,29.1,24.8,42.3,31.1,0.647058823529412
52.5,48.9,18.7,20.1,32.6,29.8,34.6,36.6,0.794117647058823
48.3,46.8,16.1,16.9,31.3,28.8,38.2,31.8,0.705882352941177
51.8,48.3,17.9,16.6,27.7,26.5,40.5,41.9,0.645161290322581
48.5,45.6,18.7,16.1,29.9,30.5,34.5,32,0.5
53.9,49.9,16.2,20,20.7,30.7,31.6,34.6,0.628571428571429
50.8,47,16.7,19.5,29.7,30,37.3,35.7,0.794117647058823
52.3,47.8,18.3,19.4,26.5,27.1,27.2,33.9,0.625
51.2,48.1,17.3,20.9,25.5,25.9,33.1,29.2,0.638888888888889
50.8,48.5,18.8,20.6,27.2,27.5,40.5,46.2,0.645161290322581
47.2,49.2,17.9,20.3,26.6,30.6,32.8,31.2,0.454545454545455
49.7,49.9,17.6,20.9,33,31,42.4,41.5,0.625
53.4,48,17.7,19.4,29.2,26.2,34.6,26.9,0.741935483870968
55.3,51.8,17.3,20.9,20.6,25.8,30.8,33.5,0.6
52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,0.46875
46,52,18.6,19.3,33.7,29.9,30,33.3,0.4
53.2,47.3,17.4,18.1,25.6,27.7,33.7,32.7,0.666666666666667
50.3,52.4,17.7,20.5,27.4,32.8,36.2,39.3,0.424242424242424
48.3,52.7,18.6,20.6,29.6,27.2,37.3,38.2,0.466666666666667
51.1,48.1,19,19.7,27.1,30.1,33.9,37.9,0.5
55.1,51,17.2,16.7,29.4,27.9,37.3,32.9,0.771428571428571
49.7,49.1,16.6,18.3,27.5,32.2,26.4,32.1,0.5
55.7,48.3,18.4,16,25.6,25,29.4,31.9,0.793103448275862
48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,0.59375
49.4,48,15.9,18.6,25.4,28.9,42.7,31.9,0.735294117647059
54.9,49.4,19.2,19.5,27.2,27.1,32.1,33.7,0.696969696969697
51.2,46.3,18.4,18.9,29.3,29.1,37.7,28.5,0.78125
50.1,47.4,18.2,17.9,30.4,26.8,36.9,32.4,0.75
50.2,50.6,18.4,19,27,27.8,46,37.7,0.548387096774194
52.4,51.8,15.9,19,18.3,24.5,24,35.2,0.53125
52.3,47.4,19.8,18.4,29.6,29.6,32.3,39.5,0.692307692307692
51.9,50.7,19.8,21.4,31.2,32.7,40.3,37.2,0.655172413793103
50,44.1,19.9,15.3,31.9,26.4,29.7,40.2,0.617647058823529
48.3,49,18.7,18.7,37,26.1,45.6,47.1,0.625
48.8,49.6,17.9,18.5,27.1,27.1,45.8,40.9,0.516129032258065
51.4,55.4,14.3,18.3,24.4,32.2,31.9,29.9,0.454545454545455
45.6,46.4,17.5,20.1,35.5,25.6,34.1,38.6,0.612903225806452
54.4,51.2,18.5,14.2,29,25.5,38.3,27.2,0.515151515151515
