"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
52.6,47,17.5,20.2,28.7,28.7,29.8,31.1,0.777777777777778
51.8,47.2,17.2,15.4,38.4,23.5,37.2,19.2,0.828571428571429
52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,0.837837837837838
52.3,42.7,15.4,21.1,37.1,27.7,28.9,35.7,0.891891891891892
53.3,48.1,16.3,22.1,28.3,29,30.5,33.7,0.763157894736842
56,51,15.3,22.5,26.2,31.7,27,29.1,0.805555555555556
56.5,47.1,18.4,16.9,30.7,26.1,35.8,25.5,0.8
51.1,46.8,14.9,23.3,33,28.2,27.4,27.5,0.837837837837838
52.3,48.1,19.3,21,29.9,30.3,36.1,36.3,0.722222222222222
57.6,51.4,14.8,17.8,31.2,25.6,34.1,26,0.861111111111111
53.2,51.6,17.9,19.9,34.4,30.9,36.8,31.3,0.676470588235294
55.2,50.3,17.2,16.2,30.8,25,31.4,27,0.72972972972973
53.9,44.4,18.9,18.5,38.5,26.1,30.8,37.8,0.794871794871795
53.5,47.2,16.8,16.3,28.1,29,29.5,29.8,0.657142857142857
51.2,48.3,13.6,19.5,25.6,24.9,34.7,26.3,0.757575757575758
49.9,42.8,18.1,22.2,36.4,26.9,30.7,33.8,0.694444444444444
49.3,46.5,17.3,19.1,31.6,26.1,33.2,30.2,0.842105263157895
54.3,51.2,16.1,18.1,31.8,28.8,30.7,24,0.783783783783784
52,47.1,16.4,19.2,32.6,21.9,32,29.9,0.794117647058823
51.1,46,18.3,16.5,35.9,26.1,29.9,23.7,0.75
54.2,47.1,16.6,13.9,25.3,23.5,28.4,19.7,0.648648648648649
50.6,48.6,17.4,16.6,39.2,25,31.9,29.9,0.647058823529412
50,48.1,16.7,21.6,32.2,30.5,34.1,30.1,0.628571428571429
49.9,49.9,19.6,25,33.9,26.5,27.9,40.8,0.575757575757576
47.3,48.4,14.7,21.3,28.6,27.7,29.7,31.6,0.647058823529412
55,52.3,15.8,24,26.3,37.2,29.1,34.2,0.714285714285714
48.8,48.2,18.3,20.9,36.7,30.4,45.1,34.7,0.714285714285714
51.7,48.6,16.4,14.8,27.6,25.2,27.2,28,0.617647058823529
50.8,47.7,16.5,18.4,30,28.1,34.3,28.4,0.628571428571429
51.7,53.3,14,18.2,32.1,27.4,32.3,23.8,0.575757575757576
53,46.7,18.3,20.8,31.2,32.7,35.4,34.4,0.742857142857143
