TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
Massachusetts,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,2016,0.438
Rhode Island,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,2016,0.531
Richmond,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,2016,0.500
Saint Louis,47.7,50,19.5,18.5,20.7,27.9,37.8,39.3,2016,0.344
St. Bonaventure,51.5,49.6,16.5,19,31.3,33.4,37.5,37.4,2016,0.710
Davidson,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,2017,0.531
Duquesne,48.9,49.9,20,17.6,29,30.2,37.1,33.3,2017,0.313
Fordham,48.4,53,19.7,25.6,23.4,31,26.7,43.5,2017,0.419
George Mason,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,2017,0.606
George Washington,49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,2017,0.571
La Salle,53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,2017,0.500
Massachusetts,49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,2017,0.455
Richmond,53.9,49.9,16.2,20,20.7,30.7,31.6,34.6,2017,0.629
Saint Joseph's,46.6,51.2,17,18,29.8,26.6,40.1,32.5,2017,0.355
Saint Louis,47,50.6,20.3,16.9,24.2,27.3,34.4,38.5,2017,0.364
St. Bonaventure,49.7,49.9,17.6,20.9,33,31,42.4,41.5,2017,0.625
Dayton,55.5,54.4,20.2,18.4,25.8,27.5,31.8,29.2,2018,0.452
Duquesne,49.7,50.8,17.6,18.4,33,28.9,35.4,36.4,2018,0.500
Fordham,47.9,52.3,18.5,21.1,18.8,32.8,26.9,30.4,2018,0.290
George Mason,49.1,52.1,18.2,16.1,27.9,26.7,31.8,30.8,2018,0.485
George Washington,49.5,51.4,19.2,17.1,31.7,30,28.9,28.1,2018,0.455
La Salle,49,51.7,16.5,17.5,25.5,25.4,31,33.8,2018,0.406
Massachusetts,52.5,51.5,18.6,16.5,27.2,29.7,25.1,33.2,2018,0.394
Richmond,52.1,55.4,16.9,19,23.4,28.3,29.7,31.4,2018,0.375
Saint Joseph's,48.8,49.6,13.9,16.2,23.5,24.5,34.6,24.6,2018,0.500
Saint Louis,47.1,49.3,19.5,18.3,33.8,27,45.8,35.1,2018,0.531
VCU,52.6,51.5,18.7,17.8,29,27,28.1,29.4,2018,0.545
Davidson,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30,2019,0.727
Dayton,56.1,47.9,18.8,16.8,26.9,27.4,32.1,23.8,2019,0.636
Duquesne,49.9,49.9,19.8,21.6,31.9,35.1,35,31.9,2019,0.594
Fordham,46.8,49.5,16.4,19.1,25.1,28,24.5,36.9,2019,0.387
George Mason,50.1,50.2,18.9,18.2,29,27.2,34.2,30.6,2019,0.545
George Washington,45.8,51.2,18.2,17.1,23.4,28.5,32.6,30.2,2019,0.273
La Salle,47.2,51.3,20.2,19.8,28.9,28.9,28.5,41.3,2019,0.323
Massachusetts,51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,2019,0.344
Rhode Island,47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,2019,0.545
Richmond,54.1,53.1,15.3,18.5,19.1,29.9,30.7,28.7,2019,0.394
Saint Joseph's,48,51.7,13.5,15.7,22,24.4,31.7,27.1,2019,0.424
St. Bonaventure,48.3,47.2,18.7,19.8,29.2,28.7,28.2,31.5,2019,0.529
Boston College,50.8,49.4,18.8,18.8,26,30.9,35,40.8,2015,0.406
Clemson,46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,2015,0.516
Florida St.,50.1,47.3,21.9,18,31.8,31.9,46.9,37.9,2015,0.515
Georgia Tech,44.4,49.2,19.6,18,38.7,25.8,31.1,33.8,2015,0.387
Miami FL,49.9,47.6,15.9,17.3,29.5,29.3,35.5,28.5,2015,0.658
Pittsburgh,49.1,50,15.7,17.4,34.3,31.6,34.8,37.8,2015,0.545
Syracuse,47.3,46.4,17.9,21.1,33.5,31.3,35.4,30,2015,0.581
Virginia Tech,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,2015,0.333
Wake Forest,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,2015,0.406
Boston College,47.5,52.4,20,19.5,21.8,28.6,25.9,37,2016,0.219
Clemson,50.6,47.9,15.8,18,30.3,30.3,33.3,28.5,2016,0.548
Florida St.,51.8,50.9,18,18.9,32.8,28.3,37.8,36.7,2016,0.588
