TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
Bryant,47.9,57.6,18.2,17.9,26.2,34.1,27.8,33,2018,0.097
Central Connecticut,51,51.2,21.8,16.6,31.1,28.3,32.6,30.1,2018,0.438
Fairleigh Dickinson,49.8,51.6,19.2,19.3,30.3,35,30.8,35.9,2018,0.448
Mount St. Mary's,54.1,51.7,16.2,20.2,20.5,35.4,29.1,27.3,2018,0.600
Robert Morris,47.4,50.5,20.9,22.3,31.2,31.2,34.3,36.2,2018,0.485
Sacred Heart,48.5,50.9,21.5,14.6,32.5,22.6,30,33,2018,0.333
St. Francis NY,48.7,53.2,17.7,20.9,26.2,31.9,30.4,45.1,2018,0.448
St. Francis PA,52.8,53.6,16.5,18.6,25.7,31.1,33.5,23.4,2018,0.621
Wagner,49.8,49,19.7,20.4,35.8,28.6,34.2,46.7,2018,0.742
Bryant,49,54.9,18.4,18.6,26.6,30.2,36.8,35.4,2019,0.333
Central Connecticut,47,53,19.8,18.1,29.6,29.9,34.1,37.2,2019,0.379
LIU Brooklyn,50.7,48.2,20.1,18.5,28.3,29.5,34.4,35.4,2019,0.516
Mount St. Mary's,47.9,52.1,19,17.8,25.1,31.5,33.9,34.8,2019,0.310
Robert Morris,48.8,52.2,21,22.2,30.1,27.8,32.2,38.5,2019,0.545
Sacred Heart,51.7,51.8,19.9,16.5,31.8,27,38.1,31.3,2019,0.484
St. Francis NY,48.5,48.9,17.6,19.2,26.9,28.5,28.6,39.3,2019,0.548
St. Francis PA,48.8,53.8,17.4,16.9,33.4,28.6,35,31.8,2019,0.581
Wagner,44,51.1,20.8,19.8,33.4,28.9,33.8,46.5,2019,0.464
Austin Peay,44.5,54.9,20.8,20.3,31.8,29.2,41.6,38.4,2015,0.214
Eastern Illinois,51,48.8,19,18.9,23.4,34.3,33.4,31.4,2015,0.516
Eastern Kentucky,53.9,53.5,17.9,26.9,21.6,34.8,32.2,35,2015,0.613
Jacksonville St.,43,51.1,18.5,19.2,28.7,34.5,37.6,39,2015,0.345
Morehead St.,49.3,49.1,20.1,21.2,34.7,28.2,34.7,55.2,2015,0.469
Murray St.,54.3,46.8,17.1,18.7,35.9,32.5,41.2,36.6,2015,0.818
SIU Edwardsville,48.7,49.3,20.3,19.8,28.8,31.9,37.4,37,2015,0.385
Southeast Missouri St.,48.9,50.2,19.2,19.3,32.2,31.6,36.4,41.8,2015,0.393
Tennessee Martin,53.4,50.8,18.6,15.4,30,25.8,31.4,28.8,2015,0.594
Tennessee St.,43.9,50.4,22.1,18.3,26.5,32.8,40.4,42,2015,0.103
Tennessee Tech,48.8,53.1,20.5,18.7,36.4,29.2,34.8,42.7,2015,0.357
Belmont,58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,2016,0.613
Eastern Illinois,49.9,51.4,18,19.5,26.8,34.7,34.4,40.5,2016,0.393
Eastern Kentucky,56,53.1,20.3,20.3,27,34.2,40.3,42.3,2016,0.467
Jacksonville St.,46.6,52,16.3,18.6,27,34.1,30.9,42.6,2016,0.241
Morehead St.,48,50.6,18.6,21.4,38.6,29,35.3,53.7,2016,0.600
Murray St.,51.6,52.2,17.8,19.2,28.7,26.2,34.1,40.8,2016,0.517
SIU Edwardsville,44.8,51.8,19.7,17.6,32.4,29.3,36.9,43.9,2016,0.214
Southeast Missouri St.,44.1,54,19.8,18.5,28.5,29.6,35.7,31.9,2016,0.111
Tennessee Martin,50.5,50.8,18.2,17,29.5,29.4,35.6,30,2016,0.545
Tennessee St.,50.4,49.5,19.2,21.6,31.4,29,41.5,42.7,2016,0.621
Tennessee Tech,52.4,50.6,17.8,16,27.6,31.9,44,32.8,2016,0.586
Austin Peay,52.4,56.4,17.3,17.6,24.2,35.8,41,29.5,2017,0.393
Belmont,55.7,48.3,18.4,16,25.6,25,29.4,31.9,2017,0.793
Eastern Illinois,47.8,49.7,17.5,21,29.5,32.4,26.9,39.3,2017,0.519
Eastern Kentucky,49.4,51.4,19.8,19.2,25.2,32.9,37.4,40.5,2017,0.414
Morehead St.,51,55.1,18.5,19.4,35.2,28.1,28.8,42.1,2017,0.500
Murray St.,50.8,52.1,16.9,17.9,31.8,29.6,34.9,38.5,2017,0.516
SIU Edwardsville,45,52.7,20.3,18.3,31.6,28.5,45.7,44.9,2017,0.214
Southeast Missouri St.,51.4,55.3,17.6,21.9,24.7,30.1,35.1,39,2017,0.484
Tennessee Martin,52.7,52.6,21.6,19,37.4,32.4,34.3,31.1,2017,0.667
Tennessee St.,48.7,48.5,21.7,21.4,34.2,28,39.5,48.7,2017,0.607
Tennessee Tech,48.1,51.5,19.2,20.4,29,30.1,38.5,39.7,2017,0.400
Austin Peay,49.9,54,19.8,22.1,34.7,28.9,35.9,39.9,2018,0.594
Belmont,58.8,48.9,18.1,16.9,25.2,25.7,27.9,26.8,2018,0.727
Eastern Illinois,47.7,52,20.4,19.3,29.9,29.9,32.2,33.4,2018,0.414
Eastern Kentucky,49.8,55.3,19.1,19.1,27.1,31.9,33.4,35,2018,0.379
Jacksonville St.,50.2,48.4,19.2,19.3,33.4,26.2,30.4,32.4,2018,0.657
Morehead St.,48.2,55.2,22.1,19.9,31,29.9,36.7,40.9,2018,0.296
SIU Edwardsville,47.8,54.1,19.4,17.5,29.3,29.4,33,45.9,2018,0.300
Southeast Missouri St.,54.3,55.2,18.1,17.2,26.2,29.3,37.7,34.5,2018,0.483
Tennessee Martin,49.8,50.7,21.6,19,28.5,32,24.1,34.1,2018,0.345
Tennessee St.,49.3,52.7,21.9,23.3,25.5,27.7,37.8,35.4,2018,0.536
Tennessee Tech,49,51,19.8,20.3,28.2,30.1,37.7,36.6,2018,0.613
Austin Peay,52.9,52.5,16.6,20.8,32.3,30,34.7,34.2,2019,0.710
Eastern Illinois,49.6,53.6,18.8,18.4,29.2,30.5,28.7,33.1,2019,0.452
Eastern Kentucky,47.8,53.2,18.2,21.5,27.3,31.1,32.6,39.7,2019,0.448
Jacksonville St.,50.5,48.7,18.8,20.4,33,25.6,30.2,30.1,2019,0.774
Morehead St.,48.4,52.5,17.2,17.7,27.8,31.6,33.9,28.4,2019,0.419
SIU Edwardsville,46.8,56.6,18.7,18.9,28.5,28.5,34.6,39.3,2019,0.345
Southeast Missouri St.,50.4,52.7,20.2,17.4,25.6,28.3,29.1,33.5,2019,0.345
Tennessee Martin,50.4,57.1,18.8,19.3,31.5,34.7,26.4,27.2,2019,0.414
Tennessee St.,49.1,54.3,22.7,20.3,28.7,28.4,36.2,54,2019,0.321
Tennessee Tech,46.1,51.1,22.8,19.2,27.9,32.9,36.3,33.2,2019,0.276
Arizona St.,50.9,50.2,20.7,19.1,31.8,25.1,42.1,34.1,2015,0.529
California,48.9,46.8,16.6,14.3,26,25.1,30.3,38.8,2015,0.545
Colorado,48.4,48.9,19.9,16.9,34.4,27.9,40.8,33.9,2015,0.471
Oregon St.,46.6,44.7,19.1,23.7,28.5,32.8,36.8,44.3,2015,0.533
Stanford,49.3,48.4,16.2,17.2,33.6,27.8,40.5,36.5,2015,0.649
USC,46.8,48,20,19.1,31.5,34.3,33.8,31.2,2015,0.375
Washington,49.3,47.1,17.5,16.8,31.4,33.2,33.9,31.7,2015,0.516
Washington St.,49.6,52.4,17.3,14.1,26.4,30.3,39.7,34.1,2015,0.419
Arizona St.,48.1,52,17.1,18.3,31.5,27.8,37.8,38.1,2016,0.469
Stanford,47.5,52,17.5,19.8,30.8,32.1,45.3,39.9,2016,0.483
UCLA,50.3,49.7,16.9,16.1,32.8,30.4,32.3,33.9,2016,0.469
Washington,48.1,47.9,17.4,20.5,33.4,35.7,41.2,44.6,2016,0.559
Washington St.,50.7,49.9,19.7,14.7,23.9,29.6,31.1,37.5,2016,0.267
Arizona St.,51.4,55.4,14.3,18.3,24.4,32.2,31.9,29.9,2017,0.455
California,48.1,45.3,18.7,16.6,32.9,24,37.7,34.1,2017,0.618
Colorado,50.9,50.3,17.4,17.2,33,28.3,37.5,33.9,2017,0.576
Oregon St.,48.2,51.3,23,17.5,26.9,32.3,34.3,39.6,2017,0.161
Stanford,48.3,52.7,18.6,20.6,29.6,27.2,37.3,38.2,2017,0.467
Utah,56.2,49.1,19.2,17,30.9,24.5,33.1,31.2,2017,0.667
Washington,50.6,52.8,18.8,16.4,34.9,31.4,30.8,34.7,2017,0.290
Washington St.,52,52.8,18.1,14.7,20,28.5,27.2,27.9,2017,0.433
California,44.5,54.5,20.8,19.7,34.8,30.6,38.1,38.4,2018,0.258
Colorado,50.6,49.3,20,15.1,29.3,26.3,33.3,34,2018,0.531
Oregon,53.3,50.3,17.1,19,31,26.8,31.7,36.3,2018,0.639
Oregon St.,52.1,49.6,19.4,18.6,31.8,28.7,38.7,38.2,2018,0.500
Stanford,51.9,49.7,20.6,15.9,32.8,27,41.6,29.2,2018,0.543
USC,53.8,51,15.3,19.2,30,28.8,29.9,26.6,2018,0.667
Utah,54.5,48.3,17.5,17.5,24.1,28.6,34.4,28.8,2018,0.657
Washington,51.7,50.7,18.6,21.1,28.9,33.3,36.7,34.4,2018,0.618
Washington St.,54.1,53.5,19.4,16.4,24.6,31.2,24.7,28.5,2018,0.387
Arizona,49,50.9,16.7,20.3,28.4,25.9,33.3,35,2019,0.531
California,48.6,56.9,16.5,20.5,23.3,31.4,34.8,36.1,2019,0.258
Colorado,51,48.4,19.1,17.4,30.7,23.6,37.2,31.1,2019,0.639
Oregon St.,52.2,50.2,18.3,17.6,30.8,29,36.8,33.5,2019,0.581
Stanford,51.2,47.9,20.8,17.2,29.9,28.3,36.1,32.9,2019,0.484
UCLA,52,49.6,19,15.1,30.8,27.1,38.2,27.6,2019,0.515
USC,52.8,49.1,16.5,18.1,27,29.9,27.6,30,2019,0.485
Utah,55,52.3,19.2,14.7,31,27.1,35.5,32.5,2019,0.548
Washington St.,52.8,54.7,19.2,17.1,25.2,29.5,30.3,28.4,2019,0.344
American,53.4,51,19.4,21.8,21.3,31.6,34.4,33,2015,0.515
Army,50,51,19.1,18.9,29.7,31.5,32,40.7,2015,0.483
Boston University,52.7,53,19.4,16.3,28.2,28.4,44.9,33.6,2015,0.414
Bucknell,49.7,49.9,17.1,14.5,29.6,25.9,40.3,38.4,2015,0.545
Colgate,56,50.7,18.8,16.5,23.7,28.4,27.4,35.1,2015,0.469
Holy Cross,47.2,53.2,17,21.6,29.6,29.7,34.9,41.3,2015,0.448
Lehigh,49,46.8,19.9,17.4,29.2,30.4,36.2,31.2,2015,0.517
Loyola MD,42.8,49.7,20.3,17.6,31.9,28.6,37.6,44.9,2015,0.367
Navy,49.1,53.1,19.4,20.1,29.5,30,30.6,36.6,2015,0.387
American,49,51.6,22.1,19.2,23.5,30.2,31.7,40.1,2016,0.387
Army,49.7,49.4,18.5,16.4,31,26.8,31.7,32,2016,0.563
Boston University,52.2,50,19.6,17.1,26.5,28.1,37,33.9,2016,0.545
Bucknell,52.1,49.5,18.7,17.9,29.7,28.4,43.9,41.3,2016,0.533
Colgate,52.5,53.2,18.4,19.4,26.6,30.6,29.9,41.8,2016,0.414
Lafayette,50.5,52.9,18.2,16.7,22.3,32.9,31.6,35.1,2016,0.200
Lehigh,52.1,51.1,19.3,18.6,29.1,29.3,31.7,28.8,2016,0.516
Loyola MD,47.7,52,18.9,17,31.4,30.6,38.4,40.9,2016,0.300
Navy,49.5,48.9,19.9,20.3,32.6,27.2,42.8,39.4,2016,0.563
American,50.3,52.5,20.2,20.2,21.7,28,30.7,41.4,2017,0.267
Army,51.5,50.3,20.6,17.3,26.4,24,28,33.7,2017,0.419
Boston University,51.2,50.5,20.2,20.7,28.1,28.5,33.4,37.2,2017,0.581
Colgate,51.4,52.5,22,17.3,24.8,25.3,33.4,38.6,2017,0.323
Holy Cross,50.4,53.3,17.8,25.7,19.4,32.4,34.4,30.4,2017,0.469
Lafayette,49.1,54.5,20.7,18.2,20,29.1,29.4,30.4,2017,0.310
Lehigh,55.4,50.2,19.8,18.6,23.2,24.1,32,28.1,2017,0.645
Loyola MD,46.7,52.2,22,21.3,33,28,39.2,35.9,2017,0.500
Navy,47.8,53,21.9,23.8,36.9,26.2,35.9,38.9,2017,0.516
American,50.7,54.8,20.4,20.4,23.8,31.4,30.4,40.7,2018,0.200
Army,52.3,52.4,18.8,19.7,27.1,27.6,24.5,38.1,2018,0.448
Boston University,52.8,52.8,20.1,20.1,28.3,29.6,32.8,30,2018,0.500
Colgate,51.5,53.2,16.4,19.4,25.6,27.6,29,29.4,2018,0.594
Holy Cross,52.6,51,19.1,20,19.3,31.9,29.7,34,2018,0.387
Lafayette,53.3,52,19.3,14.7,21,27.2,28.8,26,2018,0.333
Lehigh,52.9,52.4,17.4,16,25.3,26.8,25.8,30.7,2018,0.552
Loyola MD,47.8,54.4,18.9,18.7,29.1,26.4,33.3,40.4,2018,0.300
Navy,49.6,53.2,21.3,21.3,31.7,22.2,36.2,34,2018,0.645
American,53.2,48.2,18.7,17.7,26.1,27.4,35.8,34.8,2019,0.500
Army,49.6,53.3,16.5,18.7,21.6,22.9,24.3,28.4,2019,0.419
Boston University,53.4,54.6,18.8,18.2,28.6,25.1,24.8,32.5,2019,0.469
Bucknell,53,49.2,17.3,16.6,25.8,27.6,33.9,32.4,2019,0.636
Holy Cross,52.7,53.8,16.1,22.1,20.6,32.9,23.1,26.8,2019,0.485
Lafayette,52.6,54.7,18.7,15.3,22.2,26.7,24.5,31.2,2019,0.345
Lehigh,56.4,50.2,18.5,15.6,23.5,27.5,34.9,30.5,2019,0.645
Loyola MD,51.6,55.6,19.5,20.6,27.9,29.6,33.6,32.3,2019,0.344
Navy,46.8,52.1,20.7,16.6,31.8,25.5,30.5,29.7,2019,0.387
Appalachian St.,45.6,50.6,20.6,17.2,31.4,29.8,33.6,37.6,2015,0.414
Arkansas Little Rock,47.6,51,15.6,19.9,28.4,31.2,36,40.8,2015,0.400
Arkansas St.,45.3,48.3,20,17.6,29.7,32.7,33,34.7,2015,0.357
Georgia Southern,47.3,46.2,18.3,22,32.6,32.2,36.2,32.7,2015,0.679
Louisiana Lafayette,50.1,48,20.5,18.4,34.6,27.6,39.6,37.4,2015,0.576
Louisiana Monroe,45.6,44.7,18,17.2,32.6,29.4,26.1,29.7,2015,0.588
South Alabama,47.8,49,20.9,15.2,30,33.1,41.9,34.1,2015,0.323
Texas St.,44,47.6,19.9,23.1,29,31.8,36.5,36.6,2015,0.393
Troy,48.9,50.8,21.2,19.5,31.3,33.7,38,28.3,2015,0.296
UT Arlington,49.4,47.8,20.8,19.6,31.8,32.8,38.1,42.2,2015,0.500
Appalachian St.,47.2,51.2,21,15.9,33,32.3,39.1,39.8,2016,0.290
Arkansas St.,45.8,47.1,18,14.9,28,31.2,40.1,38,2016,0.310
Georgia Southern,47.5,51.8,16.2,20,29.7,34.5,37.7,44.5,2016,0.414
Georgia St.,48.5,47.9,18,21.2,24.5,31,37.5,41.3,2016,0.500
Louisiana Lafayette,48.8,49.9,17.5,16.5,37.7,26.4,42.2,35.5,2016,0.531
Louisiana Monroe,50.6,47.5,18.2,17,31.5,31.6,32.2,33,2016,0.563
South Alabama,46.1,48.4,20.6,18,30.5,32.5,38.3,38.7,2016,0.387
Texas St.,46.6,49.6,17.8,20.8,29.8,30.6,37.7,35.6,2016,0.448
Troy,45.7,51.1,16.7,17.8,29.4,31.5,37.2,35.8,2016,0.276
UT Arlington,49.2,47,18.7,20.1,36.3,26.2,34.4,43.3,2016,0.676
Appalachian St.,47.4,52.8,19.4,16.9,28.9,27.2,37.1,44.8,2017,0.321
Arkansas St.,51.9,49.2,18.6,18.8,31,27.5,41.5,41.8,2017,0.645
Coastal Carolina,48.5,50.3,18.1,16.6,30.5,26.9,29.2,32.6,2017,0.541
Georgia Southern,51.5,51.3,17,18.7,25.2,33,39.9,34.7,2017,0.581
Georgia St.,53,49,20,19.8,29.9,29.1,33.9,40,2017,0.645
Little Rock,49.1,51.8,19.5,19.9,28.4,27.6,32.3,40.3,2017,0.500
Louisiana Lafayette,51.5,54.4,17.9,20.1,36.3,27.8,42.2,37.3,2017,0.677
Louisiana Monroe,47.7,50.5,19.4,16.5,29.5,29.4,26,34,2017,0.290
South Alabama,48.4,52.2,18.4,22.4,27.2,31.7,38.3,40.4,2017,0.467
Texas St.,50.5,47.7,18.2,19.9,28.2,29.6,36.8,36.1,2017,0.647
UT Arlington,52.5,48.9,18.7,20.1,32.6,29.8,34.6,36.6,2017,0.794
Appalachian St.,49.9,51.3,18.9,17.2,29.5,25.6,36.8,36.6,2018,0.484
Arkansas St.,49.4,56,18.6,18.8,30.2,31.3,33.1,35.3,2018,0.367
Coastal Carolina,49,49.6,22,18,34.2,28.4,38.8,40.2,2018,0.483
Georgia Southern,49.2,49.7,16.1,20.3,30.3,31.9,38.2,35.2,2018,0.677
Little Rock,47.4,50.8,21.7,19.9,28.3,31.2,32.1,40.5,2018,0.233
Louisiana Lafayette,52.7,49.1,18.3,19.6,35.9,27.9,38,36.1,2018,0.844
Louisiana Monroe,49.9,51.4,17.8,18.6,25.2,28.7,24.3,30.7,2018,0.552
South Alabama,48.4,47.3,20.9,18.4,25.7,29.6,37.7,38,2018,0.467
Texas St.,48.8,51.7,20.9,19.4,31.9,27.7,36.3,30,2018,0.484
Troy,51.4,50.2,18,16.6,26.9,28.9,33.6,31.6,2018,0.516
UT Arlington,52.5,49.2,20.1,19.3,30.8,27.7,34.8,34.7,2018,0.636
Appalachian St.,51.4,53.8,17.8,17.4,25.9,29.8,37,34.1,2019,0.379
Arkansas St.,47.2,51.6,19.4,17.1,33.7,29.8,37.9,43.7,2019,0.433
Coastal Carolina,51.8,51,19.6,18,32.7,28.6,39.4,42.3,2019,0.531
Georgia Southern,54.3,51.4,18.6,20,27.4,28.7,35,31.3,2019,0.677
Little Rock,54.4,52.3,22.6,19.4,24.3,27.2,42.5,40.3,2019,0.345
Louisiana Lafayette,50.9,53.2,17.4,20,29.1,31.9,35.1,36.9,2019,0.633
Louisiana Monroe,54,52.9,16.2,17.4,26.9,29,35.8,28.4,2019,0.559
South Alabama,52.9,52.1,19.5,19.7,25.5,31.9,35.1,36.6,2019,0.531
Texas St.,50,48.5,19.6,20.7,33.2,24.7,34.4,39.5,2019,0.750
Troy,51,52.7,19.9,17.1,27.2,31.1,31.7,32.8,2019,0.429
UT Arlington,47,48,20.3,18.1,31,28,34.5,38,2019,0.531
Chattanooga,50.5,48,19.4,18.7,32.5,32.7,43.8,43.2,2015,0.667
East Tennessee St.,49.8,51.3,18.7,21.4,29.6,33,39.8,42.3,2015,0.500
Furman,49,52.3,21.1,16.5,29.5,32.3,44.1,36.5,2015,0.290
Mercer,49.3,48.9,17.6,19.2,33.3,32.8,40.2,31.9,2015,0.515
Samford,49.8,53.3,19.2,21.1,30.1,34.1,37.9,45.4,2015,0.387
The Citadel,51.7,55.1,21.7,15.9,31.3,34.6,38,29.6,2015,0.296
UNC Greensboro,49.7,50.8,18.8,18.2,30.6,29.7,31.3,48.5,2015,0.267
VMI,46.9,53.2,19.6,20.5,31.9,33.9,29.8,42.3,2015,0.321
Western Carolina,48.8,50.1,20.1,20.7,34.7,33.9,34.6,52.5,2015,0.433
East Tennessee St.,53,50.5,18.1,17.8,28.3,30.6,34.9,39.8,2016,0.647
Furman,51.5,50.8,20.5,19.2,32.1,28.8,43.3,38,2016,0.515
Mercer,49.4,49.3,18.9,16.6,36.1,27.8,31.7,33.5,2016,0.500
Samford,50.1,51.4,19.6,20.9,29.4,32.5,44.7,42.9,2016,0.355
The Citadel,48.8,57.6,16.9,19.3,26.7,35.8,31.1,44.4,2016,0.241
UNC Greensboro,51.3,51.9,17.7,17.4,27.1,27.5,28,38.5,2016,0.387
VMI,47.1,53,18.5,18.7,26.3,34,27,41.4,2016,0.222
Western Carolina,48.8,51,20,20.8,30.4,32.7,38.2,45,2016,0.419
Wofford,51.7,54,18,17.6,26.2,25.9,38.4,41.5,2016,0.433
Chattanooga,51.9,50.7,19.8,21.4,31.2,32.7,40.3,37.2,2017,0.655
Furman,54.9,49.4,19.2,19.5,27.2,27.1,32.1,33.7,2017,0.697
Mercer,50.4,50,18,15.7,33.9,28.4,32.8,35.3,2017,0.500
Samford,53,49.8,19,17.2,29.4,31.2,41.5,31.8,2017,0.588
The Citadel,49.3,57.9,17.2,19.7,28,35.4,32.8,40.9,2017,0.400
UNC Greensboro,52.4,50.2,19.9,19.4,34.3,30.4,30.1,34.8,2017,0.781
VMI,48.1,56.7,18.9,17.9,26.6,32.3,29.5,39.7,2017,0.214
Western Carolina,43.1,52.9,23.2,19.1,31.5,29,27.7,46.6,2017,0.300
Wofford,52.7,53.4,17.5,18,28.1,28.2,31.9,38.3,2017,0.533
Chattanooga,50.1,55.3,20.6,19.2,26.6,27.8,34.6,27.9,2018,0.323
East Tennessee St.,53.8,47.1,19.7,20.6,30.7,27.7,33.1,33.4,2018,0.781
Furman,54.9,50.1,16.5,20.6,27,28.6,28.2,29.9,2018,0.742
Mercer,54.3,53.1,18.8,16.5,31.4,24.9,35.7,33.6,2018,0.594
Samford,54.4,57.7,19.1,18.7,24.7,34.8,30.8,28.5,2018,0.333
The Citadel,49.1,56.8,18.7,19.6,27.4,33.7,32.7,30.4,2018,0.379
VMI,45.7,52.1,21.4,18.8,25.4,30.3,27.7,34.2,2018,0.321
Western Carolina,46.8,54.4,21.7,21,29,32.7,31.8,36.1,2018,0.400
Wofford,55.2,53.3,18.2,18.7,25,27.1,28.5,34,2018,0.677
Chattanooga,51.5,52.9,19.1,15.4,24.6,28.4,24.2,31.6,2019,0.414
East Tennessee St.,54.6,52.6,20,20.5,37,23.9,30,30.5,2019,0.750
Furman,55.4,47.9,18.4,20.1,28.7,30,24.9,24.2,2019,0.833
Mercer,51,52.7,19.3,20.1,28.8,32.3,35.7,34.7,2019,0.379
Samford,54.1,49.6,19.3,18.1,28.1,31.2,33.9,28.3,2019,0.531
The Citadel,52,56.6,17.3,16.9,25.1,31.8,25.8,31.7,2019,0.444
UNC Greensboro,51.2,51,17.1,22.2,31.4,29.7,30.6,32.2,2019,0.853
VMI,50.1,56.9,16.5,16.9,21.7,27.6,29.2,32,2019,0.379
Western Carolina,53.6,55.3,25.1,14.7,28.4,25.7,34.8,39.7,2019,0.226
Alabama,50.7,47.4,18.7,18.9,29.6,32,43.7,39.5,2015,0.545
Auburn,46.9,52.5,18.9,21.3,27.6,34.1,48.8,41.9,2015,0.412
Florida,49.6,46,19.6,21.6,31.7,29.1,31.4,37.8,2015,0.485
Mississippi St.,47.5,48,23.3,18.9,32.3,31.1,46.4,36.5,2015,0.387
Missouri,45.8,49.3,20.2,17.2,29.4,33.3,32.5,43.9,2015,0.258
South Carolina,45.2,44.8,19.6,21,34.6,31.5,37.3,44.5,2015,0.500
Tennessee,48.2,51.9,19.7,22.6,37,33.3,32.3,43.5,2015,0.500
Texas A&M,50.5,46.9,19.2,19.4,34.1,28.1,38.1,36.4,2015,0.636
Vanderbilt,54.4,46.6,20,18.1,31.9,33.1,42.4,34.4,2015,0.588
Alabama,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,2016,0.545
Arkansas,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,2016,0.500
Auburn,47.3,50.5,18.9,17.8,27.9,32.3,41,40.1,2016,0.355
Florida,48.5,46.7,16,18.6,32.9,29.5,39.5,35.7,2016,0.583
Georgia,48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,2016,0.588
LSU,51.1,51.8,16.2,18.8,29.8,29.9,43,33.4,2016,0.576
Mississippi,48.1,49.7,17.1,20.1,34.6,31.1,41.3,40.7,2016,0.625
Mississippi St.,51.7,48.9,18,18.5,29.7,32.9,29.5,36.3,2016,0.452
Missouri,47.2,49,18,16,26.8,29.8,39.6,40.8,2016,0.323
South Carolina,48.5,47.4,18.9,20.5,37.5,29.5,43.2,38.2,2016,0.727
Tennessee,48,48.5,15.8,17.3,32.1,34.5,34.1,37.3,2016,0.441
Alabama,48.2,46.1,20.4,19.8,34.1,26.6,39.1,39.9,2017,0.559
Auburn,51.1,50.6,17.9,19.9,30.3,33.3,42.5,38.8,2017,0.563
Georgia,48.1,47.2,18.6,16.7,28.9,28.2,40.7,34.2,2017,0.576
LSU,50.2,54.6,19.8,16.9,31.2,31.3,31.5,36.9,2017,0.323
Mississippi,48.8,49.8,19.3,18.8,33.9,30,42.8,35.6,2017,0.611
Mississippi St.,51.1,48.1,19,19.7,27.1,30.1,33.9,37.9,2017,0.500
Missouri,45.2,49.6,16.9,19.2,28.2,30.2,38.7,42.6,2017,0.250
Tennessee,46.8,48.6,17.4,19.3,31.8,30.1,42.9,43.3,2017,0.516
Texas A&M,51.2,47.2,21.2,17.4,37.4,31.2,33.3,28.1,2017,0.516
Georgia,47.5,45.6,19.2,14.5,34.8,28.9,40.1,27.7,2018,0.545
LSU,54.5,52.7,16.6,19.6,29.2,31.6,32.5,32.7,2018,0.545
Mississippi,48.3,51.5,15.9,17.3,31.3,30.7,33.8,36.9,2018,0.375
Mississippi St.,52.2,48.3,19.1,19.5,32.1,30.7,31.7,29.7,2018,0.694
South Carolina,46.2,49.3,19.7,21,33.6,27.5,42.8,43.1,2018,0.531
Vanderbilt,51.8,52.4,17.7,14.7,28.6,27.7,36.2,36.5,2018,0.375
Alabama,50.3,48.9,19.5,16.9,31.5,28,38,29.6,2019,0.529
Arkansas,51,49.4,18.3,22.5,28.3,34.8,38.4,41.7,2019,0.529
Georgia,50.1,48.5,22.5,15.5,32.7,31,41.3,29.9,2019,0.344
Missouri,50.5,49.4,21,18.1,31.9,25.7,29.8,38.1,2019,0.469
South Carolina,48.3,49.5,19.2,20.3,31.8,31.1,36.2,39.6,2019,0.516
Texas A&M,49.3,49.3,20,18.5,32.7,32.5,34.2,27,2019,0.438
Vanderbilt,48.6,49.5,20.5,16.4,29,29.3,40.6,33.3,2019,0.281
Abilene Christian,47.3,55.3,19.8,20.8,24.1,33.9,28.3,44.7,2015,0.250
Central Arkansas,48.8,55,25.6,18.3,28,36.7,39.3,42.5,2015,0.069
Houston Baptist,47.4,52.8,21.4,17.2,37.6,31.5,39.4,43.7,2015,0.333
Incarnate Word,52,51.4,15.7,17.9,25.7,31.5,45.3,39.6,2015,0.560
Lamar,49.7,52.8,23.4,20.4,34.6,32.9,41.9,46,2015,0.423
McNeese St.,46.4,51.9,16,18.5,33.7,34.4,30.9,34.9,2015,0.407
New Orleans,46.5,54.8,22.2,21.2,35.7,32.9,45.9,44,2015,0.308
Nicholls St.,47.8,50,25,20.3,30.1,34.5,42.4,50.7,2015,0.269
Northwestern St.,52.9,54.4,15.9,19.6,29.8,38.9,35.1,36.9,2015,0.536
Sam Houston St.,47.6,45.1,19.7,20.4,36,27.3,46.3,41.1,2015,0.710
Southeastern Louisiana,50.9,50.4,22.5,19.4,29.1,32.2,32.5,33.9,2015,0.258
Texas A&M Corpus Chris,49.2,48.3,19.4,20.6,30.3,33.1,51,46.1,2015,0.563
Abilene Christian,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,2016,0.333
Central Arkansas,49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,2016,0.250
Houston Baptist,50.5,50.9,21.1,16.7,29.6,31.9,44.9,36.7,2016,0.433
Incarnate Word,49.9,52.9,17.8,18.2,22.5,28.8,35.5,38.1,2016,0.560
Lamar,47.4,52,20.5,19.4,33.4,31.9,42.6,46.6,2016,0.269
McNeese St.,46.7,52.3,17.7,16.1,28.1,33,36.2,37.7,2016,0.269
New Orleans,45.1,52.9,19.7,21.4,34.8,33.5,43.2,43,2016,0.259
Nicholls St.,47.1,50.8,22,18.2,25,34.5,40.4,39.7,2016,0.258
